,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
1337,2024,4692538,Jalin Conyers,TE,Texas Tech,B12,0.041,0.063,0.014,0.03,0.032,0.072,0.043,0.038
1338,2024,4692550,Trevon West,WR,Tarleton State,,0.014,0.036,0.0,0.016,0.022,0.0,0.015,0.014
1339,2024,4692654,DVontae Key,WR,Missouri State,,0.051,0.086,0.007,0.049,0.04,0.077,0.041,0.071
1340,2024,4692796,Nick DeGennaro,WR,Richmond,,0.06,0.149,0.003,0.044,0.079,0.058,0.04,0.111
1341,2024,4692826,Payton Mangrum,WR,South Carolina,SEC,0.013,0.031,0.0,0.0,0.018,0.038,0.0,0.048
1342,2024,4692830,Bradley Dunn,RB,South Carolina,SEC,0.057,0.015,0.087,0.07,0.073,0.0,0.07,0.024
1343,2024,4692846,Cale Cabbiness,WR,Oklahoma State,B12,0.014,0.024,0.0,0.015,0.022,0.0,0.01,0.022
1344,2024,4692914,Josh Guilford,WR,William & Mary,,0.015,0.044,0.0,0.015,0.023,0.0,0.018,0.0
1345,2024,4692938,Calvin Jones,WR,Western Carolina,,0.033,0.053,0.005,0.036,0.013,0.063,0.037,0.025
1346,2024,4692968,Travon Jones,TE,Northwestern State,,0.075,0.15,0.0,0.0,0.154,0.1,0.077,0.071
1347,2024,4692972,Jamoi Mayes,WR,Cincinnati,B12,0.037,0.069,0.003,0.035,0.048,0.028,0.03,0.054
1348,2024,4693184,Andrew Sowinski,WR,Purdue,B1G,0.022,0.047,0.0,0.029,0.014,0.021,0.025,0.014
1349,2024,4693208,Patrick Gurd,TE,Ohio State,B1G,0.014,0.029,0.0,0.026,0.0,0.0,0.017,0.0
1350,2024,4693219,Ron Wiggins,RB,Jacksonville State,CUSA,0.052,0.021,0.07,0.052,0.067,0.036,0.054,0.048
1351,2024,4693236,Jacob Jenkins,TE,Liberty,CUSA,0.03,0.077,0.0,0.021,0.031,0.04,0.026,0.04
1352,2024,4693330,TK Marshall,RB,North Dakota State,,0.064,0.034,0.084,0.08,0.064,0.035,0.076,0.031
