,season,playerId,player,position,team,conference,category,ATT,COMPLETIONS,INT,PCT,TD,YDS,YPA,week
107,2025,4689855,Isaiah Alston,WR,James Madison,Sun Belt,passing,1,0,0,0.000,0,0,0.0,1
108,2025,4690158,Noah Kim,QB,Eastern Michigan,Mid-American,passing,63,41,0,0.651,3,437,6.9,1
109,2025,4690811,Savion Red,RB,Sacramento State,Big Sky,passing,1,1,0,1.000,0,28,28.0,1
110,2025,4691272,Stone Earle,QB,Abilene Christian,UAC,passing,53,36,1,0.679,0,379,7.2,1
111,2025,4691966,Maddox Kopp,QB,Houston Christian,Southland,passing,5,4,0,0.800,1,45,9.0,1
112,2025,4692052,Carter Peevy,QB,Maine,CAA,passing,58,26,2,0.448,2,229,3.9,1
113,2025,4692530,Chandler Morris,QB,Virginia,ACC,passing,70,49,1,0.700,3,521,7.4,1
114,2025,4694149,Walker Eget,QB,San José State,Mountain West,passing,85,45,3,0.529,2,496,5.8,1
115,2025,4695113,Otto Kuhns,QB,Norfolk State,MEAC,passing,47,32,0,0.681,2,392,8.3,1
116,2025,4695125,Cooper Willman,WR,Eastern Illinois,Big South-OVC,passing,1,0,0,0.000,0,0,0.0,1
117,2025,4695272,Ryan Leavy,P,East Carolina,American Athletic,passing,1,1,0,1.000,0,17,17.0,1
118,2025,4695400,Mark Gronowski,QB,Iowa,Big Ten,passing,39,21,1,0.538,1,127,3.3,1
119,2025,4695600,Bryson Barnes,QB,Utah State,Mountain West,passing,58,34,0,0.586,3,402,6.9,1
120,2025,4695709,Devin Brown,QB,California,ACC,passing,2,2,0,1.000,1,27,13.5,1
121,2025,4695784,Carson Camp,QB,SE Louisiana,Southland,passing,47,29,2,0.617,1,295,6.3,1
122,2025,4695904,Matthew Sluka,QB,James Madison,Sun Belt,passing,9,6,2,0.667,1,50,5.6,1
123,2025,4696065,Derek Robertson,QB,Monmouth,CAA,passing,88,63,5,0.716,10,833,9.5,1
124,2025,4696880,Walker Harris,QB,North Carolina Central,MEAC,passing,86,48,3,0.558,2,460,5.3,1
125,2025,4697094,DJ Williams,QB,Southern Illinois,MVFC,passing,57,37,0,0.649,4,429,7.5,1
126,2025,4697131,Bronson Barron,QB,Southern Utah,UAC,passing,63,41,0,0.651,6,532,8.4,1
127,2025,4697512,Robby Ashford,QB,Wake Forest,ACC,passing,50,33,1,0.660,1,445,8.9,1
128,2025,4697625,Victor Gabalis,QB,Tarleton State,UAC,passing,81,50,0,0.617,8,599,7.4,1
129,2025,4698250,Grant Harper,QB,UC Davis,Big Sky,passing,8,3,0,0.375,0,39,4.9,1
130,2025,4698302,CJ Jordan,QB,Portland State,Big Sky,passing,14,8,0,0.571,0,58,4.1,1
131,2025,4700135,Cam Fancher,QB,UCF,Big 12,passing,9,5,0,0.556,0,32,3.6,1
132,2025,4700149,Rashad Rochelle,WR,Indiana State,MVFC,passing,1,1,0,1.000,0,23,23.0,1
133,2025,4701075,Caleb Burke,WR,New Hampshire,CAA,passing,1,1,0,1.000,1,53,53.0,1
134,2025,4702829,Braedyn Locke,QB,Arizona,Big 12,passing,4,2,0,0.500,0,11,2.8,1
135,2025,4708067,Kai Horton,QB,Washington,Big Ten,passing,5,3,0,0.600,0,50,10.0,1
136,2025,4709012,Jase Bauer,QB,UT Martin,Big South-OVC,passing,49,32,1,0.653,1,343,7.0,1
137,2025,4710001,CJ Montes,QB,Kent State,Mid-American,passing,19,10,1,0.526,1,140,7.4,1
138,2025,4711410,Brett Griffis,QB,Central Connecticut,NEC,passing,4,1,0,0.250,0,11,2.8,1
139,2025,4714009,Myles Burkett,QB,Eastern Kentucky,UAC,passing,33,18,1,0.545,0,155,4.7,1
140,2025,4714771,Drew Allar,QB,Penn State,Big Ten,passing,59,41,0,0.695,3,417,7.1,1
141,2025,4715345,Devin Farrell,QB,Rhode Island,CAA,passing,62,35,0,0.565,4,591,9.5,1
142,2025,4725514,Reggie Branch,RB,Missouri State,Conference USA,passing,1,1,0,1.000,0,29,29.0,1
143,2025,4755664,Nick Evers,QB,UConn,FBS Independents,passing,11,8,0,0.727,1,83,7.5,1
144,2025,4773919,Thomas Castellanos,QB,Florida State,ACC,passing,25,17,0,0.680,3,389,15.6,1
145,2025,4775136,Owen McCown,QB,UTSA,American Athletic,passing,75,42,0,0.560,2,340,4.5,1
146,2025,4777154,Tyler Riddell,QB,Duquesne,NEC,passing,43,29,0,0.674,6,393,9.1,1
147,2025,4795295,Katin Houser,QB,East Carolina,American Athletic,passing,79,55,0,0.696,3,680,8.6,1
148,2025,4801299,Rocco Becht,QB,Iowa State,Big 12,passing,75,51,0,0.680,6,595,7.9,1
149,2025,4801301,Tevin Carter,QB,Prairie View A&M,SWAC,passing,10,6,0,0.600,0,48,4.8,1
150,2025,4801302,Julian Calvez,QB,UT Martin,Big South-OVC,passing,3,1,0,0.333,0,22,7.3,1
151,2025,4801306,Conner Harrell,QB,Charlotte,American Athletic,passing,53,30,1,0.566,1,282,5.3,1
152,2025,4801307,Tayven Jackson,QB,UCF,Big 12,passing,45,29,0,0.644,2,471,10.5,1
153,2025,4801717,Noah Fifita,QB,Arizona,Big 12,passing,45,30,0,0.667,6,534,11.9,1
154,2025,4804885,Brandon Rose,QB,Massachusetts,Mid-American,passing,44,27,1,0.614,0,217,4.9,1
155,2025,4812381,Gunnar Smith,QB,Fordham,Patriot,passing,88,47,2,0.534,3,534,6.1,1
156,2025,4819250,AJ Bianco,QB,Nevada,Mountain West,passing,6,4,0,0.667,1,28,4.7,1
157,2025,4826635,Jaxon Dailey,QB,Northern Iowa,MVFC,passing,1,1,0,1.000,0,4,4.0,1
158,2025,4832830,Joshua Wood,QB,Idaho,Big Sky,passing,45,32,1,0.711,3,314,7.0,1
159,2025,4832918,Ethan Vasko,QB,Liberty,Conference USA,passing,62,38,1,0.613,5,532,8.6,1
160,2025,4833597,Brayden Fowler-Nicolosi,QB,Colorado State,Mountain West,passing,57,30,2,0.526,1,312,5.5,1
161,2025,4833635,Landy Lyddy,QB,Southern Miss,Sun Belt,passing,1,1,0,1.000,0,11,11.0,1
162,2025,4836476,Davin Wydner,QB,West Georgia,UAC,passing,55,25,4,0.455,2,272,4.9,1
163,2025,4837195,Luca Stanzani,QB,Long Island University,NEC,passing,21,13,0,0.619,0,171,8.1,1
164,2025,4837248,Fernando Mendoza,QB,Indiana,Big Ten,passing,56,36,0,0.643,4,438,7.8,1
165,2025,4838536,Tyler Hughes,QB,William & Mary,CAA,passing,50,32,1,0.640,3,337,6.7,1
166,2025,4869553,Bishop Davenport,QB,South Alabama,Sun Belt,passing,38,29,0,0.763,4,397,10.4,1
167,2025,4869748,Zavion Thomas,WR,LSU,SEC,passing,1,1,0,1.000,0,16,16.0,1
168,2025,4869817,Cole Pennington,QB,Gardner-Webb,Big South-OVC,passing,24,15,1,0.625,1,193,8.0,1
169,2025,4869991,Caden Veltkamp,QB,Florida Atlantic,American Athletic,passing,88,57,4,0.648,6,537,6.1,1
170,2025,4870513,Maddux Madsen,QB,Boise State,Mountain West,passing,72,41,0,0.569,3,532,7.4,1
171,2025,4870518,Zeon Chriss,QB,Houston,Big 12,passing,3,1,0,0.333,0,-7,-2.3,1
172,2025,4870607,Jackson Arnold,QB,Auburn,SEC,passing,45,35,0,0.778,3,359,8.0,1
173,2025,4870786,Marco Lainez,QB,Elon,CAA,passing,7,2,0,0.286,0,22,3.1,1
174,2025,4870793,Tad Hudson,QB,Coastal Carolina,Sun Belt,passing,6,3,0,0.500,0,37,6.2,1
175,2025,4870799,Nico Iamaleava,QB,UCLA,Big Ten,passing,63,40,2,0.635,2,391,6.2,1
176,2025,4870819,Eli Holstein,QB,Pittsburgh,ACC,passing,51,36,2,0.706,8,519,10.2,1
177,2025,4870857,Avery Johnson,QB,Kansas State,Big 12,passing,98,64,1,0.653,6,763,7.8,1
178,2025,4870864,Gabarri Johnson,QB,Oregon State,Pac-12,passing,1,1,0,1.000,0,4,4.0,1
179,2025,4870883,J.J. Kohl,QB,App State,Sun Belt,passing,4,2,0,0.500,0,36,9.0,1
180,2025,4870889,Chris Parson,QB,Austin Peay,UAC,passing,43,27,1,0.628,2,293,6.8,1
181,2025,4870900,Dylan Lonergan,QB,Boston College,ACC,passing,79,60,0,0.759,8,658,8.3,1
182,2025,4870906,Arch Manning,QB,Texas,SEC,passing,60,36,2,0.600,5,465,7.8,1
183,2025,4870909,Jaden Rashada,QB,Sacramento State,Big Sky,passing,32,13,1,0.406,0,146,4.6,1
184,2025,4870921,Dante Moore,QB,Oregon,Big Ten,passing,44,34,0,0.773,6,479,10.9,1
185,2025,4870928,Malachi Nelson,QB,UTEP,Conference USA,passing,60,36,1,0.600,5,456,7.6,1
186,2025,4870971,Marcel Reed,QB,Texas A&M,SEC,passing,62,41,0,0.661,7,509,8.2,1
187,2025,4870999,Malachi Singleton,QB,Purdue,Big Ten,passing,3,2,0,0.667,0,29,9.7,1
188,2025,4871092,Dylan Wittke,QB,Minnesota,Big Ten,passing,3,1,1,0.333,0,7,2.3,1
189,2025,4872721,Cardell Williams,QB,Sacramento State,Big Sky,passing,13,11,1,0.846,1,158,12.2,1
190,2025,4875127,Lanorris Sellers,QB,South Carolina,SEC,passing,38,23,0,0.605,2,337,8.9,1
191,2025,4875428,Jake Jensen,QB,Montana,Big Sky,passing,1,1,0,1.000,0,7,7.0,1
192,2025,4875733,Pat McQuaide,QB,Villanova,CAA,passing,28,18,0,0.643,1,299,10.7,1
193,2025,4875855,Ralph Rucker,QB,Bucknell,Patriot,passing,41,28,2,0.683,1,362,8.8,1
194,2025,4875866,Reese Poffenbarger,QB,North Texas,American Athletic,passing,2,0,0,0.000,0,0,0.0,1
195,2025,4876140,Kekoa Visperas,QB,Tennessee Tech,Big South-OVC,passing,53,35,1,0.660,5,490,9.2,1
196,2025,4876865,Carter Cravens,QB,Morehead State,Pioneer,passing,49,30,1,0.612,2,353,7.2,1
197,2025,4877211,Jace Wilson,QB,Tennessee Tech,Big South-OVC,passing,3,3,0,1.000,1,86,28.7,1
198,2025,4877380,Quincy Crittendon,QB,Samford,Southern,passing,85,62,3,0.729,0,478,5.6,1
199,2025,4877717,Matthew Caldwell,QB,Texas,SEC,passing,3,2,0,0.667,0,22,7.3,1
200,2025,4877811,Billy Atkins,QB,South Carolina State,MEAC,passing,47,27,0,0.574,0,293,6.2,1
201,2025,4877890,Kyle Wickersham,QB,Richmond,Patriot,passing,49,34,2,0.694,1,266,5.4,1
202,2025,4878223,Jackson Proctor,QB,Northern Illinois,Mid-American,passing,6,2,0,0.333,0,8,1.3,1
203,2025,4878229,Ameer Dudley,QB,Robert Morris,NEC,passing,1,0,0,0.000,0,0,0.0,1
204,2025,4878284,Tommy Rittenhouse,QB,Illinois State,MVFC,passing,26,14,1,0.538,2,103,4.0,1
205,2025,4878293,Daniel Sobkowicz,WR,Illinois State,MVFC,passing,1,1,0,1.000,0,28,28.0,1
206,2025,4878822,Jaylon Tolbert,QB,Alcorn State,SWAC,passing,77,42,2,0.545,1,350,4.5,1
207,2025,4878833,Aiden Dunne,QB,Northern Iowa,MVFC,passing,5,2,0,0.400,0,21,4.2,1
208,2025,4879058,Joe Pesansky,QB,Florida International,Conference USA,passing,10,7,0,0.700,0,68,6.8,1
209,2025,4879250,Cole Payton,QB,North Dakota State,MVFC,passing,33,24,0,0.727,2,358,10.8,1
210,2025,4879567,Trent Walker,WR,Oregon State,Pac-12,passing,1,1,0,1.000,0,17,17.0,1
211,2025,4880272,Byrum Brown,QB,South Florida,American Athletic,passing,60,39,0,0.650,1,473,7.9,1
212,2025,4880458,Gavin Rupp,QB,Stetson,Pioneer,passing,8,6,0,0.750,0,98,12.3,1
213,2025,4880516,Jake Weir,QB,Houston Christian,Southland,passing,61,32,1,0.525,2,295,4.8,1
214,2025,4880758,Chris Irvin,QB,Western Illinois,Big South-OVC,passing,47,19,1,0.404,0,161,3.4,1
215,2025,4881352,Jack Shields,QB,UAlbany,CAA,passing,63,33,0,0.524,4,397,6.3,1
216,2025,4883110,Grant Jordan,QB,Massachusetts,Mid-American,passing,24,15,1,0.625,0,211,8.8,1
217,2025,4884392,Christopher Zellous,QB,Stony Brook,CAA,passing,35,17,1,0.486,0,158,4.5,1
218,2025,4887151,Andrew Body,QB,Alabama State,SWAC,passing,49,34,0,0.694,6,510,10.4,1
219,2025,4887446,Gevani McCoy,QB,Temple,American Athletic,passing,10,9,0,0.900,1,85,8.5,1
220,2025,4891191,Christian Anaya,WR,Western Illinois,Big South-OVC,passing,1,1,0,1.000,0,31,31.0,1
221,2025,4893657,Gavin Wimsatt,QB,Jacksonville State,Conference USA,passing,41,21,1,0.512,0,191,4.7,1
222,2025,4899046,Brendan Sorsby,QB,Cincinnati,Big 12,passing,49,30,1,0.612,3,402,8.2,1
223,2025,4899468,Kaden Anderson,QB,Wyoming,Mountain West,passing,59,36,1,0.610,3,427,7.2,1
224,2025,4900934,Stephen Kittleman,QB,Tulsa,American Athletic,passing,3,2,0,0.667,0,18,6.0,1
225,2025,4902963,Luther Richesson,QB,Central Arkansas,UAC,passing,48,31,2,0.646,4,356,7.4,1
226,2025,4911529,Trinidad Chambliss,QB,Ole Miss,SEC,passing,6,4,0,0.667,1,59,9.8,1
227,2025,4911929,Alonza Barnett,QB,James Madison,Sun Belt,passing,47,29,0,0.617,2,232,4.9,1
228,2025,4912238,Turner Helton,QB,Georgia Southern,Sun Belt,passing,9,4,0,0.444,0,24,2.7,1
229,2025,4912286,Iverson Hooks,WR,UAB,American Athletic,passing,1,1,0,1.000,0,17,17.0,1
230,2025,4912647,Austin Novosad,QB,Oregon,Big Ten,passing,2,1,0,0.500,0,40,20.0,1
231,2025,4915622,Jake Strong,QB,McNeese,Southland,passing,58,41,1,0.707,3,520,9.0,1
232,2025,4915837,Grayson Loftis,QB,Charlotte,American Athletic,passing,13,8,2,0.615,0,110,8.5,1
233,2025,4915980,John Mateer,QB,Oklahoma,SEC,passing,71,51,2,0.718,4,662,9.3,1
234,2025,4916436,E.J. Warner,QB,Fresno State,Mountain West,passing,74,51,5,0.689,0,476,6.4,1
235,2025,4916888,Bert Emanuel Jr.,QB,San Diego State,Mountain West,passing,4,3,0,0.750,0,29,7.3,1
236,2025,4917093,Ryan Staub,QB,Colorado,Big 12,passing,10,7,0,0.700,2,157,15.7,1
237,2025,4917305,Cam'Ron McCoy,QB,Southern,SWAC,passing,60,31,2,0.517,2,312,5.2,1
238,2025,4920158,Brock Glenn,QB,Florida State,ACC,passing,3,3,0,1.000,1,56,18.7,1
239,2025,4920196,Javance Tupou'ata-Johnson,QB,North Dakota,MVFC,passing,3,2,0,0.667,0,28,9.3,1
240,2025,4920227,Giovanni Lopez,QB,North Carolina,ACC,passing,35,21,1,0.600,1,224,6.4,1
241,2025,4923050,Israel Carter,QB,Norfolk State,MEAC,passing,20,12,0,0.600,0,101,5.1,1
242,2025,4923267,Zane Flores,QB,Oklahoma State,Big 12,passing,39,20,2,0.513,0,203,5.2,1
243,2025,4923285,McCae Hillstead,QB,BYU,Big 12,passing,5,4,0,0.800,0,33,6.6,1
244,2025,4986096,Chase Jenkins,QB,Rice,American Athletic,passing,21,17,1,0.810,0,95,4.5,1
245,2025,5027925,Jax Leatherwood,QB,Southeast Missouri State,Big South-OVC,passing,69,47,0,0.681,4,497,7.2,1
246,2025,5044387,Anthony Colandrea,QB,UNLV,Mountain West,passing,65,49,1,0.754,6,647,10.0,1
247,2025,5074245,Broc Lowry,QB,Western Michigan,Mid-American,passing,20,10,0,0.500,1,166,8.3,1
248,2025,5075392,Keldric Luster,QB,Texas State,Sun Belt,passing,1,0,0,0.000,0,0,0.0,1
249,2025,5075571,John-Keawe Sagapolutele,QB,Portland State,Big Sky,passing,31,17,3,0.548,1,203,6.5,1
250,2025,5075592,Cal Swanson,QB,Holy Cross,Patriot,passing,44,25,2,0.568,1,250,5.7,1
251,2025,5075800,Emory Williams,QB,Miami,ACC,passing,12,8,0,0.667,0,77,6.4,1
252,2025,5075805,Aidan Chiles,QB,Michigan State,Big Ten,passing,52,36,0,0.692,5,386,7.4,1
253,2025,5077806,Tucker McDonald,QB,UConn,FBS Independents,passing,2,1,0,0.500,0,45,22.5,1
254,2025,5078278,Lincoln Kienholz,QB,Ohio State,Big Ten,passing,7,6,0,0.857,1,71,10.1,1
255,2025,5078810,Sam Leavitt,QB,Arizona State,Big 12,passing,61,35,3,0.574,3,339,5.6,1
256,2025,5079301,CJ Bailey,QB,NC State,ACC,passing,57,40,1,0.702,2,518,9.1,1
257,2025,5079369,C.J. Carr,QB,Notre Dame,FBS Independents,passing,30,19,1,0.633,2,221,7.4,1
258,2025,5079443,Hauss Hejny,QB,Oklahoma State,Big 12,passing,10,5,0,0.500,1,96,9.6,1
259,2025,5079455,Josh Flowers,QB,Arkansas State,Sun Belt,passing,3,1,0,0.333,0,7,2.3,1
260,2025,5079508,Austin Mack,QB,Alabama,SEC,passing,10,8,0,0.800,2,80,8.0,1
261,2025,5079516,KJ Jackson,QB,Arkansas,SEC,passing,7,5,0,0.714,1,106,15.1,1
262,2025,5079531,Jake Merklinger,QB,Tennessee,SEC,passing,14,9,0,0.643,2,118,8.4,1
263,2025,5079533,Mabrey Mettauer,QB,Sam Houston,Conference USA,passing,31,20,2,0.645,1,177,5.7,1
264,2025,5079542,Luke Kromenhoek,QB,Mississippi State,SEC,passing,3,1,0,0.333,0,7,2.3,1
265,2025,5079555,D.J. Lagway,QB,Florida,SEC,passing,51,38,1,0.745,4,342,6.7,1
266,2025,5079572,Dylan Raiola,QB,Nebraska,Big Ten,passing,73,57,0,0.781,6,607,8.3,1
267,2025,5079604,Isaiah Marshall,QB,Kansas,Big 12,passing,3,3,0,1.000,0,28,9.3,1
268,2025,5079628,John White,QB,Southern Miss,Sun Belt,passing,1,1,0,1.000,0,-1,-1.0,1
269,2025,5079653,Demond Williams Jr.,QB,Washington,Big Ten,passing,49,34,0,0.694,2,480,9.8,1
270,2025,5079679,Ryan Puglisi,QB,Georgia,SEC,passing,10,6,0,0.600,1,63,6.3,1
271,2025,5079712,Julian Sayin,QB,Ohio State,Big Ten,passing,39,31,1,0.795,5,432,11.1,1
272,2025,5080403,Jaylen Raynor,QB,Arkansas State,Sun Belt,passing,65,47,2,0.723,4,470,7.2,1
273,2025,5081199,Devin Sherwood,QB,Youngstown State,MVFC,passing,8,8,0,1.000,0,47,5.9,1
274,2025,5081350,John Griffith,QB,Morgan State,MEAC,passing,3,1,0,0.333,0,3,1.0,1
275,2025,5081405,AJ Swann,QB,App State,Sun Belt,passing,80,50,1,0.625,5,661,8.3,1
276,2025,5081504,Blake Horvath,QB,Navy,American Athletic,passing,15,12,0,0.800,2,234,15.6,1
277,2025,5081856,Nate Glantz,QB,Lindenwood,Big South-OVC,passing,65,38,2,0.585,2,535,8.2,1
278,2025,5082005,Tyriq Starks,QB,Howard,MEAC,passing,42,24,1,0.571,2,179,4.3,1
279,2025,5082125,Dewayne Coleman,QB,Army,American Athletic,passing,12,7,2,0.583,0,129,10.8,1
280,2025,5082142,Noah Short,WR,Army,American Athletic,passing,1,1,0,1.000,0,52,52.0,1
281,2025,5082330,John Alan Richter,QB,Toledo,Mid-American,passing,9,5,1,0.556,1,46,5.1,1
282,2025,5082965,Tommy Ulatowski,QB,Kennesaw State,Conference USA,passing,3,2,0,0.667,0,7,2.3,1
283,2025,5083042,Skyler Locklear,QB,UTEP,Conference USA,passing,3,1,0,0.333,0,0,0.0,1
284,2025,5083171,Jack Layne,QB,New Mexico,Mountain West,passing,68,44,3,0.647,1,363,5.3,1
285,2025,5083268,Carson Jenkins,WR,William & Mary,CAA,passing,1,0,0,0.000,0,0,0.0,1
286,2025,5083490,Ayden Pereira,QB,Merrimack,FCS Independents,passing,58,35,0,0.603,2,415,7.2,1
287,2025,5083847,Dean DeNobile,QB,Lafayette,Patriot,passing,44,24,1,0.545,1,245,5.6,1
288,2025,5083941,Collin Shannon,QB,VMI,Southern,passing,52,31,1,0.596,4,420,8.1,1
289,2025,5084084,Kevin Jennings,QB,SMU,ACC,passing,52,38,2,0.731,5,555,10.7,1
290,2025,5084180,Diego Pavia,QB,Vanderbilt,SEC,passing,43,32,1,0.744,5,468,10.9,1
291,2025,5084545,Bryson Dickerson,TE,West Georgia,UAC,passing,1,1,0,1.000,0,22,22.0,1
292,2025,5084769,Angel H Flores,QB,Central Michigan,Mid-American,passing,6,5,0,0.833,0,69,11.5,1
293,2025,5085026,Keegan Patterson,QB,Indiana State,MVFC,passing,17,11,0,0.647,2,111,6.5,1
294,2025,5085259,Ashton Frye,QB,Grambling,SWAC,passing,15,8,0,0.533,1,61,4.1,1
295,2025,5085337,Keyone Jenkins,QB,Florida International,Conference USA,passing,58,33,1,0.569,0,314,5.4,1
296,2025,5085644,Coulter Cleland,QB,Davidson,Pioneer,passing,42,22,1,0.524,2,209,5.0,1
297,2025,5085676,Xavier Washington,QB,Drake,Pioneer,passing,4,2,0,0.500,1,45,11.3,1
298,2025,5085754,Matthew Schecklman,QB,Northern Iowa,MVFC,passing,51,30,2,0.588,4,321,6.3,1
299,2025,5085784,Chase Mason,QB,South Dakota State,MVFC,passing,48,34,0,0.708,4,380,7.9,1
300,2025,5085941,Zach Osborne,QB,Colgate,Patriot,passing,44,26,0,0.591,4,466,10.6,1
301,2025,5086156,Danny Lauter,QB,Georgetown,Patriot,passing,40,25,0,0.625,3,299,7.5,1
302,2025,5086597,DJ Ralph,QB,Chadron St,Rocky Mountain,passing,33,20,1,0.606,0,228,6.9,1
303,2025,5087031,Reagan Andrew,QB,Butler,Pioneer,passing,53,36,2,0.679,3,345,6.5,1
304,2025,5087034,Griffin Caldwell,RB,Butler,Pioneer,passing,1,1,0,1.000,1,24,24.0,1
305,2025,5087156,Nathan Hayes,QB,North Dakota State,MVFC,passing,11,7,1,0.636,2,143,13.0,1
306,2025,5087297,Ja'Shawn Scroggins,QB,Howard,MEAC,passing,5,1,1,0.200,0,5,1.0,1
307,2025,5088334,Nick Whitfield Jr.,QB,St. Francis (PA),NEC,passing,43,26,1,0.605,0,147,3.4,1
308,2025,5088960,Reggie Graff,QB,Utah Tech,UAC,passing,29,16,1,0.552,2,125,4.3,1
309,2025,5088964,Sonny Mannino,QB,Marist,Pioneer,passing,62,33,1,0.532,2,304,4.9,1
310,2025,5089309,Jake Stearney,QB,Colgate,Patriot,passing,23,10,0,0.435,1,138,6.0,1
311,2025,5089314,Hank Brown,QB,Iowa,Big Ten,passing,1,1,0,1.000,0,4,4.0,1
312,2025,5089335,Rowan Keefe,QB,Valparaiso,Pioneer,passing,28,20,4,0.714,1,209,7.5,1
313,2025,5089540,Cole Gonzales,QB,Pittsburgh,ACC,passing,15,8,0,0.533,1,87,5.8,1
314,2025,5091836,Jaxon Potter,QB,Washington State,Pac-12,passing,72,51,0,0.708,4,465,6.5,1
315,2025,5092275,Ty Dieffenbach,QB,Cal Poly,Big Sky,passing,36,24,1,0.667,2,345,9.6,1
316,2025,5092348,Jaden Gibson,WR,Samford,Southern,passing,1,0,0,0.000,0,0,0.0,1
317,2025,5093929,Eric Rodriguez,QB,East Texas A&M,Southland,passing,35,17,2,0.486,0,223,6.4,1
318,2025,5095112,Zach Tanner,QB,Robert Morris,NEC,passing,50,23,0,0.460,2,262,5.2,1
319,2025,5095771,Ethan Greenwood,QB,Long Island University,NEC,passing,11,6,0,0.545,0,126,11.5,1
320,2025,5098448,Isaiah Freeman,QB,Hampton,CAA,passing,33,19,1,0.576,1,168,5.1,1
321,2025,5101124,Micah Alejado,QB,Hawai'i,Mountain West,passing,70,45,1,0.643,2,367,5.2,1
322,2025,5104738,Ryan Browne,QB,Purdue,Big Ten,passing,49,32,1,0.653,4,481,9.8,1
323,2025,5105334,Jackson Gilkey,QB,Weber State,Big Sky,passing,48,20,5,0.417,1,152,3.2,1
324,2025,5105849,Devon Dampier,QB,Utah,Big 12,passing,48,38,0,0.792,5,398,8.3,1
325,2025,5106897,Jack O'Connell,QB,Stonehill,NEC,passing,74,55,2,0.743,4,481,6.5,1
326,2025,5109518,Beau Brungard,QB,Youngstown State,MVFC,passing,37,26,0,0.703,1,236,6.4,1
327,2025,5113896,Cole Lacrue,QB,Eastern Illinois,Big South-OVC,passing,29,16,2,0.552,0,167,5.8,1
328,2025,5119841,Dru Deshields,QB,Kent State,Mid-American,passing,25,13,0,0.520,2,234,9.4,1
329,2025,5120906,Caleb Mccreary,QB,Tennessee State,Big South-OVC,passing,1,1,0,1.000,0,11,11.0,1
330,2025,5121169,Darian Mensah,QB,Duke,ACC,passing,68,50,1,0.735,5,723,10.6,1
331,2025,5121691,Blaze Berlowitz,QB,Vanderbilt,SEC,passing,5,3,0,0.600,1,40,8.0,1
332,2025,5122054,Aidan Armenta,QB,UL Monroe,Sun Belt,passing,37,20,2,0.541,1,123,3.3,1
333,2025,5122157,Caden Creel,QB,Jacksonville State,Conference USA,passing,1,1,0,1.000,0,18,18.0,1
334,2025,5122887,Luke Moga,QB,Oregon,Big Ten,passing,3,2,0,0.667,0,53,17.7,1
335,2025,5125301,Carson Cruver,QB,Florida Atlantic,American Athletic,passing,2,0,0,0.000,0,0,0.0,1
336,2025,5125715,Colton Joseph,QB,Old Dominion,Sun Belt,passing,46,30,3,0.652,3,353,7.7,1
337,2025,5125823,DJ McKinney,RB,New Mexico,Mountain West,passing,1,1,0,1.000,1,9,9.0,1
338,2025,5126464,Deuce Adams,QB,Louisville,ACC,passing,3,2,0,0.667,0,21,7.0,1
339,2025,5126468,Will Hammond,QB,Texas Tech,Big 12,passing,19,14,0,0.737,2,186,9.8,1
340,2025,5126470,Trever Jackson,QB,Arkansas,SEC,passing,1,0,0,0.000,0,0,0.0,1
341,2025,5126471,Daniel Kaelin,QB,Virginia,ACC,passing,9,3,0,0.333,0,26,2.9,1
342,2025,5126472,JacQai Long,QB,Marshall,Sun Belt,passing,11,3,0,0.273,0,19,1.7,1
343,2025,5126474,Danny O'Neil,QB,Wisconsin,Big Ten,passing,46,35,2,0.761,4,403,8.8,1
344,2025,5127900,Shay Smith,QB,UTEP,Conference USA,passing,2,1,0,0.500,0,3,1.5,1
345,2025,5132812,Aaron Philo,QB,Georgia Tech,ACC,passing,28,21,1,0.750,1,373,13.3,1
346,2025,5138131,Deshawn Purdie,QB,Wake Forest,ACC,passing,4,3,0,0.750,1,42,10.5,1
347,2025,5141367,Bear Bachmeier,QB,BYU,Big 12,passing,38,24,0,0.632,3,272,7.2,1
348,2025,5141378,Cutter Boley,QB,Kentucky,SEC,passing,3,1,0,0.333,0,38,12.7,1
349,2025,5141395,EJ Colson,QB,Incarnate Word,Southland,passing,1,1,0,1.000,0,13,13.0,1
350,2025,5141506,Deuce Knight,QB,Auburn,SEC,passing,5,2,0,0.400,0,20,4.0,1
351,2025,5141556,TJ Lateef,QB,Nebraska,Big Ten,passing,7,6,0,0.857,0,128,18.3,1
352,2025,5141563,Husan Longstreet,QB,USC,Big Ten,passing,15,13,0,0.867,1,103,6.9,1
353,2025,5141571,George MacIntyre,QB,Tennessee,SEC,passing,7,6,0,0.857,0,52,7.4,1
354,2025,5141629,Keelon Russell,QB,Alabama,SEC,passing,6,4,0,0.667,2,65,10.8,1
355,2025,5141661,Kevin Sperry,QB,Florida State,ACC,passing,5,4,0,0.800,2,61,12.2,1
356,2025,5141684,Austin Simmons,QB,Ole Miss,SEC,passing,55,33,4,0.600,3,576,10.5,1
357,2025,5141695,Malik Washington,QB,Maryland,Big Ten,passing,78,46,0,0.590,5,512,6.6,1
358,2025,5141741,Bryce Underwood,QB,Michigan,Big Ten,passing,55,30,0,0.545,1,393,7.1,1
359,2025,5144078,Ethan Grunkemeyer,QB,Penn State,Big Ten,passing,9,7,0,0.778,0,86,9.6,1
