,season,playerId,player,position,team,conference,category,ATT,COMPLETIONS,INT,PCT,TD,YDS,YPA,week
924,2025,5226019,Caden Pinnick,QB,UC Davis,Big Sky,passing,16,8,1,0.500,1,50,3.1,2
925,2025,5226265,Brennan Myer,QB,Bryant,CAA,passing,44,22,2,0.500,3,318,7.2,2
926,2025,5226397,Kael Alexander,QB,Stetson,Pioneer,passing,15,11,0,0.733,3,336,22.4,2
927,2025,5226398,Gunner Chenier,QB,Stetson,Pioneer,passing,4,2,0,0.500,0,21,5.3,2
928,2025,5226585,Abram Johnston,QB,Northwestern State,Southland,passing,11,6,2,0.545,0,10,0.9,2
929,2025,5227106,Logan Kushner,QB,Duquesne,NEC,passing,7,6,0,0.857,0,66,9.4,2
930,2025,5227302,Jack Stevens,QB,Wagner,NEC,passing,21,13,2,0.619,0,102,4.9,2
931,2025,5227425,Parker Stofa,QB,Jackson State,SWAC,passing,1,0,1,0.000,0,0,0.0,2
932,2025,5227430,Kobe Muasau,QB,Morgan State,MEAC,passing,28,17,1,0.607,1,214,7.6,2
933,2025,5227557,Alex Gevaudan,QB,Mercyhurst,NEC,passing,5,4,1,0.800,0,23,4.6,2
934,2025,5227561,Braydon Black,WR,Mercyhurst,NEC,passing,1,0,0,0.000,0,0,0.0,2
935,2025,5227565,Adam Urena,QB,Mercyhurst,NEC,passing,28,22,0,0.786,2,344,12.3,2
936,2025,5227681,Cameron Peters,QB,Prairie View A&M,SWAC,passing,16,8,0,0.500,0,64,4.0,2
937,2025,5227685,Rodny Ojo,WR,Prairie View A&M,SWAC,passing,1,1,0,1.000,0,25,25.0,2
938,2025,5227699,Beckham Pellant,QB,Illinois State,MVFC,passing,9,4,0,0.444,1,61,6.8,2
939,2025,5230073,Cobey Thompkins,QB,The Citadel,Southern,passing,11,9,0,0.818,1,155,14.1,2
940,2025,5230099,Will Madonna,QB,East Texas A&M,Southland,passing,5,2,1,0.400,0,17,3.4,2
941,2025,5230240,Mason Bray,QB,Arizona,Big 12,passing,2,1,0,0.500,0,22,11.0,2
942,2025,5231037,Isaac Lee,QB,Western Carolina,Southern,passing,10,8,0,0.800,0,49,4.9,2
943,2025,5231101,Jonathan Palmer,QB,Tennessee State,Big South-OVC,passing,13,5,0,0.385,0,38,2.9,2
944,2025,5232131,KJ Cooper,QB,Texas Southern,SWAC,passing,35,19,1,0.543,0,137,3.9,2
945,2025,5233879,Josh Brown,QB,Mississippi Valley State,SWAC,passing,19,10,1,0.526,0,113,5.9,2
946,2025,5294263,Byrd Ficklin,QB,Utah,Big 12,passing,4,4,0,1.000,0,53,13.3,2
947,2025,5295238,Luke Weaver,QB,Hawai'i,Mountain West,passing,43,27,1,0.628,3,294,6.8,2
948,2025,5295969,Brady Hart,QB,Texas A&M,SEC,passing,1,0,0,0.000,0,0,0.0,2
949,2025,5296163,Brady Jones,QB,Western Michigan,Mid-American,passing,4,2,0,0.500,0,12,3.0,2
950,2025,5296376,Trey Kukuk,QB,Louisiana Tech,Conference USA,passing,18,12,0,0.667,0,50,2.8,2
951,2025,5296411,Stanley Anderson-Lofton,QB,Middle Tennessee,Conference USA,passing,1,1,0,1.000,0,11,11.0,2
952,2025,5296610,Tama Amisone,QB,San José State,Mountain West,passing,1,0,0,0.000,0,0,0.0,2
953,2025,5296625,Landon Sims,QB,Wyoming,Mountain West,passing,3,3,0,1.000,0,23,7.7,2
954,2025,5298787,Byron McNair,QB,Tennessee State,Big South-OVC,passing,4,2,1,0.500,0,12,3.0,2
955,2025,5298853,Treynor Cleeland,QB,UC Davis,Big Sky,passing,3,2,0,0.667,0,26,8.7,2
956,2025,5298896,Will O'Dell,QB,Marist,Pioneer,passing,4,4,0,1.000,0,33,8.3,2
957,2025,5299305,Jalen Ferguson,QB,Campbell,CAA,passing,8,3,0,0.375,0,24,3.0,2
958,2025,5299364,Cason Carswell,QB,Western Illinois,Big South-OVC,passing,8,6,0,0.750,1,52,6.5,2
959,2025,5300202,JaShawn Todd,RB,St. Thomas (MN),Pioneer,passing,1,0,0,0.000,0,0,0.0,2
960,2025,5300801,Eric Gibson Jr.,QB,Northern Colorado,Big Sky,passing,28,17,1,0.607,0,160,5.7,2
961,2025,5301056,Jy Walls,QB,North Carolina A&T,CAA,passing,4,2,0,0.500,0,14,3.5,2
962,2025,5301193,Terrell Russell,QB,Howard,MEAC,passing,1,0,0,0.000,0,0,0.0,2
963,2025,5301318,Garrett Sanford,DL,Murray State,MVFC,passing,1,1,0,1.000,0,5,5.0,2
964,2025,5301657,Andrew Indorf,QB,Towson,CAA,passing,23,18,0,0.783,1,186,8.1,2
965,2025,5301816,Jett Peddy,QB,Florida A&M,SWAC,passing,7,1,0,0.143,0,5,0.7,2
966,2025,5301875,Jackson Byrd,QB,East Tennessee State,Southern,passing,1,1,0,1.000,0,6,6.0,2
967,2025,5302454,Eli Anderson,QB,Northwestern State,Southland,passing,4,3,0,0.750,0,13,3.3,2
968,2025,5303362,Christian Peters,QB,Arkansas-Pine Bluff,SWAC,passing,36,18,0,0.500,1,228,6.3,2
