homeTeam,awayTeam,spread,formattedSpread,homeScore,awayScore,win_margin,cover_margin,spread_result
Arkansas,Alabama A&M,-45.5,Arkansas -45.5,52.0,7.0,45.0,-0.5,Arkansas did NOT cover
Arkansas,Alabama A&M,-48.5,Arkansas -48.5,52.0,7.0,45.0,-3.5,Arkansas did NOT cover
Duke,Elon,-36.5,Duke -36.5,45.0,17.0,28.0,-8.5,Duke did NOT cover
Duke,Elon,,,45.0,17.0,,,
Kentucky,Ole Miss,8.0,Ole Miss -8.0,23.0,30.0,7.0,-1.0,Ole Miss did NOT cover
Kentucky,Ole Miss,7.5,Ole Miss -7.5,23.0,30.0,7.0,-0.5,Ole Miss did NOT cover
Utah,Kansas State,-1.5,Utah -1.5,,,,,
Texas Tech,Kent State,-48.5,Texas Tech -48.5,62.0,14.0,48.0,-0.5,Texas Tech did NOT cover
Texas Tech,Kent State,-47.5,Texas Tech -47.5,62.0,14.0,48.0,0.5,Texas Tech covered
Portland State,Tarleton State,17.5,Tarleton State -17.5,0.0,42.0,42.0,24.5,Tarleton State covered
Portland State,Tarleton State,16.5,Tarleton State -16.5,0.0,42.0,42.0,25.5,Tarleton State covered
Pittsburgh,Central Michigan,-21.5,Pittsburgh -21.5,45.0,17.0,28.0,6.5,Pittsburgh covered
Pittsburgh,Central Michigan,-21.5,Pittsburgh -21.5,45.0,17.0,28.0,6.5,Pittsburgh covered
Indiana,Kennesaw State,-35.5,Indiana -35.5,56.0,9.0,47.0,11.5,Indiana covered
Indiana,Kennesaw State,-35.5,Indiana -35.5,56.0,9.0,47.0,11.5,Indiana covered
Jacksonville State,Liberty,6.0,Liberty -6.0,34.0,24.0,-10.0,-16.0,Liberty did NOT cover | OUTRIGHT UNDERDOG WIN: Jacksonville State
Jacksonville State,Liberty,6.5,Liberty -6.5,34.0,24.0,-10.0,-16.5,Liberty did NOT cover | OUTRIGHT UNDERDOG WIN: Jacksonville State
UL Monroe,St. Francis (PA),-31.0,UL Monroe -31.0,29.0,0.0,29.0,-2.0,UL Monroe did NOT cover
UL Monroe,St. Francis (PA),-30.5,UL Monroe -30.5,29.0,0.0,29.0,-1.5,UL Monroe did NOT cover
Missouri,Central Arkansas,-38.5,Missouri -38.5,61.0,6.0,55.0,16.5,Missouri covered
Missouri,Central Arkansas,-39.5,Missouri -39.5,61.0,6.0,55.0,15.5,Missouri covered
Cincinnati,Bowling Green,-21.5,Cincinnati -21.5,34.0,20.0,14.0,-7.5,Cincinnati did NOT cover
Cincinnati,Bowling Green,-22.5,Cincinnati -22.5,34.0,20.0,14.0,-8.5,Cincinnati did NOT cover
Pittsburgh,Duquesne,-39.5,Pittsburgh -39.5,61.0,9.0,52.0,12.5,Pittsburgh covered
Pittsburgh,Duquesne,-39.0,Pittsburgh -39.0,61.0,9.0,52.0,13.0,Pittsburgh covered
Louisville,Eastern Kentucky,-37.5,Louisville -37.5,51.0,17.0,34.0,-3.5,Louisville did NOT cover
Louisville,Eastern Kentucky,-38.0,Louisville -38.0,51.0,17.0,34.0,-4.0,Louisville did NOT cover
Texas Tech,Arkansas-Pine Bluff,,,67.0,7.0,,,
Texas Tech,Arkansas-Pine Bluff,-54.5,Texas Tech -54.5,67.0,7.0,60.0,5.5,Texas Tech covered
Penn State,Indiana,-16.0,Penn State -16,,,,,
BYU,Stanford,-20.5,BYU -20.5,27.0,3.0,24.0,3.5,BYU covered
BYU,Stanford,-20.5,BYU -20.5,27.0,3.0,24.0,3.5,BYU covered
San Diego State,Stony Brook,-19.5,San Diego State -19.5,42.0,0.0,42.0,22.5,San Diego State covered
San Diego State,Stony Brook,,,42.0,0.0,,,
Arizona State,Northern Arizona,-29.5,Arizona State -29.5,38.0,19.0,19.0,-10.5,Arizona State did NOT cover
Arizona State,Northern Arizona,-30.5,Arizona State -30.5,38.0,19.0,19.0,-11.5,Arizona State did NOT cover
Tulsa,Abilene Christian,-5.0,Tulsa -5.0,35.0,7.0,28.0,23.0,Tulsa covered
Tulsa,Abilene Christian,-5.5,Tulsa -5.5,35.0,7.0,28.0,22.5,Tulsa covered
Texas,San José State,-37.0,Texas -37.0,38.0,7.0,31.0,-6.0,Texas did NOT cover
Texas,San José State,-36.5,Texas -36.5,38.0,7.0,31.0,-5.5,Texas did NOT cover
NC State,Virginia,-3.0,NC State -3.0,35.0,31.0,4.0,1.0,NC State covered
NC State,Virginia,-2.5,NC State -2.5,35.0,31.0,4.0,1.5,NC State covered
Texas A&M,Utah State,-34.5,Texas A&M -34.5,44.0,22.0,22.0,-12.5,Texas A&M did NOT cover
Texas A&M,Utah State,-34.5,Texas A&M -34.5,44.0,22.0,22.0,-12.5,Texas A&M did NOT cover
Ohio,West Virginia,3.5,West Virginia -3.5,17.0,10.0,-7.0,-10.5,West Virginia did NOT cover | OUTRIGHT UNDERDOG WIN: Ohio
Ohio,West Virginia,3.5,West Virginia -3.5,17.0,10.0,-7.0,-10.5,West Virginia did NOT cover | OUTRIGHT UNDERDOG WIN: Ohio
Texas,Texas A&M,-10.5,Texas -10.5,,,,,
Arkansas,Arkansas State,-23.5,Arkansas -23.5,56.0,14.0,42.0,18.5,Arkansas covered
Arkansas,Arkansas State,-24.5,Arkansas -24.5,56.0,14.0,42.0,17.5,Arkansas covered
Western Michigan,North Texas,12.0,North Texas -12.0,30.0,33.0,3.0,-9.0,North Texas did NOT cover
Western Michigan,North Texas,12.5,North Texas -12.5,30.0,33.0,3.0,-9.5,North Texas did NOT cover
Boston College,Fordham,-35.0,Boston College -35.0,66.0,10.0,56.0,21.0,Boston College covered
Boston College,Fordham,-34.5,Boston College -34.5,66.0,10.0,56.0,21.5,Boston College covered
West Virginia,Robert Morris,-40.0,West Virginia -40.0,45.0,3.0,42.0,2.0,West Virginia covered
West Virginia,Robert Morris,-43.5,West Virginia -43.5,45.0,3.0,42.0,-1.5,West Virginia did NOT cover
Rice,Houston,13.5,Houston -13.5,9.0,35.0,26.0,12.5,Houston covered
Rice,Houston,13.5,Houston -13.5,9.0,35.0,26.0,12.5,Houston covered
Iowa State,South Dakota,-16.5,Iowa State -16.5,55.0,7.0,48.0,31.5,Iowa State covered
Iowa State,South Dakota,-13.5,Iowa State -13.5,55.0,7.0,48.0,34.5,Iowa State covered
Georgia State,Memphis,14.5,Memphis -14.5,16.0,38.0,22.0,7.5,Memphis covered
Georgia State,Memphis,15.5,Memphis -15.5,16.0,38.0,22.0,6.5,Memphis covered
Wisconsin,Middle Tennessee,-28.5,Wisconsin -28.5,42.0,10.0,32.0,3.5,Wisconsin covered
Wisconsin,Middle Tennessee,-28.5,Wisconsin -28.5,42.0,10.0,32.0,3.5,Wisconsin covered
Illinois,Western Illinois,-48.5,Illinois -48.5,52.0,3.0,49.0,0.5,Illinois covered
Illinois,Western Illinois,-48.5,Illinois -48.5,52.0,3.0,49.0,0.5,Illinois covered
Kent State,Merrimack,-5.5,Kent State -5.5,21.0,17.0,4.0,-1.5,Kent State did NOT cover
Rutgers,Miami (OH),-15.5,Rutgers -15.5,45.0,17.0,28.0,12.5,Rutgers covered
Rutgers,Miami (OH),-15.5,Rutgers -15.5,45.0,17.0,28.0,12.5,Rutgers covered
Louisiana Tech,SE Louisiana,-14.5,Louisiana Tech -14.5,24.0,0.0,24.0,9.5,Louisiana Tech covered
Louisiana Tech,SE Louisiana,-14.5,Louisiana Tech -14.5,24.0,0.0,24.0,9.5,Louisiana Tech covered
New Mexico State,Bryant,-19.5,New Mexico State -19.5,19.0,3.0,16.0,-3.5,New Mexico State did NOT cover
New Mexico State,Bryant,-19.5,New Mexico State -19.5,19.0,3.0,16.0,-3.5,New Mexico State did NOT cover
Oregon,Oklahoma State,-28.5,Oregon -28.5,69.0,3.0,66.0,37.5,Oregon covered
Oregon,Oklahoma State,-28.5,Oregon -28.5,69.0,3.0,66.0,37.5,Oregon covered
Washington State,Idaho,-16.5,Washington State -16.5,13.0,10.0,3.0,-13.5,Washington State did NOT cover
Washington State,Idaho,-17.0,Washington State -17.0,13.0,10.0,3.0,-14.0,Washington State did NOT cover
Marshall,Missouri State,-7.0,Marshall -7.0,20.0,21.0,-1.0,-8.0,Marshall did NOT cover | OUTRIGHT UNDERDOG WIN: Missouri State
Marshall,Missouri State,-7.5,Marshall -7.5,20.0,21.0,-1.0,-8.5,Marshall did NOT cover | OUTRIGHT UNDERDOG WIN: Missouri State
Colorado,Delaware,-23.5,Colorado -23.5,31.0,7.0,24.0,0.5,Colorado covered
Colorado,Delaware,-23.5,Colorado -23.5,31.0,7.0,24.0,0.5,Colorado covered
Oregon State,Fresno State,-1.0,Oregon State -1.0,27.0,36.0,-9.0,-10.0,Oregon State did NOT cover | OUTRIGHT UNDERDOG WIN: Fresno State
Oregon State,Fresno State,-1.5,Oregon State -1.5,27.0,36.0,-9.0,-10.5,Oregon State did NOT cover | OUTRIGHT UNDERDOG WIN: Fresno State
Clemson,Troy,-31.0,Clemson -31.0,27.0,16.0,11.0,-20.0,Clemson did NOT cover
Clemson,Troy,-29.5,Clemson -29.5,27.0,16.0,11.0,-18.5,Clemson did NOT cover
Navy,UAB,-20.5,Navy -20.5,38.0,24.0,14.0,-6.5,Navy did NOT cover
Navy,UAB,-22.5,Navy -22.5,38.0,24.0,14.0,-8.5,Navy did NOT cover
Kansas State,Army,-17.0,Kansas State -17.0,21.0,24.0,-3.0,-20.0,Kansas State did NOT cover | OUTRIGHT UNDERDOG WIN: Army
Kansas State,Army,-16.5,Kansas State -16.5,21.0,24.0,-3.0,-19.5,Kansas State did NOT cover | OUTRIGHT UNDERDOG WIN: Army
Auburn,Alabama,5.5,Alabama -5.5,,,,,
Navy,Army,-3.5,Navy -3.5,,,,,
Oklahoma,Illinois State,-39.5,Oklahoma -39.5,35.0,3.0,32.0,-7.5,Oklahoma did NOT cover
Oklahoma,Illinois State,-38.5,Oklahoma -38.5,35.0,3.0,32.0,-6.5,Oklahoma did NOT cover
Liberty,Maine,-25.5,Liberty -25.5,28.0,7.0,21.0,-4.5,Liberty did NOT cover
Liberty,Maine,-25.5,Liberty -25.5,28.0,7.0,21.0,-4.5,Liberty did NOT cover
BYU,Portland State,-43.5,BYU -43.5,69.0,0.0,69.0,25.5,BYU covered
BYU,Portland State,-44.5,BYU -44.5,69.0,0.0,69.0,24.5,BYU covered
SMU,East Texas A&M,-51.0,SMU -51.0,42.0,13.0,29.0,-22.0,SMU did NOT cover
SMU,East Texas A&M,-50.5,SMU -50.5,42.0,13.0,29.0,-21.5,SMU did NOT cover
Kansas State,North Dakota,-27.5,Kansas State -27.5,38.0,35.0,3.0,-24.5,Kansas State did NOT cover
Kansas State,North Dakota,-27.5,Kansas State -27.5,38.0,35.0,3.0,-24.5,Kansas State did NOT cover
Western Kentucky,North Alabama,-27.5,Western Kentucky -27.5,55.0,6.0,49.0,21.5,Western Kentucky covered
Western Kentucky,North Alabama,-27.5,Western Kentucky -27.5,55.0,6.0,49.0,21.5,Western Kentucky covered
Memphis,Chattanooga,-30.5,Memphis -30.5,45.0,10.0,35.0,4.5,Memphis covered
Memphis,Chattanooga,-30.5,Memphis -30.5,45.0,10.0,35.0,4.5,Memphis covered
Houston,Stephen F. Austin,-24.5,Houston -24.5,27.0,0.0,27.0,2.5,Houston covered
Houston,Stephen F. Austin,-23.5,Houston -23.5,27.0,0.0,27.0,3.5,Houston covered
Southern,North Carolina Central,10.5,North Carolina Central -10.5,14.0,31.0,17.0,6.5,North Carolina Central covered
Vanderbilt,Charleston Southern,-37.5,Vanderbilt -37.5,45.0,3.0,42.0,4.5,Vanderbilt covered
Vanderbilt,Charleston Southern,-38.5,Vanderbilt -38.5,45.0,3.0,42.0,3.5,Vanderbilt covered
Troy,Nicholls,-16.5,Troy -16.5,38.0,20.0,18.0,1.5,Troy covered
Troy,Nicholls,-19.5,Troy -19.5,38.0,20.0,18.0,-1.5,Troy did NOT cover
South Alabama,Morgan State,-28.5,South Alabama -28.5,38.0,21.0,17.0,-11.5,South Alabama did NOT cover
South Alabama,Morgan State,-28.5,South Alabama -28.5,38.0,21.0,17.0,-11.5,South Alabama did NOT cover
North Texas,Lamar,-27.5,North Texas -27.5,51.0,0.0,51.0,23.5,North Texas covered
North Texas,Lamar,-27.5,North Texas -27.5,51.0,0.0,51.0,23.5,North Texas covered
South Alabama,Tulane,13.5,Tulane -13.5,31.0,33.0,2.0,-11.5,Tulane did NOT cover
South Alabama,Tulane,13.5,Tulane -13.5,31.0,33.0,2.0,-11.5,Tulane did NOT cover
James Madison,Weber State,-26.5,James Madison -26.5,45.0,10.0,35.0,8.5,James Madison covered
James Madison,Weber State,-27.5,James Madison -27.5,45.0,10.0,35.0,7.5,James Madison covered
Middle Tennessee,Austin Peay,-14.5,Middle Tennessee -14.5,14.0,34.0,-20.0,-34.5,Middle Tennessee did NOT cover | OUTRIGHT UNDERDOG WIN: Austin Peay
Middle Tennessee,Austin Peay,-16.5,Middle Tennessee -16.5,14.0,34.0,-20.0,-36.5,Middle Tennessee did NOT cover | OUTRIGHT UNDERDOG WIN: Austin Peay
UAB,Alabama State,-21.0,UAB -21.0,52.0,42.0,10.0,-11.0,UAB did NOT cover
UAB,Alabama State,-21.5,UAB -21.5,52.0,42.0,10.0,-11.5,UAB did NOT cover
LSU,Louisiana Tech,-36.5,LSU -36.5,23.0,7.0,16.0,-20.5,LSU did NOT cover
LSU,Louisiana Tech,-36.5,LSU -36.5,23.0,7.0,16.0,-20.5,LSU did NOT cover
USC,Georgia Southern,-29.0,USC -29.0,59.0,20.0,39.0,10.0,USC covered
USC,Georgia Southern,-28.5,USC -28.5,59.0,20.0,39.0,10.5,USC covered
Air Force,Bucknell,-31.0,Air Force -31.0,49.0,13.0,36.0,5.0,Air Force covered
Air Force,Bucknell,-30.5,Air Force -30.5,49.0,13.0,36.0,5.5,Air Force covered
Auburn,Ball State,-43.0,Auburn -43.0,42.0,3.0,39.0,-4.0,Auburn did NOT cover
Auburn,Ball State,-42.5,Auburn -42.5,42.0,3.0,39.0,-3.5,Auburn did NOT cover
Toledo,Western Kentucky,-8.5,Toledo -8.5,45.0,21.0,24.0,15.5,Toledo covered
Toledo,Western Kentucky,-7.5,Toledo -7.5,45.0,21.0,24.0,16.5,Toledo covered
Arkansas State,Southeast Missouri State,-15.5,Arkansas State -15.5,42.0,24.0,18.0,2.5,Arkansas State covered
Nebraska,Akron,-34.0,Nebraska -34.0,68.0,0.0,68.0,34.0,Nebraska covered
Nebraska,Akron,-33.5,Nebraska -33.5,68.0,0.0,68.0,34.5,Nebraska covered
Alabama,UL Monroe,-34.0,Alabama -34.0,73.0,0.0,73.0,39.0,Alabama covered
Alabama,UL Monroe,-34.5,Alabama -34.5,73.0,0.0,73.0,38.5,Alabama covered
New Mexico State,Tulsa,3.0,Tulsa -3.0,21.0,14.0,-7.0,-10.0,Tulsa did NOT cover | OUTRIGHT UNDERDOG WIN: New Mexico State
New Mexico State,Tulsa,3.5,Tulsa -3.5,21.0,14.0,-7.0,-10.5,Tulsa did NOT cover | OUTRIGHT UNDERDOG WIN: New Mexico State
Northern Illinois,Holy Cross,-13.5,Northern Illinois -13.5,19.0,17.0,2.0,-11.5,Northern Illinois did NOT cover
Northern Illinois,Holy Cross,-13.5,Northern Illinois -13.5,19.0,17.0,2.0,-11.5,Northern Illinois did NOT cover
Hawai'i,Sam Houston,-7.0,Hawai'i -7.0,37.0,20.0,17.0,10.0,Hawai'i covered
Hawai'i,Sam Houston,-7.5,Hawai'i -7.5,37.0,20.0,17.0,9.5,Hawai'i covered
NC State,North Carolina,-2.5,NC State -2.5,,,,,
Washington,Oregon,11.5,Oregon -11.5,,,,,
Nebraska,Iowa,-2.5,Nebraska -2.5,,,,,
Southern Utah,Idaho State,-4.5,Southern Utah -4.5,46.0,24.0,22.0,17.5,Southern Utah covered
Southern Utah,Idaho State,-4.5,Southern Utah -4.5,46.0,24.0,22.0,17.5,Southern Utah covered
Virginia Tech,Vanderbilt,-2.5,Virginia Tech -2.5,20.0,44.0,-24.0,-26.5,Virginia Tech did NOT cover | OUTRIGHT UNDERDOG WIN: Vanderbilt
Virginia Tech,Vanderbilt,-1.5,Virginia Tech -1.5,20.0,44.0,-24.0,-25.5,Virginia Tech did NOT cover | OUTRIGHT UNDERDOG WIN: Vanderbilt
Georgia Tech,Georgia,13.5,Georgia -13.5,,,,,
Utah,Colorado,-8.5,Utah -8.5,,,,,
Davidson,Georgetown,3.5,Georgetown -3.5,14.0,51.0,37.0,33.5,Georgetown covered
Mississippi State,Ole Miss,11.5,Ole Miss -11.5,,,,,
Kansas,Wagner,-45.5,Kansas -45.5,46.0,7.0,39.0,-6.5,Kansas did NOT cover
Kansas,Wagner,-46.5,Kansas -46.5,46.0,7.0,39.0,-7.5,Kansas did NOT cover
Florida International,Bethune-Cookman,-26.5,Florida International -26.5,42.0,9.0,33.0,6.5,Florida International covered
Furman,William & Mary,-2.5,Furman -2.5,23.0,21.0,2.0,-0.5,Furman did NOT cover
Sacred Heart,Stonehill,-6.5,Sacred Heart -6.5,12.0,7.0,5.0,-1.5,Sacred Heart did NOT cover
Iowa,UAlbany,-39.5,Iowa -39.5,34.0,7.0,27.0,-12.5,Iowa did NOT cover
Northern Iowa,Butler,-16.5,Northern Iowa -16.5,38.0,14.0,24.0,7.5,Northern Iowa covered
Oklahoma,Missouri,-7.5,Oklahoma -7.5,,,,,
Iowa,Penn State,10.5,Penn State -10.5,,,,,
Youngstown State,Mercyhurst,-24.0,Youngstown State -24,24.0,15.0,9.0,-15.0,Youngstown State did NOT cover
Jackson State,Hampton,-18.5,Jackson State -18.5,28.0,14.0,14.0,-4.5,Jackson State did NOT cover
Florida A&M,Howard,-7.5,Florida A&M -7.5,9.0,10.0,-1.0,-8.5,Florida A&M did NOT cover | OUTRIGHT UNDERDOG WIN: Howard
St. Thomas (MN),Lindenwood,6.5,Lindenwood -6.5,35.0,13.0,-22.0,-28.5,Lindenwood did NOT cover | OUTRIGHT UNDERDOG WIN: St. Thomas (MN)
Illinois,Ohio State,13.5,Ohio State -13.5,,,,,
Eastern Illinois,Dayton,-9.5,Eastern Illinois -9.5,24.0,14.0,10.0,0.5,Eastern Illinois covered
Tennessee State,North Carolina A&T,-6.5,Tennessee State -6.5,24.0,21.0,3.0,-3.5,Tennessee State did NOT cover
Norfolk State,Towson,8.5,Towson -8.5,7.0,27.0,20.0,11.5,Towson covered
East Tennessee State,Murray State,-31.0,East Tennessee State -31,45.0,17.0,28.0,-3.0,East Tennessee State did NOT cover
Mississippi Valley State,Southern,12.5,Southern -12.5,29.0,34.0,5.0,-7.5,Southern did NOT cover
Samford,West Georgia,-6.5,Samford -6.5,3.0,34.0,-31.0,-37.5,Samford did NOT cover | OUTRIGHT UNDERDOG WIN: West Georgia
Northwestern State,Alcorn State,10.5,Alcorn State -10.5,20.0,10.0,-10.0,-20.5,Alcorn State did NOT cover | OUTRIGHT UNDERDOG WIN: Northwestern State
Mercer,Presbyterian,-22.5,Mercer -22.5,10.0,15.0,-5.0,-27.5,Mercer did NOT cover | OUTRIGHT UNDERDOG WIN: Presbyterian
North Carolina Central,New Hampshire,-4.5,North Carolina Central -4.5,10.0,27.0,-17.0,-21.5,North Carolina Central did NOT cover | OUTRIGHT UNDERDOG WIN: New Hampshire
South Carolina State,Wofford,-9.5,South Carolina State -9.5,16.0,15.0,1.0,-8.5,South Carolina State did NOT cover
Alabama,Vanderbilt,-24.0,Alabama -24,,,,,
Incarnate Word,Eastern Washington,-10.0,Incarnate Word -10,31.0,21.0,10.0,0.0,Incarnate Word did NOT cover
Western Carolina,Gardner-Webb,-6.5,Western Carolina -6.5,45.0,52.0,-7.0,-13.5,Western Carolina did NOT cover | OUTRIGHT UNDERDOG WIN: Gardner-Webb
South Dakota State,Sacramento State,-11.5,South Dakota State -11.5,20.0,3.0,17.0,5.5,South Dakota State covered
San Diego,Cal Poly,-1.5,San Diego -1.5,17.0,41.0,-24.0,-25.5,San Diego did NOT cover | OUTRIGHT UNDERDOG WIN: Cal Poly
Texas Southern,Prairie View A&M,-1.5,Texas Southern -1.5,21.0,22.0,-1.0,-2.5,Texas Southern did NOT cover | OUTRIGHT UNDERDOG WIN: Prairie View A&M
Utah Tech,UC Davis,18.5,UC Davis -18.5,24.0,31.0,7.0,-11.5,UC Davis did NOT cover
Boise State,Eastern Washington,-33.5,Boise State -33.5,51.0,14.0,37.0,3.5,Boise State covered
Boise State,Eastern Washington,-33.0,Boise State -33.0,51.0,14.0,37.0,4.0,Boise State covered
Northwestern,Western Illinois,-30.5,Northwestern -30.5,42.0,7.0,35.0,4.5,Northwestern covered
Northwestern,Western Illinois,-31.5,Northwestern -31.5,42.0,7.0,35.0,3.5,Northwestern covered
Minnesota,Northwestern State,-43.0,Minnesota -43.0,66.0,0.0,66.0,23.0,Minnesota covered
Minnesota,Northwestern State,-43.5,Minnesota -43.5,66.0,0.0,66.0,22.5,Minnesota covered
Temple,Howard,-28.0,Temple -28.0,55.0,7.0,48.0,20.0,Temple covered
Temple,Howard,-27.5,Temple -27.5,55.0,7.0,48.0,20.5,Temple covered
Tennessee,East Tennessee State,-39.5,Tennessee -39.5,72.0,17.0,55.0,15.5,Tennessee covered
Tennessee,East Tennessee State,-40.5,Tennessee -40.5,72.0,17.0,55.0,14.5,Tennessee covered
Georgia,Austin Peay,-47.0,Georgia -47.0,28.0,6.0,22.0,-25.0,Georgia did NOT cover
Georgia,Austin Peay,-46.5,Georgia -46.5,28.0,6.0,22.0,-24.5,Georgia did NOT cover
East Carolina,Campbell,-30.0,East Carolina -30.0,56.0,3.0,53.0,23.0,East Carolina covered
East Carolina,Campbell,-30.5,East Carolina -30.5,56.0,3.0,53.0,22.5,East Carolina covered
Wyoming,Northern Iowa,-14.0,Wyoming -14.0,31.0,7.0,24.0,10.0,Wyoming covered
Wyoming,Northern Iowa,-13.5,Wyoming -13.5,31.0,7.0,24.0,10.5,Wyoming covered
New Mexico,Idaho State,-17.5,New Mexico -17.5,32.0,22.0,10.0,-7.5,New Mexico did NOT cover
New Mexico,Idaho State,-17.5,New Mexico -17.5,32.0,22.0,10.0,-7.5,New Mexico did NOT cover
Buffalo,St. Francis (PA),-37.0,Buffalo -37.0,45.0,6.0,39.0,2.0,Buffalo covered
Buffalo,St. Francis (PA),-37.5,Buffalo -37.5,45.0,6.0,39.0,1.5,Buffalo covered
Southern Miss,Jackson State,-13.5,Southern Miss -13.5,38.0,20.0,18.0,4.5,Southern Miss covered
Southern Miss,Jackson State,-13.5,Southern Miss -13.5,38.0,20.0,18.0,4.5,Southern Miss covered
Old Dominion,North Carolina Central,-22.0,Old Dominion -22.0,54.0,6.0,48.0,26.0,Old Dominion covered
Old Dominion,North Carolina Central,-21.5,Old Dominion -21.5,54.0,6.0,48.0,26.5,Old Dominion covered
Florida Atlantic,Florida A&M,-21.0,Florida Atlantic -21.0,56.0,14.0,42.0,21.0,Florida Atlantic covered
Florida Atlantic,Florida A&M,-21.5,Florida Atlantic -21.5,56.0,14.0,42.0,20.5,Florida Atlantic covered
Utah,Cal Poly,-42.5,Utah -42.5,63.0,9.0,54.0,11.5,Utah covered
Utah,Cal Poly,-42.5,Utah -42.5,63.0,9.0,54.0,11.5,Utah covered
UTEP,UT Martin,-7.5,UTEP -7.5,42.0,17.0,25.0,17.5,UTEP covered
UTEP,UT Martin,-7.5,UTEP -7.5,42.0,17.0,25.0,17.5,UTEP covered
Coastal Carolina,Charleston Southern,-28.5,Coastal Carolina -28.5,13.0,0.0,13.0,-15.5,Coastal Carolina did NOT cover
Coastal Carolina,Charleston Southern,-27.5,Coastal Carolina -27.5,13.0,0.0,13.0,-14.5,Coastal Carolina did NOT cover
Louisiana,McNeese,-19.0,Louisiana -19.0,34.0,10.0,24.0,5.0,Louisiana covered
Louisiana,McNeese,-19.5,Louisiana -19.5,34.0,10.0,24.0,4.5,Louisiana covered
Purdue,Southern Illinois,-19.5,Purdue -19.5,34.0,17.0,17.0,-2.5,Purdue did NOT cover
Purdue,Southern Illinois,-22.5,Purdue -22.5,34.0,17.0,17.0,-5.5,Purdue did NOT cover
Wake Forest,Western Carolina,-17.5,Wake Forest -17.5,42.0,10.0,32.0,14.5,Wake Forest covered
Wake Forest,Western Carolina,-17.5,Wake Forest -17.5,42.0,10.0,32.0,14.5,Wake Forest covered
Ohio State,Grambling,-55.5,Ohio State -55.5,70.0,0.0,70.0,14.5,Ohio State covered
Ohio State,Grambling,-51.5,Ohio State -51.5,70.0,0.0,70.0,18.5,Ohio State covered
App State,Lindenwood,-31.5,App State -31.5,20.0,13.0,7.0,-24.5,App State did NOT cover
App State,Lindenwood,-29.5,App State -29.5,20.0,13.0,7.0,-22.5,App State did NOT cover
Georgia Tech,Gardner-Webb,-37.5,Georgia Tech -37.5,59.0,12.0,47.0,9.5,Georgia Tech covered
Georgia Tech,Gardner-Webb,-37.5,Georgia Tech -37.5,59.0,12.0,47.0,9.5,Georgia Tech covered
California,Texas Southern,-44.5,California -44.5,35.0,3.0,32.0,-12.5,California did NOT cover
California,Texas Southern,-44.5,California -44.5,35.0,3.0,32.0,-12.5,California did NOT cover
Eastern Michigan,Long Island University,-22.5,Eastern Michigan -22.5,23.0,28.0,-5.0,-27.5,Eastern Michigan did NOT cover | OUTRIGHT UNDERDOG WIN: Long Island University
Eastern Michigan,Long Island University,-21.5,Eastern Michigan -21.5,23.0,28.0,-5.0,-26.5,Eastern Michigan did NOT cover | OUTRIGHT UNDERDOG WIN: Long Island University
Arizona,Weber State,-31.5,Arizona -31.5,48.0,3.0,45.0,13.5,Arizona covered
Arizona,Weber State,-31.5,Arizona -31.5,48.0,3.0,45.0,13.5,Arizona covered
Nevada,Sacramento State,-8.0,Nevada -8.0,20.0,17.0,3.0,-5.0,Nevada did NOT cover
Nevada,Sacramento State,-9.5,Nevada -9.5,20.0,17.0,3.0,-6.5,Nevada did NOT cover
UCF,North Carolina A&T,-38.0,UCF -38.0,68.0,7.0,61.0,23.0,UCF covered
UCF,North Carolina A&T,-37.0,UCF -37,68.0,7.0,61.0,24.0,UCF covered
Florida State,East Texas A&M,-43.5,Florida State -43.5,77.0,3.0,74.0,30.5,Florida State covered
Florida State,East Texas A&M,-45.5,Florida State -45.5,77.0,3.0,74.0,28.5,Florida State covered
Massachusetts,Bryant,-14.5,Massachusetts -14.5,26.0,27.0,-1.0,-15.5,Massachusetts did NOT cover | OUTRIGHT UNDERDOG WIN: Bryant
Massachusetts,Bryant,-16.5,Massachusetts -16.5,26.0,27.0,-1.0,-17.5,Massachusetts did NOT cover | OUTRIGHT UNDERDOG WIN: Bryant
South Carolina,South Carolina State,-43.0,South Carolina -43.0,38.0,10.0,28.0,-15.0,South Carolina did NOT cover
South Carolina,South Carolina State,-42.5,South Carolina -42.5,38.0,10.0,28.0,-14.5,South Carolina did NOT cover
Washington,UC Davis,-28.0,Washington -28.0,70.0,10.0,60.0,32.0,Washington covered
Washington,UC Davis,-29.5,Washington -29.5,70.0,10.0,60.0,30.5,Washington covered
Charlotte,North Carolina,16.5,North Carolina -16.5,3.0,20.0,17.0,0.5,North Carolina covered
Charlotte,North Carolina,15.0,North Carolina -15.0,3.0,20.0,17.0,2.0,North Carolina covered
Colorado State,Northern Colorado,-35.0,Colorado State -35.0,21.0,17.0,4.0,-31.0,Colorado State did NOT cover
Colorado State,Northern Colorado,-34.5,Colorado State -34.5,21.0,17.0,4.0,-30.5,Colorado State did NOT cover
Miami,Bethune-Cookman,-54.5,Miami -54.5,45.0,3.0,42.0,-12.5,Miami did NOT cover
Mercyhurst,New Haven,-12.5,Mercyhurst -12.5,48.0,14.0,34.0,21.5,Mercyhurst covered
Lehigh,Sacred Heart,-20.0,Lehigh -20,28.0,10.0,18.0,-2.0,Lehigh did NOT cover
