player_id,player_name,team,conference,total_comp,total_att,total_yds,total_td,total_int,avg_qbr,min_qbr,max_qbr,games_with_qbr,total_games,weighted_avg_qbr,season_completion_pct,season_yards_per_attempt,season_td_rate,season_int_rate
4428993,Haynes King,Georgia Tech,ACC,95,134,939,7,0,68.2,8.6,90.8,6,6,83.1955223880597,0.7089552238805971,7.007462686567164,0.05223880597014925,0.0
4567707,Grayson James,Boston College,ACC,61,93,733,5,1,84.5,70.4,99.7,4,4,80.34838709677419,0.6559139784946236,7.881720430107527,0.053763440860215055,0.010752688172043012
4689114,Jaxson Dart,Ole Miss,SEC,136,217,2060,12,4,80.58571428571427,52.2,98.2,7,7,79.52811059907833,0.6267281105990783,9.493087557603687,0.055299539170506916,0.018433179723502304
4688380,Cameron Ward,Miami,ACC,180,274,2341,18,3,77.6,50.7,94.2,7,7,77.54744525547446,0.656934306569343,8.543795620437956,0.06569343065693431,0.010948905109489052
4430841,Carson Beck,Georgia,SEC,228,346,2607,23,9,77.62222222222223,55.9,98.0,9,9,77.46156069364162,0.6589595375722543,7.534682080924855,0.06647398843930635,0.02601156069364162
4875127,Lanorris Sellers,South Carolina,SEC,156,233,2045,15,6,76.4,54.0,92.5,9,9,75.35622317596567,0.6695278969957081,8.776824034334764,0.06437768240343347,0.02575107296137339
4685413,Cade Klubnik,Clemson,ACC,209,328,2337,17,4,78.4,45.2,95.2,9,9,75.32469512195122,0.6371951219512195,7.125,0.051829268292682924,0.012195121951219513
5084084,Kevin Jennings,SMU,ACC,137,201,2013,13,6,73.60000000000001,11.4,95.8,7,7,75.0457711442786,0.681592039800995,10.014925373134329,0.06467661691542288,0.029850746268656716
4775264,Tony Muskett,Virginia,ACC,43,71,535,3,2,86.3,53.9,99.8,5,5,74.0338028169014,0.6056338028169014,7.535211267605634,0.04225352112676056,0.028169014084507043
4567747,Garrett Nussmeier,LSU,SEC,174,292,2083,11,7,74.62857142857142,56.5,90.9,7,7,73.37020547945207,0.5958904109589042,7.133561643835616,0.03767123287671233,0.023972602739726026
4360689,Tyler Shough,Louisville,ACC,177,290,2209,12,5,71.75555555555555,61.4,88.6,9,9,72.57689655172413,0.6103448275862069,7.617241379310345,0.041379310344827586,0.017241379310344827
4433971,Kyle McCord,Syracuse,ACC,253,381,2867,15,7,74.175,22.1,92.2,8,8,71.88451443569554,0.6640419947506562,7.524934383202099,0.03937007874015748,0.01837270341207349
4870971,Marcel Reed,Texas A&M,SEC,78,119,987,6,4,75.78,59.2,99.8,5,5,71.11344537815125,0.6554621848739496,8.294117647058824,0.05042016806722689,0.03361344537815126
4431325,Taylen Green,Arkansas,SEC,131,198,1576,8,4,67.92857142857143,40.9,90.4,7,7,71.05656565656567,0.6616161616161617,7.959595959595959,0.04040404040404041,0.020202020202020204
4432734,Jalen Milroe,Alabama,SEC,127,202,1688,5,9,73.48750000000001,15.4,99.3,8,8,70.57277227722771,0.6287128712871287,8.356435643564357,0.024752475247524754,0.04455445544554455
5084180,Diego Pavia,Vanderbilt,SEC,110,192,1412,11,4,69.9375,44.2,95.9,8,8,70.20156250000001,0.5729166666666666,7.354166666666667,0.057291666666666664,0.020833333333333332
4429435,Brady Cook,Missouri,SEC,91,155,1302,5,1,65.9857142857143,12.9,94.1,7,7,67.01290322580645,0.5870967741935483,8.4,0.03225806451612903,0.0064516129032258064
4870799,Nico Iamaleava,Tennessee,SEC,138,215,1620,12,3,67.475,17.5,90.8,8,8,66.82837209302325,0.641860465116279,7.534883720930233,0.05581395348837209,0.013953488372093023
4430590,Payton Thorne,Auburn,SEC,138,215,1675,11,3,66.71428571428571,43.1,86.1,7,7,66.76139534883721,0.641860465116279,7.790697674418604,0.05116279069767442,0.013953488372093023
5079620,Michael Van Buren Jr.,Mississippi State,SEC,121,220,1642,11,7,62.614285714285714,27.6,88.2,7,7,64.25454545454546,0.55,7.463636363636364,0.05,0.031818181818181815
4889929,Quinn Ewers,Texas,SEC,148,227,1616,16,5,66.78571428571429,23.9,90.0,7,7,63.84052863436123,0.6519823788546255,7.118942731277533,0.07048458149779736,0.022026431718061675
4685497,Maalik Murphy,Duke,ACC,147,244,1707,14,8,61.3,24.4,78.4,7,7,63.44754098360655,0.6024590163934426,6.995901639344262,0.05737704918032787,0.03278688524590164
4837248,Fernando Mendoza,California,ACC,182,263,2112,11,4,64.52857142857142,38.5,89.2,7,7,63.11558935361217,0.6920152091254753,8.03041825095057,0.04182509505703422,0.015209125475285171
5079301,CJ Bailey,NC State,ACC,135,211,1714,12,7,63.97142857142857,41.4,98.4,7,7,60.725118483412324,0.6398104265402843,8.123222748815166,0.05687203791469194,0.03317535545023697
