gameId,offense,defense,final_offense_score,final_defense_score,total_yards,total_plays,penalties,turnovers,explosives,third_down_attempts,third_down_success,fourth_down_attempts,fourth_down_success,total_ppa,avg_ppa,win
401752803,Northwestern,Tulane,3,23,342,78,5,5,4,14,6,8,1,-8.160423146480982,-0.12953052613461877,0
401752803,Tulane,Northwestern,23,3,613,99,2,0,8,17,7,11,4,11.836681855751552,0.1599551602128588,1
401752804,Montana State,Oregon,13,59,432,77,8,2,8,13,3,11,4,4.637385611206433,0.08135764230186725,0
401752804,Oregon,Montana State,59,13,599,80,2,0,10,11,7,3,3,40.51188053843128,0.6329981334129887,1
401752805,Colorado State,Washington,21,38,401,77,4,1,8,14,3,11,4,10.538246052381094,0.17563743420635156,0
401752805,Washington,Colorado State,38,21,627,95,4,1,12,16,8,4,2,23.147873407528497,0.30863831210037995,1
401752806,Indiana,Old Dominion,27,14,639,115,3,1,9,19,12,8,3,9.027581498380618,0.1014334999818047,1
401752806,Old Dominion,Indiana,14,27,472,68,6,1,4,12,5,9,2,13.02321358128753,0.3028654321229658,0
401752807,Nevada,Penn State,11,46,363,71,6,3,5,13,4,10,2,-3.06276853874972,-0.061255370774994405,0
401752807,Penn State,Nevada,46,11,630,91,3,1,10,14,6,8,6,25.142107111856514,0.35411418467403544,1
401752808,Michigan,New Mexico,34,17,565,82,3,0,8,14,6,8,2,23.850637523669846,0.38468770199467495,1
401752808,New Mexico,Michigan,17,34,371,101,7,3,5,17,6,10,3,-3.9253710953462964,-0.05164961967560916,0
401752936,California,Oregon State,34,15,478,87,4,2,10,17,2,17,6,9.904072401829922,0.15974310325532132,1
401752936,Oregon State,California,15,34,641,78,3,3,13,12,4,11,8,5.5504615563145645,0.09099117305433713,0
401752947,Idaho,Washington State,10,13,351,84,3,2,3,18,6,9,3,1.1128126886848904,0.017663693471188735,0
401752947,Washington State,Idaho,13,10,315,79,5,2,5,12,3,10,3,3.2371633369113817,0.05885751521657057,1
401754373,East Carolina,NC State,17,24,474,98,8,0,7,19,7,13,2,12.082557760372403,0.16327780757260005,0
401754373,NC State,East Carolina,24,17,604,95,8,1,12,19,9,8,4,12.283336081307993,0.1780193634972173,1
401754374,Kennesaw State,Wake Forest,9,10,402,97,6,1,7,25,9,11,3,5.49509014741856,0.07425797496511569,0
401754374,Wake Forest,Kennesaw State,10,9,330,109,9,0,4,20,6,14,2,3.851080404913517,0.05275452609470571,1
401754375,Colorado,Georgia Tech,20,27,414,81,4,0,6,14,5,10,4,8.946916299260153,0.15164264914000258,0
401754375,Georgia Tech,Colorado,27,20,511,92,8,3,8,15,7,6,4,23.784997217803948,0.34977937085005806,1
401754516,Hawai'i,Stanford,23,20,508,80,3,0,8,11,4,8,2,2.707852753480169,0.041659273130464136,1
401754516,Stanford,Hawai'i,20,23,457,91,1,1,5,19,9,10,6,5.819182226247038,0.07656818718746101,0
401754517,Duke,Elon,45,17,681,79,3,1,12,12,6,3,2,29.604237017953327,0.501766729117853,1
401754517,Elon,Duke,17,45,451,88,8,0,8,18,8,11,4,12.08989934812748,0.19819507128077835,0
401754518,Boston College,Fordham,66,10,683,94,0,0,10,18,12,6,2,34.94562640689033,0.44802085137038883,1
401754518,Fordham,Boston College,10,66,350,85,1,1,6,16,4,13,5,-12.81365240992824,-0.19124854343176478,0
401754519,Eastern Kentucky,Louisville,17,51,396,79,8,1,6,18,5,12,4,-4.9375143610893275,-0.09316064832244014,0
401754519,Louisville,Eastern Kentucky,51,17,694,83,5,3,11,10,7,2,1,22.740398672397454,0.34455149503632504,1
401754520,Duquesne,Pittsburgh,9,61,416,90,11,0,7,20,2,16,4,-2.7527454449696585,-0.050049917181266515,0
401754520,Pittsburgh,Duquesne,61,9,530,88,3,1,8,15,6,9,4,25.52536138052838,0.39883377157075595,1
401754521,East Texas A&M,SMU,13,42,662,107,8,3,13,28,6,15,9,-12.944500366337474,-0.16595513290176248,0
401754521,SMU,East Texas A&M,42,10,498,87,8,3,4,13,4,6,1,13.229786482886325,0.20999661083946547,1
401754522,Miami,Notre Dame,27,24,436,91,4,1,4,18,6,12,4,11.152408495915564,0.16400600729287595,1
401754522,Notre Dame,Miami,24,27,396,77,3,3,6,11,4,7,2,10.495390218279947,0.18095500376344736,0
401754523,North Carolina,TCU,14,48,284,58,1,3,4,11,3,7,1,-0.8813031977643817,-0.01798577954621187,0
401754523,TCU,North Carolina,48,14,601,81,4,1,9,13,7,4,2,28.364092299272638,0.39394572637878666,1
401754616,Coastal Carolina,Virginia,7,48,409,92,8,3,4,15,1,13,3,-5.621052386447642,-0.08647772902227141,0
401754616,Virginia,Coastal Carolina,48,7,612,107,4,1,9,19,9,10,5,28.596346525888904,0.36661982725498593,1
401756846,Iowa State,Kansas State,24,21,527,93,1,3,8,18,4,12,7,8.797910070506633,0.12051931603433744,1
401756846,Kansas State,Iowa State,21,24,439,75,4,1,8,18,6,10,1,6.522898666352094,0.11443681870793147,0
401756847,Fresno State,Kansas,7,31,279,69,3,3,3,16,7,6,1,3.64738983359726,0.06288603161374587,0
401756847,Kansas,Fresno State,31,7,519,76,1,1,5,10,2,7,3,21.85552514729653,0.34149258042650826,1
401756848,Jacksonville State,UCF,10,17,487,93,10,1,8,20,4,14,6,4.683901030906784,0.06888089751333507,0
401756848,UCF,Jacksonville State,17,10,540,93,6,5,11,18,7,11,4,15.65227386953026,0.22045456154267973,1
401756849,Arizona,Hawai'i,40,6,437,79,10,1,7,12,4,8,4,14.438562497061227,0.2776646634050236,1
401756849,Hawai'i,Arizona,6,40,443,95,6,5,6,18,4,8,4,-3.043709292424987,-0.04058279056566649,0
401756850,Arizona State,Northern Arizona,38,19,652,89,9,2,10,11,3,11,4,31.99699852993637,0.5160806214505866,1
401756850,Northern Arizona,Arizona State,19,38,528,101,5,1,11,20,2,18,7,-0.5770950614424819,-0.008128099456936365,0
401756851,BYU,Portland State,69,0,690,91,3,0,10,10,6,4,3,43.86460796047476,0.6646152721284054,1
401756851,Portland State,BYU,0,69,221,73,5,3,4,15,1,13,6,-13.17509026529603,-0.29943386966581886,0
401756852,Houston,Stephen F. Austin,27,0,458,96,5,1,8,20,8,11,3,-0.38964410274489314,-0.005195254703265242,1
401756852,Stephen F. Austin,Houston,0,27,145,73,2,3,2,18,3,11,1,-16.101983108989568,-0.26396693621294376,0
401756853,Iowa State,South Dakota,55,7,672,95,4,1,7,12,10,2,1,37.14245635509653,0.5627644902287353,1
401756853,South Dakota,Iowa State,7,55,341,72,4,3,5,13,5,7,2,1.3732787997385165,0.02746557599477033,0
401756854,Kansas,Wagner,46,7,743,100,6,2,11,11,4,7,5,28.41753369038934,0.36905887909596546,1
401756854,Wagner,Kansas,7,46,245,70,5,0,3,18,2,16,4,-5.366592806645004,-0.11418282567329796,0
401756855,Kansas State,North Dakota,38,35,585,94,1,2,7,14,6,9,4,22.587148494466003,0.30941299307487674,1
401756855,North Dakota,Kansas State,35,38,452,99,5,3,14,18,5,10,2,11.060523581187889,0.15151402166010808,0
401756876,Oklahoma State,UT Martin,27,7,456,89,1,0,5,20,11,8,3,14.39017166919357,0.1918689555892476,1
401756876,UT Martin,Oklahoma State,7,27,295,72,4,1,3,15,6,9,1,2.523137837950154,0.04505603282053846,0
401756877,Arkansas-Pine Bluff,Texas Tech,7,67,323,79,6,1,5,17,5,11,2,-5.692646363952409,-0.09814907524055878,0
401756877,Texas Tech,Arkansas-Pine Bluff,67,7,747,80,4,0,10,8,7,1,1,45.570377599213565,0.7723792813426028,1
401756878,Robert Morris,West Virginia,3,45,311,81,4,2,5,17,4,14,4,-17.28844622898196,-0.2980766591203786,0
401756878,West Virginia,Robert Morris,45,3,615,102,8,4,9,13,6,10,2,31.18757954228716,0.41036288871430476,1
401757167,Central Connecticut,UConn,13,59,466,93,8,0,9,21,6,13,3,-2.625801319422613,-0.04167938602258116,0
