gameId,offense,defense,final_offense_score,final_defense_score,total_yards,total_plays,penalties,turnovers,explosives,third_down_attempts,third_down_success,fourth_down_attempts,fourth_down_success,total_ppa,avg_ppa,win
401762435,North Texas,Lamar,51,0,561,94,6,1,8,12,7,6,2,21.00076365370378,0.2876816938863531,1
401762456,Massachusetts,Temple,10,42,458,84,7,2,6,14,4,11,2,-4.059752521486072,-0.06655332002436183,0
401762456,Temple,Massachusetts,42,10,552,86,3,0,7,14,9,3,0,30.862168811803095,0.474802597104663,1
401762457,Abilene Christian,Tulsa,7,35,297,78,4,3,4,21,5,11,2,-7.220820561751207,-0.12034700936252012,0
401762457,Tulsa,Abilene Christian,35,7,669,106,8,0,10,22,8,13,7,29.185857398159506,0.369441232888095,1
401762522,Boise State,South Florida,7,34,418,105,7,4,4,22,6,12,2,-2.8310817149303906,-0.032919554824771984,0
401762522,South Florida,Boise State,34,7,542,77,6,1,10,19,8,12,4,16.91983468226966,0.3192421638164087,1
401762789,Akron,Wyoming,0,10,255,81,2,1,1,16,3,14,4,-15.308675444811616,-0.22512758007075906,0
401762789,Wyoming,Akron,10,0,513,94,5,0,10,20,9,12,3,6.505322645334387,0.08448470967966737,1
401762790,Bowling Green,Lafayette,26,7,529,83,3,0,8,15,6,9,4,-1.593111581690282,-0.02611658330639807,1
401762790,Lafayette,Bowling Green,7,26,339,71,3,0,3,14,4,12,1,-4.601902712052992,-0.0807351352991753,0
401762791,Miami (OH),Wisconsin,0,17,127,58,5,2,1,13,1,10,0,-7.490487514475876,-0.19206378242245836,0
401762791,Wisconsin,Miami (OH),17,0,392,97,5,1,4,18,9,11,4,9.89616817509275,0.13194890900123668,1
401762792,Kent State,Merrimack,21,17,387,74,6,0,4,14,5,10,1,7.002446555554772,0.1250436884920495,1
401762792,Merrimack,Kent State,17,21,651,93,5,0,14,15,3,14,5,4.762202014091668,0.07326464637064103,0
401762793,Holy Cross,Northern Illinois,17,19,486,75,2,1,6,15,4,10,3,-9.160021222017768,-0.16963002262995866,0
401762793,Northern Illinois,Holy Cross,19,17,592,105,6,3,10,21,5,15,5,3.353348138374014,0.046574279699639086,1
401766898,Bethune-Cookman,Florida International,9,42,572,89,3,2,11,17,5,10,4,-1.637901291301049,-0.02408678369560366,0
401766898,Florida International,Bethune-Cookman,42,9,599,94,8,0,7,16,9,5,3,29.038767111317142,0.40899671987770625,1
401767059,Eastern Washington,Incarnate Word,21,31,411,77,0,2,7,15,5,9,3,4.259929874700003,0.06553738268769235,0
401767059,Incarnate Word,Eastern Washington,31,21,614,106,2,3,7,18,9,10,3,14.408278448831041,0.16373043691853456,1
401767070,Cal Poly,San Diego,41,17,590,94,5,0,10,15,7,8,2,31.45517765273033,0.44935968075329047,1
401767070,San Diego,Cal Poly,17,41,489,83,3,0,6,15,5,11,4,8.47598638956409,0.1345394665010173,0
401767080,Idaho State,Southern Utah,24,46,550,86,4,1,9,17,5,10,2,0.307494991417657,0.004659015021479652,0
401767080,Southern Utah,Idaho State,46,24,670,99,3,0,11,17,8,6,2,28.546275746754834,0.38576048306425453,1
