,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
28,401752695,238,Vanderbilt,SEC,away,44,14-20,0,23,1-1,1,1,,,1,,,,8,228,4,,3,32:12,,,,7,37,3,262,3,34,8,5-7,1,11-77,490,2,11.4,7.1
29,401752695,259,Virginia Tech,ACC,home,20,17-29,0,16,1-2,1,1,0,0,0,,,,8,134,2,1,1,27:48,,,,3,31,1,114,0,15,2,6-14,1,3-30,248,1,4.6,3.7
30,401752810,158,Nebraska,Big Ten,home,68,32-40,,31,0-1,0,1,,,0,0,42,2,12,494,,,4,30:10,0,92,5,,33,5,236,,,,8-10,0,6-71,730,0,12.4,7.2
31,401752810,2006,Akron,Mid-American,away,0,9-23,,13,1-2,0,1,,,0,0,125,6,0,62,,,0,29:50,,,,,36,0,113,,,,1-14,1,1-5,175,0,2.7,3.1
32,401752811,213,Penn State,Big Ten,home,34,19-33,0,20,2-4,0,1,0,3,0,0,18,1,10,200,4,1,2,25:43,0,15,3,8,31,2,209,2,41,9,3-12,0,1-10,409,0,6.1,6.7
33,401752811,2229,Florida International,Conference USA,away,0,18-33,0,14,3-5,1,0,,,1,,,,,149,6,,0,34:17,0,10,2,2,39,0,141,2,40,2,6-18,1,4-40,290,2,4.5,3.6
34,401752812,84,Indiana,Big Ten,home,56,21-28,0,28,1-2,0,1,0,24,0,0,17,1,8,280,1,1,5,32:30,0,35,1,1,38,3,316,2,31,14,5-9,0,4-40,596,0,10.0,8.3
35,401752812,338,Kennesaw State,Conference USA,away,9,13-21,0,10,0-0,1,0,,,1,,,,9,182,3,,0,27:30,0,6,1,1,32,0,89,0,31,3,2-13,1,3-34,271,2,8.7,2.8
36,401752813,135,Minnesota,Big Ten,home,66,13-17,2,25,1-2,0,2,1,29,1,,,,12,226,1,2,2,33:13,0,35,5,2,46,5,258,2,21,6,2-6,0,4-45,484,1,13.3,5.6
37,401752813,2466,Northwestern State,Southland,away,0,9-15,0,2,0-0,2,0,0,0,2,0,39,4,,23,0,1,0,20:32,,,,1,22,0,19,1,37,4,2-10,3,2-13,42,4,1.5,0.9
38,401752814,30,USC,Big Ten,home,59,20-30,0,28,0-0,1,0,0,0,0,0,35,2,11,446,1,1,4,30:12,,,,2,33,4,309,4,50,8,5-9,1,8-93,755,1,14.9,9.4
39,401752814,290,Georgia Southern,Sun Belt,away,20,24-45,0,26,2-3,0,1,,,1,0,18,1,2,235,2,,3,29:48,0,1,2,1,33,0,142,0,41,2,4-15,1,1-1,377,1,5.2,4.3
40,401752815,194,Ohio State,Big Ten,home,70,24-28,1,32,1-1,0,2,0,0,1,0,17,1,10,377,1,1,5,30:55,0,8,1,1,38,4,274,2,36,9,5-7,1,3-15,651,1,13.5,7.2
41,401752815,2755,Grambling,SWAC,away,0,11-22,0,10,1-1,2,0,0,0,1,0,14,1,0,72,1,1,0,29:05,,,,0,33,0,94,0,41,1,3-14,2,6-40,166,3,3.3,2.8
42,401752816,103,Boston College,ACC,away,40,34-45,0,25,0-0,1,1,,,0,0,54,3,10,390,1,,4,30:12,,,,2,25,1,67,4,31,8,5-11,1,8-59,457,1,8.7,2.7
43,401752816,127,Michigan State,Big Ten,home,42,19-29,0,21,1-2,1,1,,,0,0,108,3,10,231,3,,4,29:48,0,8,3,1,35,1,149,0,37,4,5-12,2,6-60,380,1,8.0,4.3
44,401752817,77,Northwestern,Big Ten,home,42,21-29,0,24,1-1,1,0,0,7,0,,,,10,245,8,1,3,35:54,0,2,4,4,41,2,281,2,26,3,8-16,2,6-54,526,1,8.4,6.9
45,401752817,2710,Western Illinois,Big South-OVC,away,7,12-27,0,10,0-0,0,1,,,1,0,63,5,1,110,3,,1,24:06,,,,0,23,0,71,1,37,6,2-12,0,3-13,181,1,4.1,3.1
46,401752818,164,Rutgers,Big Ten,home,45,26-36,0,31,0-1,0,,0,68,0,0,47,2,9,259,0,1,4,39:06,0,7,1,0,41,2,162,2,23,5,7-10,,2-14,421,0,7.2,4.0
47,401752818,193,Miami (OH),Mid-American,away,17,14-22,0,13,0-1,0,,,,1,,,,5,251,3,,0,20:54,,,,0,22,2,117,3,39,5,3-8,,10-94,368,1,11.4,5.3
48,401752819,79,Southern Illinois,MVFC,away,17,20-33,0,20,1-2,0,,0,0,0,,,,5,202,2,1,1,23:14,,,,0,26,1,81,0,48,7,5-11,,5-66,283,0,6.1,3.1
49,401752819,2509,Purdue,Big Ten,home,34,14-23,0,29,2-3,0,,,,1,0,40,2,10,170,3,,2,36:46,0,17,1,0,53,2,214,3,36,7,9-14,,2-30,384,1,7.4,4.0
50,401752820,275,Wisconsin,Big Ten,home,42,23-27,0,21,2-2,0,,0,0,1,0,25,1,6,283,2,1,3,30:43,0,3,1,0,29,3,173,5,37,8,4-9,,0-0,456,1,10.5,6.0
51,401752820,2393,Middle Tennessee,Conference USA,away,10,21-32,0,14,1-2,0,1,0,7,1,,,,4,208,0,1,1,29:17,0,15,1,0,28,0,33,0,39,7,5-14,0,4-25,241,1,6.5,1.2
52,401752821,264,Washington,Big Ten,home,70,19-30,1,34,2-2,0,,0,0,0,0,28,2,10,304,2,1,1,35:08,1,95,2,3,46,8,324,3,29,4,11-13,,5-65,628,0,10.1,7.0
53,401752821,302,UC Davis,Big Sky,away,10,14-28,0,13,1-1,0,0,,,1,0,24,2,4,142,1,,1,24:52,,,,1,24,0,76,0,48,1,4-12,1,9-65,218,1,5.1,3.2
54,401752822,66,Iowa State,Big 12,home,16,18-27,0,14,0-0,1,0,0,24,0,0,0,1,10,134,3,1,1,28:52,0,1,1,4,30,0,104,3,34,6,8-15,2,5-42,238,1,5.0,3.5
55,401752822,2294,Iowa,Big Ten,away,13,13-24,0,16,1-2,0,1,,,1,0,55,3,7,83,4,,0,31:08,0,-7,1,1,39,1,131,0,25,3,5-14,1,4-38,214,1,3.5,3.4
56,401752823,26,UCLA,Big Ten,away,23,29-41,0,27,4-5,1,0,,,1,0,106,5,11,255,1,,1,31:26,0,0,1,0,30,1,173,2,18,3,3-13,1,14-129,428,2,6.2,5.8
57,401752823,2439,UNLV,Mountain West,home,30,15-21,0,20,1-1,0,1,0,0,0,0,19,2,6,203,4,1,3,28:34,0,0,1,3,30,1,151,2,34,5,5-10,0,13-130,354,0,9.7,5.0
58,401752824,197,Oklahoma State,Big 12,away,3,7-19,0,9,1-1,0,,,,2,0,39,3,3,67,0,,0,31:19,,,,3,42,0,144,0,28,3,4-16,,8-45,211,2,3.5,3.4
59,401752824,2483,Oregon,Big Ten,home,69,18-25,2,24,1-2,0,,2,56,0,,,,9,319,7,2,3,28:41,0,15,1,2,37,5,312,2,33,4,7-12,,6-35,631,0,12.8,8.4
60,401752825,150,Duke,ACC,home,19,25-39,0,21,1-2,4,0,,,1,,,,7,356,4,,2,23:48,0,4,1,3,24,0,82,4,33,10,4-10,4,6-69,438,5,9.1,3.4
61,401752825,356,Illinois,Big Ten,away,45,22-31,0,25,2-2,0,4,0,-1,0,0,25,2,9,296,1,1,3,36:12,,,,5,42,3,123,2,27,2,5-13,1,7-51,419,0,9.5,2.9
62,401752826,120,Maryland,Big Ten,home,20,19-36,0,20,1-2,1,0,,,0,0,16,2,8,254,1,,2,26:25,0,15,3,1,28,0,86,4,44,9,3-12,1,3-30,340,1,7.1,3.1
63,401752826,2459,Northern Illinois,Mid-American,away,9,14-22,0,13,4-6,0,1,,,0,0,50,3,3,91,3,,0,33:35,,,,1,48,1,180,0,37,2,7-20,0,6-55,271,0,4.1,3.8
64,401752937,204,Oregon State,Pac-12,home,27,32-49,0,30,1-2,0,,0,31,2,0,65,5,3,388,1,1,4,37:25,0,5,1,1,33,0,156,0,30,4,10-17,,10-70,544,2,7.9,4.7
65,401752937,278,Fresno State,Mountain West,away,36,13-18,2,15,0-0,0,,1,61,1,0,121,5,12,121,6,2,0,22:34,1,42,1,5,27,2,199,2,44,6,1-8,,6-55,320,1,6.7,7.4
66,401752948,21,San Diego State,Mountain West,away,13,15-30,0,10,1-4,0,,,,0,,,,1,133,4,,1,24:54,0,4,1,4,30,1,82,0,44,3,2-13,,6-38,215,0,4.4,2.7
67,401752948,265,Washington State,Pac-12,home,36,28-42,0,19,2-3,0,0,,,0,0,44,2,10,257,5,,3,35:06,0,21,3,5,33,1,145,3,31,7,5-18,1,8-55,402,0,6.1,4.4
68,401754524,152,NC State,ACC,home,35,16-23,0,22,2-2,0,,0,0,0,,,,5,200,2,1,1,27:35,0,8,1,4,33,4,220,0,31,5,1-7,,1-15,420,0,8.7,6.7
69,401754524,258,Virginia,ACC,away,31,30-43,0,24,1-2,0,,,,1,0,19,1,7,257,3,,1,32:25,0,81,4,4,32,3,257,0,26,5,13-19,,3-20,514,1,6.0,8.0
70,401754525,239,Baylor,Big 12,away,48,34-50,0,32,3-6,2,0,0,0,0,0,142,6,12,440,2,1,4,32:36,0,-6,2,0,44,2,161,2,41,5,8-18,2,6-64,601,2,8.8,3.7
71,401754525,2567,SMU,ACC,home,45,16-22,0,23,1-1,0,2,,,1,0,38,2,9,295,7,,3,27:24,0,4,1,0,44,3,163,1,55,6,5-13,1,6-55,458,1,13.4,3.7
72,401754526,24,Stanford,ACC,away,3,17-32,0,12,2-3,1,0,,,2,0,39,2,3,142,0,,0,25:04,,,,2,24,0,19,3,44,6,2-13,2,6-45,161,3,4.4,0.8
73,401754526,252,BYU,Big 12,home,27,17-27,0,18,1-2,0,1,0,50,0,0,44,1,13,175,0,2,0,34:56,0,61,3,7,41,2,157,3,25,8,5-14,1,4-35,332,0,6.5,3.8
74,401754527,153,North Carolina,ACC,away,20,17-25,0,15,1-2,0,,0,34,0,0,19,1,8,155,5,2,1,29:38,0,8,2,5,33,1,148,1,34,5,5-15,,5-55,303,0,6.2,4.5
75,401754527,2429,Charlotte,American Athletic,home,3,25-41,0,21,0-1,0,,,,2,,,,3,250,2,,0,30:22,0,5,2,2,28,0,22,0,36,5,7-16,,5-43,272,2,6.1,0.8
76,401754528,97,Louisville,ACC,home,28,13-23,1,12,1-2,1,1,0,0,0,0,25,1,6,151,2,1,1,22:48,,,,2,30,1,113,6,39,7,5-14,1,5-49,264,1,6.6,3.8
77,401754528,256,James Madison,Sun Belt,away,14,18-31,0,19,1-3,1,1,,,1,0,51,3,2,137,4,,1,37:12,0,17,3,4,47,1,126,3,25,8,7-17,1,12-95,263,2,4.4,2.7
78,401754529,221,Pittsburgh,ACC,home,45,24-32,0,22,0-1,0,1,,,1,0,84,3,9,340,2,,4,23:17,0,26,2,10,26,2,124,4,38,11,6-9,0,6-63,464,1,10.6,4.8
79,401754529,2117,Central Michigan,Mid-American,away,17,20-27,0,13,3-5,1,0,0,18,0,0,31,2,5,177,3,1,1,36:43,0,2,1,3,41,1,40,1,34,2,6-17,3,9-75,217,1,6.6,1.0
80,401754530,25,California,ACC,home,35,28-39,0,22,1-2,1,0,0,28,1,0,52,2,9,286,3,1,1,31:38,0,44,5,5,34,3,181,2,23,5,6-12,2,7-81,467,2,7.3,5.3
81,401754530,2640,Texas Southern,SWAC,away,3,20-36,0,13,0-0,0,1,0,17,1,0,91,4,3,140,3,1,0,28:22,0,7,1,0,22,0,52,1,39,3,3-14,0,10-75,192,1,3.9,2.4
82,401754618,41,UConn,FBS Independents,away,20,25-44,0,20,2-4,0,1,0,0,0,0,36,2,8,274,6,1,1,33:34,0,8,4,2,34,1,142,3,51,7,4-17,0,4-32,416,0,6.2,4.2
83,401754618,183,Syracuse,ACC,home,27,33-53,0,24,1-3,1,0,,,1,0,16,1,7,417,7,,2,26:26,0,6,2,4,29,1,44,1,57,7,5-15,1,4-28,461,2,7.9,1.5
84,401754620,154,Wake Forest,ACC,home,42,16-26,0,21,0-1,2,1,0,5,1,0,26,1,4,269,5,1,2,24:02,0,53,5,8,31,4,273,5,33,15,4-10,2,3-22,542,3,10.3,8.8
85,401754620,2717,Western Carolina,Southern,away,10,26-43,0,17,2-3,1,2,0,0,1,0,11,1,4,204,2,1,0,35:58,,,,1,33,1,34,0,32,8,4-17,3,5-48,238,2,4.7,1.0
86,401754621,52,Florida State,ACC,home,77,16-20,0,29,3-3,1,0,0,48,0,0,40,2,11,368,2,2,6,31:59,0,25,2,0,51,5,361,3,25,9,10-14,2,3-35,729,1,18.4,7.1
87,401754621,2837,East Texas A&M,Southland,away,3,7-13,0,9,0-1,0,1,,,2,,,,3,92,1,,0,28:01,,,,0,36,0,105,1,42,5,3-12,1,7-55,197,2,7.1,2.9
88,401754622,59,Georgia Tech,ACC,home,59,22-29,0,21,1-2,1,1,,,1,0,6,1,11,457,2,,2,22:40,0,50,4,1,28,5,223,6,40,14,2-8,2,12-94,680,2,15.8,8.0
89,401754622,2241,Gardner-Webb,Big South-OVC,away,12,20-30,0,20,1-2,1,0,0,0,0,0,34,3,0,209,0,1,2,37:23,,,,3,47,0,117,0,36,1,4-18,1,5-20,326,1,7.0,2.5
90,401754637,228,Clemson,ACC,home,27,18-24,0,17,0-1,1,0,0,13,1,0,30,2,9,196,3,3,2,26:59,,,,4,31,1,120,4,42,5,5-12,1,3-30,316,2,8.2,3.9
91,401754637,2653,Troy,Sun Belt,away,16,19-31,1,16,1-2,0,1,1,4,3,,,,4,223,4,1,1,33:01,0,1,1,0,32,0,78,1,37,4,5-13,0,10-97,301,3,7.2,2.4
92,401754641,2065,Bethune-Cookman,SWAC,away,3,14-18,0,14,0-1,1,0,,,1,,,,3,99,4,,0,31:55,,,,0,33,0,92,2,38,3,1-11,1,2-20,191,2,5.5,2.8
93,401754641,2390,Miami,ACC,home,45,30-36,0,31,0-1,0,1,0,0,0,0,25,1,9,344,0,1,2,28:05,0,11,2,1,30,4,199,1,30,10,4-6,1,4-50,543,0,9.6,6.6
94,401756879,12,Arizona,Big 12,home,48,20-28,1,31,1-1,0,,1,52,0,,,,12,406,4,2,5,32:39,0,-7,1,1,39,0,150,2,24,6,5-10,,10-80,556,0,14.5,3.8
95,401756879,2692,Weber State,Big Sky,away,3,10-24,0,11,0-0,0,,,,2,0,19,1,3,68,2,,0,27:21,0,20,1,1,31,0,116,3,30,4,2-13,,7-68,184,2,2.8,3.7
96,401756880,189,Bowling Green,Mid-American,away,20,29-37,0,21,1-2,0,1,,,0,0,41,2,8,274,2,,1,37:11,0,0,1,0,34,1,98,0,32,6,6-16,1,4-28,372,0,7.4,2.9
97,401756880,2132,Cincinnati,Big 12,home,34,17-24,0,18,1-1,1,0,,,0,0,23,1,10,333,1,,3,22:49,0,3,1,2,29,1,106,4,38,8,2-7,1,5-52,439,1,13.9,3.7
98,401756881,38,Colorado,Big 12,home,31,22-30,0,21,1-1,0,2,0,2,0,,,,7,267,7,1,2,32:57,0,14,1,5,36,2,135,2,39,7,7-16,0,4-40,402,0,8.9,3.8
99,401756881,48,Delaware,Conference USA,away,7,18-36,0,19,1-3,1,0,,,1,,,,1,312,3,,1,27:03,0,13,1,1,29,0,85,5,46,11,2-10,2,3-31,397,2,8.7,2.9
100,401756882,349,Army,American Athletic,away,24,8-12,0,20,6-7,0,,0,8,0,,,,6,95,4,1,1,40:29,0,0,1,2,70,2,237,0,29,2,10-22,,2-10,332,0,7.9,3.4
101,401756882,2306,Kansas State,Big 12,home,21,15-25,1,13,2-2,0,,,,1,1,143,2,7,172,0,,1,19:31,0,0,1,4,18,0,74,0,56,4,2-9,,2-15,246,1,6.9,4.1
102,401756883,195,Ohio,Mid-American,home,17,22-31,0,24,1-3,0,0,0,21,3,0,16,1,5,247,3,1,1,40:15,0,1,2,6,47,1,182,4,25,7,5-14,2,10-68,429,3,8.0,3.9
103,401756883,277,West Virginia,Big 12,away,10,15-28,0,13,0-1,0,,0,37,1,0,63,3,4,178,5,3,0,16:40,0,19,2,3,28,1,72,3,40,6,2-13,,8-85,250,1,6.4,2.6
104,401756884,242,Rice,American Athletic,home,9,11-13,0,16,0-2,1,0,,,1,0,42,2,3,51,6,,0,32:46,0,11,1,0,53,1,177,3,27,5,4-15,1,1-10,228,2,3.9,3.3
105,401756884,248,Houston,Big 12,away,35,15-22,1,14,0-1,0,1,1,37,0,0,28,1,5,188,1,1,1,27:14,0,2,1,0,37,3,207,3,34,8,9-16,0,2-23,395,0,8.5,5.6
106,401756885,2309,Kent State,Mid-American,away,14,11-25,0,10,1-3,1,1,,,1,0,46,3,2,165,2,,1,29:57,,,,3,34,1,64,0,45,3,2-14,2,4-36,229,2,6.6,1.9
107,401756885,2641,Texas Tech,Big 12,home,62,27-38,1,27,1-2,1,1,1,55,0,0,12,1,14,371,4,1,4,30:03,0,34,3,13,42,3,230,3,31,6,6-13,1,7-60,601,1,9.8,5.5
108,401756886,2116,UCF,Big 12,home,68,14-24,2,20,2-2,0,2,0,0,0,1,96,1,14,204,4,1,0,24:01,0,38,2,4,32,7,356,2,50,11,5-11,0,6-55,560,0,8.5,11.1
109,401756886,2448,North Carolina A&T,CAA,away,7,5-11,0,13,0-0,2,0,,,1,0,80,4,1,40,2,,0,36:15,0,20,2,0,51,1,160,1,36,3,5-17,3,7-59,200,3,3.6,3.1
110,401756887,13,Cal Poly,Big Sky,away,9,15-30,0,12,0-1,0,,,,2,0,34,2,9,158,3,,0,28:45,0,-2,1,0,28,0,65,1,33,4,3-13,,4-20,223,2,5.3,2.3
111,401756887,254,Utah,Big 12,home,63,21-27,1,24,1-1,0,,1,50,0,,,,9,245,5,2,3,31:15,0,58,2,0,46,5,273,3,34,9,9-13,,7-65,518,0,9.1,5.9
112,401757227,55,Jacksonville State,Conference USA,home,34,6-12,0,18,0-0,0,1,0,11,0,0,12,1,10,52,5,1,0,30:24,,,,1,48,4,343,4,43,6,8-14,0,1-10,395,0,4.3,7.1
113,401757227,2335,Liberty,Conference USA,away,24,19-29,0,20,0-2,1,0,,,1,0,44,4,6,335,1,,2,29:36,0,15,2,1,37,1,199,0,36,1,7-14,1,4-30,534,2,11.6,5.4
114,401757228,276,Marshall,Sun Belt,home,20,13-24,0,12,1-3,0,,0,34,1,0,23,1,8,83,2,1,0,25:26,0,51,2,9,33,2,191,6,30,12,3-15,,5-40,274,1,3.5,5.8
115,401757228,2623,Missouri State,Conference USA,away,21,22-32,0,18,0-0,0,0,0,5,1,0,63,3,3,388,5,1,3,34:34,0,15,2,5,38,0,86,1,28,3,7-16,2,8-93,474,1,12.1,2.3
116,401757229,166,New Mexico State,Conference USA,home,21,28-45,0,19,1-1,1,0,0,8,0,0,15,1,7,252,6,2,2,30:50,0,12,2,3,26,0,39,1,45,6,10-19,1,8-65,291,1,5.6,1.5
117,401757229,202,Tulsa,American Athletic,away,14,27-40,0,25,2-4,0,1,,,2,,,,2,235,4,,1,29:10,0,19,2,3,37,1,141,2,38,9,6-15,1,6-40,376,2,5.9,3.8
118,401757230,62,Hawai'i,Mountain West,home,37,27-43,1,24,3-3,1,0,1,41,1,0,50,2,13,294,4,1,3,32:53,,,,2,34,0,123,3,28,6,6-17,1,6-73,417,2,6.8,3.6
119,401757230,2534,Sam Houston,Conference USA,away,20,18-28,1,19,0-1,0,1,1,66,1,0,44,3,8,159,6,1,1,27:07,0,8,1,2,31,0,89,3,40,3,2-11,0,9-105,248,1,5.7,2.9
120,401757231,2630,UT Martin,Big South-OVC,away,17,24-36,0,19,2-6,1,1,,,0,0,94,5,5,295,3,,1,38:48,0,31,5,1,40,1,76,3,30,6,4-17,1,6-35,371,1,8.2,1.9
121,401757231,2638,UTEP,Conference USA,home,42,15-29,0,14,0-0,1,1,,,0,0,64,3,4,278,3,,4,21:12,0,23,2,6,25,2,194,4,41,11,4-10,1,4-40,472,1,9.6,7.8
122,401757232,98,Western Kentucky,Conference USA,away,21,24-39,0,18,0-2,1,0,0,0,1,,,,3,274,2,1,2,26:35,0,0,1,2,28,1,59,0,28,1,6-14,1,4-45,333,2,7.0,2.1
123,401757232,2649,Toledo,Mid-American,home,45,12-21,1,21,0-1,0,1,1,37,1,0,19,2,9,201,3,1,3,33:25,0,14,3,5,42,2,307,2,27,4,5-12,0,9-78,508,1,9.6,7.3
124,401760363,68,Boise State,Mountain West,home,51,17-29,0,22,0-1,0,1,0,21,0,0,20,1,9,309,3,1,2,28:24,0,16,2,9,39,5,328,1,40,7,7-13,1,6-55,637,0,10.7,8.4
125,401760363,331,Eastern Washington,Big Sky,away,14,19-37,0,13,1-3,1,0,,,1,,,,2,176,3,,0,31:36,,,,2,31,2,117,0,39,5,6-18,1,5-39,293,2,4.8,3.8
126,401760364,36,Colorado State,Mountain West,home,21,14-26,0,27,0-1,4,1,0,16,1,,,,3,141,5,1,0,30:37,0,36,3,1,46,3,230,0,31,6,5-10,4,10-94,371,5,5.4,5.0
127,401760364,2458,Northern Colorado,Big Sky,away,17,17-28,0,17,2-2,1,4,0,0,1,,,,5,160,4,1,0,29:23,,,,1,34,2,63,1,38,4,3-14,1,5-44,223,2,5.7,1.9
128,401760365,16,Sacramento State,Big Sky,away,17,14-19,0,15,2-3,0,,0,27,1,,,,5,225,0,2,1,27:14,,,,0,41,1,146,0,43,5,2-12,,9-71,371,1,11.8,3.6
