,Unnamed: 0,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt,yardsToGoal_x,year,talent,completionAttempts_made,completionAttempts_attempts,completionAttempts_pct,fourthDownEff_made,fourthDownEff_attempts,fourthDownEff_pct,thirdDownEff_made,thirdDownEff_attempts,thirdDownEff_pct,totalPenaltiesYards_made,totalPenaltiesYards_attempts,totalPenaltiesYards_pct,win,possesionMinute,possessionSeconds,possessionMinutes,yardsToGoal_y,season_x,seasonType_x,week_x,startDate_x,homeTeam_x,homeConference_x,homeClassification_x,homeScore_x,awayTeam_x,awayConference_x,awayClassification_x,awayScore_x,provider_x,spread_x,formattedSpread_x,spreadOpen_x,overUnder_x,overUnderOpen_x,homeMoneyline_x,awayMoneyline_x,0_x,season_y,seasonType_y,week_y,startDate_y,homeTeam_y,homeConference_y,homeClassification_y,homeScore_y,awayTeam_y,awayConference_y,awayClassification_y,awayScore_y,provider_y,spread_y,formattedSpread_y,spreadOpen_y,overUnder_y,overUnderOpen_y,homeMoneyline_y,awayMoneyline_y,0_y
20,20,401752675,201,Oklahoma,SEC,,35,30-37,0.0,24,2-3,1,0.0,,,1,0.0,15.0,1.0,5.0,392,5.0,,3,32:56,,,,3.0,32,2,103,2.0,23.0,5.0,4-10,1.0,6-35,495,2,10.6,3.2,54.423529411764704,2025.0,882.59,30.0,37.0,0.8108108108108109,2.0,3.0,0.6666666666666666,4.0,10.0,0.4,6.0,35.0,0.17142857142857143,1,32.0,56,32,54.423529411764704,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Oklahoma,SEC,fbs,35.0,Illinois State,MVFC,fcs,3.0,ESPN Bet,-38.5,Oklahoma -38.5,-35.5,60.5,60.5,-20000.0,3000.0,,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Oklahoma,SEC,fbs,35.0,Illinois State,MVFC,fcs,3.0,ESPN Bet,-38.5,Oklahoma -38.5,-35.5,60.5,60.5,-20000.0,3000.0,
21,21,401752675,2287,Illinois State,MVFC,,3,10-20,0.0,8,0-0,0,1.0,0.0,0.0,0,0.0,12.0,1.0,3.0,34,0.0,1.0,0,27:04,0.0,6.0,1.0,2.0,26,0,117,1.0,31.0,4.0,1-11,0.0,2-10,151,0,1.7,4.5,59.953125,,,10.0,20.0,0.5,0.0,0.0,0.0,1.0,11.0,0.09090909090909091,2.0,10.0,0.2,0,27.0,4,27,59.953125,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Oklahoma,SEC,fbs,35.0,Illinois State,MVFC,fcs,3.0,ESPN Bet,-38.5,Oklahoma -38.5,-35.5,60.5,60.5,-20000.0,3000.0,,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Oklahoma,SEC,fbs,35.0,Illinois State,MVFC,fcs,3.0,ESPN Bet,-38.5,Oklahoma -38.5,-35.5,60.5,60.5,-20000.0,3000.0,
22,22,401752676,183,Syracuse,ACC,,26,23-40,0.0,24,3-4,1,1.0,,,1,,,,2.0,274,4.0,,1,34:31,,,,0.0,44,3,103,0.0,44.0,3.0,5-14,2.0,4-30,377,2,6.9,2.3,47.10377358490566,2025.0,727.83,23.0,40.0,0.575,3.0,4.0,0.75,5.0,14.0,0.35714285714285715,4.0,30.0,0.13333333333333333,0,34.0,31,34,47.10377358490566,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Tennessee,SEC,fbs,45.0,Syracuse,ACC,fbs,26.0,ESPN Bet,-13.5,Tennessee -13.5,-14.0,51.5,53.5,-600.0,400.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Tennessee,SEC,fbs,45.0,Syracuse,ACC,fbs,26.0,ESPN Bet,-13.5,Tennessee -13.5,-14.0,51.5,53.5,-600.0,400.0,
23,23,401752676,2633,Tennessee,SEC,,45,16-28,0.0,22,0-0,1,1.0,0.0,0.0,0,0.0,24.0,1.0,9.0,247,10.0,1.0,3,25:29,0.0,2.0,1.0,0.0,40,2,246,5.0,48.0,7.0,7-12,1.0,7-65,493,1,8.8,6.2,46.36363636363637,2025.0,866.57,16.0,28.0,0.5714285714285714,0.0,0.0,0.0,7.0,12.0,0.5833333333333334,7.0,65.0,0.1076923076923077,1,25.0,29,25,46.36363636363637,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Tennessee,SEC,fbs,45.0,Syracuse,ACC,fbs,26.0,ESPN Bet,-13.5,Tennessee -13.5,-14.0,51.5,53.5,-600.0,400.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Tennessee,SEC,fbs,45.0,Syracuse,ACC,fbs,26.0,ESPN Bet,-13.5,Tennessee -13.5,-14.0,51.5,53.5,-600.0,400.0,
24,24,401752677,194,Ohio State,Big Ten,,14,13-20,0.0,11,1-2,0,,0.0,5.0,0,,,,2.0,126,1.0,1.0,1,32:05,,,,0.0,34,1,77,1.0,28.0,1.0,3-12,,2-15,203,0,6.3,2.3,65.03896103896103,2025.0,973.69,13.0,20.0,0.65,1.0,2.0,0.5,3.0,12.0,0.25,2.0,15.0,0.13333333333333333,1,32.0,5,32,65.03896103896103,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Ohio State,Big Ten,fbs,14.0,Texas,SEC,fbs,7.0,ESPN Bet,-1.5,Ohio State -1.5,-2.5,46.5,48.5,-125.0,105.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Ohio State,Big Ten,fbs,14.0,Texas,SEC,fbs,7.0,ESPN Bet,-1.5,Ohio State -1.5,-2.5,46.5,48.5,-125.0,105.0,
25,25,401752677,251,Texas,SEC,,7,17-30,0.0,16,1-5,0,,,,1,0.0,15.0,1.0,1.0,170,2.0,,1,27:55,0.0,3.0,1.0,2.0,37,0,166,0.0,21.0,1.0,5-14,,6-50,336,1,5.7,4.5,48.2962962962963,2025.0,973.54,17.0,30.0,0.5666666666666667,1.0,5.0,0.2,5.0,14.0,0.35714285714285715,6.0,50.0,0.12,0,27.0,55,27,48.2962962962963,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Ohio State,Big Ten,fbs,14.0,Texas,SEC,fbs,7.0,ESPN Bet,-1.5,Ohio State -1.5,-2.5,46.5,48.5,-125.0,105.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Ohio State,Big Ten,fbs,14.0,Texas,SEC,fbs,7.0,ESPN Bet,-1.5,Ohio State -1.5,-2.5,46.5,48.5,-125.0,105.0,
26,26,401752678,245,Texas A&M,SEC,,42,23-36,1.0,17,1-1,0,,,,0,0.0,67.0,2.0,6.0,291,3.0,,4,26:19,1.0,142.0,5.0,2.0,22,1,110,1.0,35.0,9.0,3-11,,7-50,401,0,8.1,5.0,53.39325842696629,2025.0,917.29,23.0,36.0,0.6388888888888888,1.0,1.0,1.0,3.0,11.0,0.2727272727272727,7.0,50.0,0.14,1,26.0,19,26,53.39325842696629,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Texas A&M,SEC,fbs,42.0,UTSA,American Athletic,fbs,24.0,ESPN Bet,-23.5,Texas A&M -23.5,-21.5,59.5,,-2500.0,1100.0,,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Texas A&M,SEC,fbs,42.0,UTSA,American Athletic,fbs,24.0,ESPN Bet,-23.5,Texas A&M -23.5,-21.5,59.5,,-2500.0,1100.0,
27,27,401752678,2636,UTSA,American Athletic,,24,21-34,0.0,17,1-1,0,0.0,,,0,0.0,20.0,1.0,6.0,170,2.0,,1,33:41,0.0,9.0,1.0,2.0,33,2,203,0.0,31.0,2.0,5-16,2.0,4-34,373,0,5.0,6.2,61.0,2025.0,662.09,21.0,34.0,0.6176470588235294,1.0,1.0,1.0,5.0,16.0,0.3125,4.0,34.0,0.11764705882352941,0,33.0,41,33,61.0,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Texas A&M,SEC,fbs,42.0,UTSA,American Athletic,fbs,24.0,ESPN Bet,-23.5,Texas A&M -23.5,-21.5,59.5,,-2500.0,1100.0,,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Texas A&M,SEC,fbs,42.0,UTSA,American Athletic,fbs,24.0,ESPN Bet,-23.5,Texas A&M -23.5,-21.5,59.5,,-2500.0,1100.0,
28,28,401752679,238,Vanderbilt,SEC,,45,21-28,0.0,25,0-0,0,1.0,0.0,0.0,0,0.0,29.0,1.0,9.0,280,3.0,1.0,3,32:09,0.0,11.0,1.0,3.0,31,3,201,3.0,28.0,6.0,6-9,1.0,7-60,481,0,10.0,6.5,46.43181818181818,2025.0,685.42,21.0,28.0,0.75,0.0,0.0,0.0,6.0,9.0,0.6666666666666666,7.0,60.0,0.11666666666666667,1,32.0,9,32,46.43181818181818,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Vanderbilt,SEC,fbs,45.0,Charleston Southern,Big South-OVC,fcs,3.0,ESPN Bet,-38.5,Vanderbilt -38.5,-36.0,50.5,48.5,,,,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Vanderbilt,SEC,fbs,45.0,Charleston Southern,Big South-OVC,fcs,3.0,ESPN Bet,-38.5,Vanderbilt -38.5,-36.0,50.5,48.5,,,
29,29,401752679,2127,Charleston Southern,Big South-OVC,,3,10-19,0.0,7,1-1,1,0.0,,,1,0.0,15.0,1.0,3.0,88,1.0,,0,27:51,,,,2.0,27,0,47,1.0,26.0,2.0,3-13,1.0,5-54,135,2,4.6,1.7,64.64179104477611,,,10.0,19.0,0.5263157894736842,1.0,1.0,1.0,3.0,13.0,0.23076923076923078,5.0,54.0,0.09259259259259259,0,27.0,51,27,64.64179104477611,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Vanderbilt,SEC,fbs,45.0,Charleston Southern,Big South-OVC,fcs,3.0,ESPN Bet,-38.5,Vanderbilt -38.5,-36.0,50.5,48.5,,,,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Vanderbilt,SEC,fbs,45.0,Charleston Southern,Big South-OVC,fcs,3.0,ESPN Bet,-38.5,Vanderbilt -38.5,-36.0,50.5,48.5,,,
30,30,401752680,259,Virginia Tech,ACC,,11,15-35,0.0,19,0-1,0,,,,2,0.0,62.0,4.0,9.0,221,1.0,,0,34:17,0.0,5.0,2.0,0.0,37,0,115,4.0,32.0,7.0,8-18,,4-40,336,2,6.3,3.1,59.08080808080808,2025.0,712.19,15.0,35.0,0.42857142857142855,0.0,1.0,0.0,8.0,18.0,0.4444444444444444,4.0,40.0,0.1,0,34.0,17,34,59.08080808080808,2025.0,regular,1.0,2025-08-31T19:00:00.000Z,South Carolina,SEC,fbs,24.0,Virginia Tech,ACC,fbs,11.0,ESPN Bet,-7.5,South Carolina -7.5,-8.0,51.5,47.5,-260.0,215.0,,2025.0,regular,1.0,2025-08-31T19:00:00.000Z,South Carolina,SEC,fbs,24.0,Virginia Tech,ACC,fbs,11.0,ESPN Bet,-7.5,South Carolina -7.5,-8.0,51.5,47.5,-260.0,215.0,
31,31,401752680,2579,South Carolina,SEC,,24,12-19,1.0,16,1-1,0,0.0,0.0,25.0,0,,,,6.0,209,3.0,2.0,1,25:43,1.0,80.0,3.0,0.0,34,1,125,2.0,41.0,4.0,4-12,2.0,8-51,334,0,11.0,3.7,55.14473684210526,2025.0,833.26,12.0,19.0,0.631578947368421,1.0,1.0,1.0,4.0,12.0,0.3333333333333333,8.0,51.0,0.1568627450980392,1,25.0,43,25,55.14473684210526,2025.0,regular,1.0,2025-08-31T19:00:00.000Z,South Carolina,SEC,fbs,24.0,Virginia Tech,ACC,fbs,11.0,ESPN Bet,-7.5,South Carolina -7.5,-8.0,51.5,47.5,-260.0,215.0,,2025.0,regular,1.0,2025-08-31T19:00:00.000Z,South Carolina,SEC,fbs,24.0,Virginia Tech,ACC,fbs,11.0,ESPN Bet,-7.5,South Carolina -7.5,-8.0,51.5,47.5,-260.0,215.0,
32,32,401752793,135,Minnesota,Big Ten,,23,19-35,0.0,27,1-2,0,1.0,,,1,0.0,8.0,1.0,11.0,290,4.0,,2,38:28,0.0,18.0,1.0,1.0,44,0,153,2.0,22.0,7.0,9-16,0.0,2-10,443,1,8.3,3.5,41.0,2025.0,711.04,19.0,35.0,0.5428571428571428,1.0,2.0,0.5,9.0,16.0,0.5625,2.0,10.0,0.2,1,38.0,28,38,41.0,2025.0,regular,1.0,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,fbs,23.0,Buffalo,Mid-American,fbs,10.0,ESPN Bet,-16.5,Minnesota -16.5,-17.0,41.5,45.5,-900.0,550.0,,2025.0,regular,1.0,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,fbs,23.0,Buffalo,Mid-American,fbs,10.0,ESPN Bet,-16.5,Minnesota -16.5,-17.0,41.5,45.5,-900.0,550.0,
33,33,401752793,2084,Buffalo,Mid-American,,10,12-20,0.0,8,1-1,1,0.0,0.0,54.0,0,0.0,18.0,1.0,4.0,107,4.0,1.0,1,21:32,0.0,0.0,1.0,2.0,24,0,44,2.0,27.0,3.0,1-11,1.0,4-45,151,1,5.4,1.8,65.37704918032787,2025.0,513.33,12.0,20.0,0.6,1.0,1.0,1.0,1.0,11.0,0.09090909090909091,4.0,45.0,0.08888888888888889,0,21.0,32,21,65.37704918032787,2025.0,regular,1.0,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,fbs,23.0,Buffalo,Mid-American,fbs,10.0,ESPN Bet,-16.5,Minnesota -16.5,-17.0,41.5,45.5,-900.0,550.0,,2025.0,regular,1.0,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,fbs,23.0,Buffalo,Mid-American,fbs,10.0,ESPN Bet,-16.5,Minnesota -16.5,-17.0,41.5,45.5,-900.0,550.0,
34,34,401752794,164,Rutgers,Big Ten,,34,18-23,1.0,24,5-5,0,,,,0,0.0,41.0,2.0,10.0,252,3.0,,2,31:45,1.0,23.0,2.0,4.0,37,1,147,0.0,26.0,4.0,1-10,,5-35,399,0,11.0,4.0,41.795918367346935,2025.0,689.22,18.0,23.0,0.782608695652174,5.0,5.0,1.0,1.0,10.0,0.1,5.0,35.0,0.14285714285714285,1,31.0,45,31,41.795918367346935,2025.0,regular,1.0,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,fbs,34.0,Ohio,Mid-American,fbs,31.0,ESPN Bet,-15.5,Rutgers -15.5,-11.5,53.5,46.5,-750.0,475.0,,2025.0,regular,1.0,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,fbs,34.0,Ohio,Mid-American,fbs,31.0,ESPN Bet,-15.5,Rutgers -15.5,-11.5,53.5,46.5,-750.0,475.0,
35,35,401752794,195,Ohio,Mid-American,,31,21-31,0.0,24,1-1,0,,,,0,0.0,30.0,3.0,7.0,239,1.0,,3,28:15,,,,2.0,31,1,201,1.0,30.0,5.0,5-10,,6-37,440,0,7.7,6.5,51.68269230769231,2025.0,469.99,21.0,31.0,0.6774193548387096,1.0,1.0,1.0,5.0,10.0,0.5,6.0,37.0,0.16216216216216217,0,28.0,15,28,51.68269230769231,2025.0,regular,1.0,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,fbs,34.0,Ohio,Mid-American,fbs,31.0,ESPN Bet,-15.5,Rutgers -15.5,-11.5,53.5,46.5,-750.0,475.0,,2025.0,regular,1.0,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,fbs,34.0,Ohio,Mid-American,fbs,31.0,ESPN Bet,-15.5,Rutgers -15.5,-11.5,53.5,46.5,-750.0,475.0,
36,36,401752795,356,Illinois,Big Ten,,52,18-22,1.0,21,2-2,0,1.0,,,0,,,,10.0,231,2.0,,3,32:42,1.0,133.0,4.0,4.0,37,3,209,4.0,34.0,8.0,4-9,0.0,5-60,440,0,10.5,5.6,37.109756097560975,2025.0,662.13,18.0,22.0,0.8181818181818182,2.0,2.0,1.0,4.0,9.0,0.4444444444444444,5.0,60.0,0.08333333333333333,1,32.0,42,32,37.109756097560975,2025.0,regular,1.0,2025-08-29T23:30:00.000Z,Illinois,Big Ten,fbs,52.0,Western Illinois,Big South-OVC,fcs,3.0,ESPN Bet,-48.5,Illinois -48.5,-45.5,63.5,61.5,,,,2025.0,regular,1.0,2025-08-29T23:30:00.000Z,Illinois,Big Ten,fbs,52.0,Western Illinois,Big South-OVC,fcs,3.0,ESPN Bet,-48.5,Illinois -48.5,-45.5,63.5,61.5,,,
37,37,401752795,2710,Western Illinois,Big South-OVC,,3,14-29,0.0,11,0-2,1,0.0,,,0,,,,3.0,134,0.0,,0,27:18,,,,0.0,26,0,29,3.0,32.0,5.0,5-14,1.0,8-59,163,1,4.6,1.1,57.46052631578947,,,14.0,29.0,0.4827586206896552,0.0,2.0,0.0,5.0,14.0,0.35714285714285715,8.0,59.0,0.13559322033898305,0,27.0,18,27,57.46052631578947,2025.0,regular,1.0,2025-08-29T23:30:00.000Z,Illinois,Big Ten,fbs,52.0,Western Illinois,Big South-OVC,fcs,3.0,ESPN Bet,-48.5,Illinois -48.5,-45.5,63.5,61.5,,,,2025.0,regular,1.0,2025-08-29T23:30:00.000Z,Illinois,Big Ten,fbs,52.0,Western Illinois,Big South-OVC,fcs,3.0,ESPN Bet,-48.5,Illinois -48.5,-45.5,63.5,61.5,,,
38,38,401752796,158,Nebraska,Big Ten,,20,33-42,0.0,23,1-2,0,1.0,0.0,0.0,0,0.0,33.0,2.0,8.0,243,5.0,1.0,2,39:30,0.0,3.0,2.0,1.0,35,0,113,0.0,20.0,2.0,10-18,2.0,3-27,356,0,5.8,3.2,48.38383838383838,2025.0,821.39,33.0,42.0,0.7857142857142857,1.0,2.0,0.5,10.0,18.0,0.5555555555555556,3.0,27.0,0.1111111111111111,1,39.0,30,39,48.38383838383838,2025.0,regular,1.0,2025-08-29T01:00:00.000Z,Cincinnati,Big 12,fbs,17.0,Nebraska,Big Ten,fbs,20.0,ESPN Bet,5.5,Nebraska -5.5,7.0,50.5,52.5,195.0,-230.0,,2025.0,regular,1.0,2025-08-29T01:00:00.000Z,Cincinnati,Big 12,fbs,17.0,Nebraska,Big Ten,fbs,20.0,ESPN Bet,5.5,Nebraska -5.5,7.0,50.5,52.5,195.0,-230.0,
39,39,401752796,2132,Cincinnati,Big 12,,17,13-25,0.0,16,2-2,1,0.0,,,1,0.0,20.0,1.0,5.0,69,2.0,,0,20:30,,,,3.0,29,2,202,3.0,24.0,6.0,3-10,1.0,4-20,271,2,2.8,7.0,55.863013698630134,2025.0,644.1,13.0,25.0,0.52,2.0,2.0,1.0,3.0,10.0,0.3,4.0,20.0,0.2,0,20.0,30,20,55.863013698630134,2025.0,regular,1.0,2025-08-29T01:00:00.000Z,Cincinnati,Big 12,fbs,17.0,Nebraska,Big Ten,fbs,20.0,ESPN Bet,5.5,Nebraska -5.5,7.0,50.5,52.5,195.0,-230.0,,2025.0,regular,1.0,2025-08-29T01:00:00.000Z,Cincinnati,Big 12,fbs,17.0,Nebraska,Big Ten,fbs,20.0,ESPN Bet,5.5,Nebraska -5.5,7.0,50.5,52.5,195.0,-230.0,
40,40,401752797,120,Maryland,Big Ten,,39,28-47,1.0,22,0-2,0,,1.0,31.0,0,0.0,37.0,2.0,13.0,268,6.0,6.0,3,29:34,0.0,5.0,2.0,5.0,30,0,112,3.0,64.0,8.0,5-17,,14-100,380,0,5.7,3.7,53.729729729729726,2025.0,699.31,28.0,47.0,0.5957446808510638,0.0,2.0,0.0,5.0,17.0,0.29411764705882354,14.0,100.0,0.14,1,29.0,34,29,53.729729729729726,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Maryland,Big Ten,fbs,39.0,Florida Atlantic,American Athletic,fbs,7.0,ESPN Bet,-13.5,Maryland -13.5,-16.5,59.5,57.5,-450.0,340.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Maryland,Big Ten,fbs,39.0,Florida Atlantic,American Athletic,fbs,7.0,ESPN Bet,-13.5,Maryland -13.5,-16.5,59.5,57.5,-450.0,340.0,
41,41,401752797,2226,Florida Atlantic,American Athletic,,7,36-62,0.0,23,3-9,0,,,,6,0.0,140.0,6.0,1.0,277,6.0,,1,30:26,,,,1.0,32,0,77,0.0,41.0,5.5,7-20,,7-77,354,6,4.5,2.4,53.56481481481482,2025.0,605.22,36.0,62.0,0.5806451612903226,3.0,9.0,0.3333333333333333,7.0,20.0,0.35,7.0,77.0,0.09090909090909091,0,30.0,26,30,53.56481481481482,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Maryland,Big Ten,fbs,39.0,Florida Atlantic,American Athletic,fbs,7.0,ESPN Bet,-13.5,Maryland -13.5,-16.5,59.5,57.5,-450.0,340.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Maryland,Big Ten,fbs,39.0,Florida Atlantic,American Athletic,fbs,7.0,ESPN Bet,-13.5,Maryland -13.5,-16.5,59.5,57.5,-450.0,340.0,
42,42,401752798,30,USC,Big Ten,,73,24-27,1.0,27,0-0,1,1.0,1.0,76.0,0,0.0,62.0,3.0,13.0,364,3.0,2.0,3,27:29,,,,0.0,30,6,233,5.0,38.0,13.0,6-7,1.0,5-45,597,1,13.5,7.8,47.93589743589744,2025.0,847.53,24.0,27.0,0.8888888888888888,0.0,0.0,0.0,6.0,7.0,0.8571428571428571,5.0,45.0,0.1111111111111111,1,27.0,29,27,47.93589743589744,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,USC,Big Ten,fbs,73.0,Missouri State,Conference USA,fbs,13.0,ESPN Bet,-36.5,USC -36.5,-35.5,60.5,58.5,,,,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,USC,Big Ten,fbs,73.0,Missouri State,Conference USA,fbs,13.0,ESPN Bet,-36.5,USC -36.5,-35.5,60.5,58.5,,,
43,43,401752798,2623,Missouri State,Conference USA,,13,20-28,0.0,11,2-2,1,1.0,,,2,0.0,35.0,2.0,7.0,159,1.0,,1,32:31,,,,0.0,29,0,65,1.0,31.0,4.0,3-14,1.0,6-60,224,3,5.7,2.2,60.379746835443036,2025.0,426.1,20.0,28.0,0.7142857142857143,2.0,2.0,1.0,3.0,14.0,0.21428571428571427,6.0,60.0,0.1,0,32.0,31,32,60.379746835443036,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,USC,Big Ten,fbs,73.0,Missouri State,Conference USA,fbs,13.0,ESPN Bet,-36.5,USC -36.5,-35.5,60.5,58.5,,,,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,USC,Big Ten,fbs,73.0,Missouri State,Conference USA,fbs,13.0,ESPN Bet,-36.5,USC -36.5,-35.5,60.5,58.5,,,
44,44,401752799,399,UAlbany,CAA,,7,13-26,0.0,9,1-1,0,1.0,,,0,0.0,29.0,3.0,1.0,134,1.0,,1,23:23,,,,1.0,21,0,43,1.0,42.0,3.0,2-11,0.0,3-15,177,0,5.2,2.0,59.6875,,,13.0,26.0,0.5,1.0,1.0,1.0,2.0,11.0,0.18181818181818182,3.0,15.0,0.2,0,23.0,23,23,59.6875,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Iowa,Big Ten,fbs,34.0,UAlbany,CAA,fcs,7.0,ESPN Bet,-39.5,Iowa -39.5,-37.5,48.5,48.5,,,,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Iowa,Big Ten,fbs,34.0,UAlbany,CAA,fcs,7.0,ESPN Bet,-39.5,Iowa -39.5,-37.5,48.5,48.5,,,
45,45,401752799,2294,Iowa,Big Ten,,34,9-16,0.0,20,2-2,1,0.0,,,0,,,,10.0,48,1.0,,1,36:37,0.0,63.0,2.0,1.0,53,3,310,2.0,29.0,5.0,10-16,1.0,2-20,358,1,3.0,5.8,41.27906976744186,2025.0,710.0,9.0,16.0,0.5625,2.0,2.0,1.0,10.0,16.0,0.625,2.0,20.0,0.1,1,36.0,37,36,41.27906976744186,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Iowa,Big Ten,fbs,34.0,UAlbany,CAA,fcs,7.0,ESPN Bet,-39.5,Iowa -39.5,-37.5,48.5,48.5,,,,2025.0,regular,1.0,2025-08-30T22:00:00.000Z,Iowa,Big Ten,fbs,34.0,UAlbany,CAA,fcs,7.0,ESPN Bet,-39.5,Iowa -39.5,-37.5,48.5,48.5,,,
46,46,401752800,26,UCLA,Big Ten,,10,11-22,0.0,14,3-4,0,,,,1,0.0,37.0,2.0,4.0,136,1.0,,1,22:32,,,,2.0,28,0,84,0.0,46.0,2.0,2-11,,3-30,220,1,6.2,3.0,61.645161290322584,2025.0,766.62,11.0,22.0,0.5,3.0,4.0,0.75,2.0,11.0,0.18181818181818182,3.0,30.0,0.1,0,22.0,32,22,61.645161290322584,2025.0,regular,1.0,2025-08-31T03:00:00.000Z,UCLA,Big Ten,fbs,10.0,Utah,Big 12,fbs,43.0,ESPN Bet,6.5,Utah -6.5,6.5,48.5,50.5,210.0,-250.0,,2025.0,regular,1.0,2025-08-31T03:00:00.000Z,UCLA,Big Ten,fbs,10.0,Utah,Big 12,fbs,43.0,ESPN Bet,6.5,Utah -6.5,6.5,48.5,50.5,210.0,-250.0,
47,47,401752800,254,Utah,Big 12,,43,21-26,0.0,30,1-1,0,0.0,0.0,20.0,0,0.0,19.0,3.0,7.0,206,1.0,1.0,2,37:28,,,,0.0,54,4,286,4.0,28.0,5.0,14-16,2.0,3-15,492,0,7.9,5.3,45.04347826086956,2025.0,707.86,21.0,26.0,0.8076923076923077,1.0,1.0,1.0,14.0,16.0,0.875,3.0,15.0,0.2,1,37.0,28,37,45.04347826086956,2025.0,regular,1.0,2025-08-31T03:00:00.000Z,UCLA,Big Ten,fbs,10.0,Utah,Big 12,fbs,43.0,ESPN Bet,6.5,Utah -6.5,6.5,48.5,50.5,210.0,-250.0,,2025.0,regular,1.0,2025-08-31T03:00:00.000Z,UCLA,Big Ten,fbs,10.0,Utah,Big 12,fbs,43.0,ESPN Bet,6.5,Utah -6.5,6.5,48.5,50.5,210.0,-250.0,
48,48,401752801,2050,Ball State,Mid-American,,0,10-16,0.0,13,1-2,0,,,,0,0.0,34.0,2.0,0.0,87,3.0,,0,33:40,0.0,-3.0,1.0,0.0,36,0,116,1.0,39.0,5.0,4-13,,3-18,203,0,5.4,3.2,60.75,2025.0,495.35,10.0,16.0,0.625,1.0,2.0,0.5,4.0,13.0,0.3076923076923077,3.0,18.0,0.16666666666666666,0,33.0,40,33,60.75,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Purdue,Big Ten,fbs,31.0,Ball State,Mid-American,fbs,0.0,ESPN Bet,-16.5,Purdue -16.5,-17.0,48.5,50.5,-800.0,500.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Purdue,Big Ten,fbs,31.0,Ball State,Mid-American,fbs,0.0,ESPN Bet,-16.5,Purdue -16.5,-17.0,48.5,50.5,-800.0,500.0,
