,Unnamed: 0,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt,yardsToGoal_x,year,talent,completionAttempts_made,completionAttempts_attempts,completionAttempts_pct,fourthDownEff_made,fourthDownEff_attempts,fourthDownEff_pct,thirdDownEff_made,thirdDownEff_attempts,thirdDownEff_pct,totalPenaltiesYards_made,totalPenaltiesYards_attempts,totalPenaltiesYards_pct,win,possesionMinute,possessionSeconds,possessionMinutes,yardsToGoal_y,season_x,seasonType_x,week_x,startDate_x,homeTeam_x,homeConference_x,homeClassification_x,homeScore_x,awayTeam_x,awayConference_x,awayClassification_x,awayScore_x,provider_x,spread_x,formattedSpread_x,spreadOpen_x,overUnder_x,overUnderOpen_x,homeMoneyline_x,awayMoneyline_x,0_x,season_y,seasonType_y,week_y,startDate_y,homeTeam_y,homeConference_y,homeClassification_y,homeScore_y,awayTeam_y,awayConference_y,awayClassification_y,awayScore_y,provider_y,spread_y,formattedSpread_y,spreadOpen_y,overUnder_y,overUnderOpen_y,homeMoneyline_y,awayMoneyline_y,0_y
10,10,401752670,96,Kentucky,SEC,,24,10-23,0.0,17,0-0,1,0.0,0.0,0.0,1,0.0,43.0,2.0,6.0,85,0.0,1.0,0,31:41,0.0,-3.0,2.0,5.0,43,3,220,3.0,35.0,6.0,8-15,2.0,3-30,305,2,3.7,5.1,47.842696629213485,2025.0,763.18,10.0,23.0,0.43478260869565216,0.0,0.0,0.0,8.0,15.0,0.5333333333333333,3.0,30.0,0.1,1,31.0,41,31,47.842696629213485,2025.0,regular,1.0,2025-08-30T16:45:00.000Z,Kentucky,SEC,fbs,24.0,Toledo,Mid-American,fbs,16.0,ESPN Bet,-9.5,Kentucky -9.5,-9.5,48.5,48.5,-360.0,280.0,,2025.0,regular,1.0,2025-08-30T16:45:00.000Z,Kentucky,SEC,fbs,24.0,Toledo,Mid-American,fbs,16.0,ESPN Bet,-9.5,Kentucky -9.5,-9.5,48.5,48.5,-360.0,280.0,
11,11,401752670,2649,Toledo,Mid-American,,16,23-40,0.0,17,1-4,0,1.0,0.0,0.0,1,0.0,45.0,2.0,2.0,270,3.0,1.0,1,28:19,0.0,2.0,2.0,4.0,29,1,59,0.0,35.0,4.0,7-17,2.0,11-93,329,1,6.8,2.0,58.29545454545455,2025.0,620.13,23.0,40.0,0.575,1.0,4.0,0.25,7.0,17.0,0.4117647058823529,11.0,93.0,0.11827956989247312,0,28.0,19,28,58.29545454545455,2025.0,regular,1.0,2025-08-30T16:45:00.000Z,Kentucky,SEC,fbs,24.0,Toledo,Mid-American,fbs,16.0,ESPN Bet,-9.5,Kentucky -9.5,-9.5,48.5,48.5,-360.0,280.0,,2025.0,regular,1.0,2025-08-30T16:45:00.000Z,Kentucky,SEC,fbs,24.0,Toledo,Mid-American,fbs,16.0,ESPN Bet,-9.5,Kentucky -9.5,-9.5,48.5,48.5,-360.0,280.0,
12,12,401752671,99,LSU,SEC,,17,29-39,0.0,25,0-1,2,0.0,0.0,0.0,0,,,,5.0,248,6.0,1.0,1,37:10,0.0,18.0,1.0,5.0,31,1,108,2.0,31.0,4.0,4-11,2.0,6-45,354,2,6.4,3.5,49.265957446808514,2025.0,920.05,29.0,39.0,0.7435897435897436,0.0,1.0,0.0,4.0,11.0,0.36363636363636365,6.0,45.0,0.13333333333333333,1,37.0,10,37,49.265957446808514,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,Clemson,ACC,fbs,10.0,LSU,SEC,fbs,17.0,ESPN Bet,-5.5,Clemson -5.5,-3.5,55.5,57.5,-200.0,170.0,,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,Clemson,ACC,fbs,10.0,LSU,SEC,fbs,17.0,ESPN Bet,-5.5,Clemson -5.5,-3.5,55.5,57.5,-200.0,170.0,
13,13,401752671,228,Clemson,ACC,,10,19-38,0.0,13,2-4,0,2.0,,,1,,,,4.0,230,5.0,,0,22:50,0.0,16.0,1.0,2.0,20,1,31,1.0,38.0,8.0,3-13,0.0,6-57,261,1,6.1,1.6,52.0945945945946,2025.0,918.43,19.0,38.0,0.5,2.0,4.0,0.5,3.0,13.0,0.23076923076923078,6.0,57.0,0.10526315789473684,0,22.0,50,22,52.0945945945946,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,Clemson,ACC,fbs,10.0,LSU,SEC,fbs,17.0,ESPN Bet,-5.5,Clemson -5.5,-3.5,55.5,57.5,-200.0,170.0,,2025.0,regular,1.0,2025-08-30T23:30:00.000Z,Clemson,ACC,fbs,10.0,LSU,SEC,fbs,17.0,ESPN Bet,-5.5,Clemson -5.5,-3.5,55.5,57.5,-200.0,170.0,
14,14,401752672,145,Ole Miss,SEC,,63,24-37,0.0,33,1-1,0,0.0,0.0,1.0,2,,,,13.0,400,5.0,1.0,4,28:36,0.0,67.0,5.0,6.0,44,4,295,1.0,30.0,5.0,8-13,1.0,8-51,695,2,10.8,6.7,43.405660377358494,2025.0,813.11,24.0,37.0,0.6486486486486487,1.0,1.0,1.0,8.0,13.0,0.6153846153846154,8.0,51.0,0.1568627450980392,1,28.0,36,28,43.405660377358494,2025.0,regular,1.0,2025-08-30T23:45:00.000Z,Ole Miss,SEC,fbs,63.0,Georgia State,Sun Belt,fbs,7.0,ESPN Bet,-33.5,Ole Miss -33.5,-38.5,61.5,62.5,-50000.0,3500.0,,2025.0,regular,1.0,2025-08-30T23:45:00.000Z,Ole Miss,SEC,fbs,63.0,Georgia State,Sun Belt,fbs,7.0,ESPN Bet,-33.5,Ole Miss -33.5,-38.5,61.5,62.5,-50000.0,3500.0,
15,15,401752672,2247,Georgia State,Sun Belt,,7,12-25,0.0,10,2-4,0,,0.0,25.0,1,0.0,39.0,2.0,1.0,69,4.0,2.0,1,31:24,,,,4.0,35,0,191,2.0,46.0,6.0,2-15,,8-60,260,1,2.8,5.5,57.734177215189874,2025.0,611.97,12.0,25.0,0.48,2.0,4.0,0.5,2.0,15.0,0.13333333333333333,8.0,60.0,0.13333333333333333,0,31.0,24,31,57.734177215189874,2025.0,regular,1.0,2025-08-30T23:45:00.000Z,Ole Miss,SEC,fbs,63.0,Georgia State,Sun Belt,fbs,7.0,ESPN Bet,-33.5,Ole Miss -33.5,-38.5,61.5,62.5,-50000.0,3500.0,,2025.0,regular,1.0,2025-08-30T23:45:00.000Z,Ole Miss,SEC,fbs,63.0,Georgia State,Sun Belt,fbs,7.0,ESPN Bet,-33.5,Ole Miss -33.5,-38.5,61.5,62.5,-50000.0,3500.0,
16,16,401752673,344,Mississippi State,SEC,,34,27-37,0.0,23,0-0,0,0.0,0.0,0.0,1,,,,10.0,277,7.0,1.0,1,30:21,0.0,0.0,3.0,0.0,42,3,188,1.0,17.0,3.0,11-17,1.0,14-119,465,1,7.5,4.5,51.13913043478261,2025.0,770.48,27.0,37.0,0.7297297297297297,0.0,0.0,0.0,11.0,17.0,0.6470588235294118,14.0,119.0,0.11764705882352941,1,30.0,21,30,51.13913043478261,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Southern Miss,Sun Belt,fbs,17.0,Mississippi State,SEC,fbs,34.0,ESPN Bet,15.5,Mississippi State -15.5,12.5,59.5,59.5,450.0,-700.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Southern Miss,Sun Belt,fbs,17.0,Mississippi State,SEC,fbs,34.0,ESPN Bet,15.5,Mississippi State -15.5,12.5,59.5,59.5,450.0,-700.0,
17,17,401752673,2572,Southern Miss,Sun Belt,,17,26-39,0.0,18,1-3,0,,0.0,0.0,1,0.0,32.0,1.0,5.0,199,6.0,1.0,2,29:39,,,,0.0,35,0,102,1.0,25.0,4.0,10-19,,8-60,301,1,5.1,2.9,53.62135922330097,2025.0,602.53,26.0,39.0,0.6666666666666666,1.0,3.0,0.3333333333333333,10.0,19.0,0.5263157894736842,8.0,60.0,0.13333333333333333,0,29.0,39,29,53.62135922330097,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Southern Miss,Sun Belt,fbs,17.0,Mississippi State,SEC,fbs,34.0,ESPN Bet,15.5,Mississippi State -15.5,12.5,59.5,59.5,450.0,-700.0,,2025.0,regular,1.0,2025-08-30T16:00:00.000Z,Southern Miss,Sun Belt,fbs,17.0,Mississippi State,SEC,fbs,34.0,ESPN Bet,15.5,Mississippi State -15.5,12.5,59.5,59.5,450.0,-700.0,
18,18,401752674,142,Missouri,SEC,,61,26-31,1.0,25,1-1,0,1.0,1.0,83.0,0,0.0,18.0,1.0,13.0,341,4.0,1.0,3,30:09,0.0,50.0,2.0,1.0,38,4,219,2.0,35.0,7.0,9-13,1.0,8-70,560,0,11.0,5.8,50.95744680851064,2025.0,804.77,26.0,31.0,0.8387096774193549,1.0,1.0,1.0,9.0,13.0,0.6923076923076923,8.0,70.0,0.11428571428571428,1,30.0,9,30,50.95744680851064,2025.0,regular,1.0,2025-08-28T23:30:00.000Z,Missouri,SEC,fbs,61.0,Central Arkansas,UAC,fcs,6.0,ESPN Bet,-39.5,Missouri -39.5,-40.5,53.5,52.5,,,,2025.0,regular,1.0,2025-08-28T23:30:00.000Z,Missouri,SEC,fbs,61.0,Central Arkansas,UAC,fcs,6.0,ESPN Bet,-39.5,Missouri -39.5,-40.5,53.5,52.5,,,
19,19,401752674,2110,Central Arkansas,UAC,,6,13-23,0.0,15,1-1,1,0.0,,,1,0.0,111.0,7.0,,73,1.0,,1,29:51,,,,1.0,39,0,154,1.0,32.0,2.0,2-13,1.0,5-60,227,2,3.2,3.9,58.19753086419753,,,13.0,23.0,0.5652173913043478,1.0,1.0,1.0,2.0,13.0,0.15384615384615385,5.0,60.0,0.08333333333333333,0,29.0,51,29,58.19753086419753,2025.0,regular,1.0,2025-08-28T23:30:00.000Z,Missouri,SEC,fbs,61.0,Central Arkansas,UAC,fcs,6.0,ESPN Bet,-39.5,Missouri -39.5,-40.5,53.5,52.5,,,,2025.0,regular,1.0,2025-08-28T23:30:00.000Z,Missouri,SEC,fbs,61.0,Central Arkansas,UAC,fcs,6.0,ESPN Bet,-39.5,Missouri -39.5,-40.5,53.5,52.5,,,
