,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
0,2024,1,postseason,4431210,Beaux Collins,WR,Notre Dame,Georgia,0.862,0.862,
1,2024,1,postseason,4567545,Jayden Harrison,WR,Notre Dame,Georgia,-0.338,-0.338,
2,2024,1,postseason,4683243,Mitchell Evans,TE,Notre Dame,Georgia,0.699,0.699,
3,2024,1,regular,4428527,Dalvin Smith,WR,Western Kentucky,Alabama,-0.389,-0.389,
4,2024,1,regular,4431948,TJ Finley,QB,Western Kentucky,Alabama,-0.168,-0.152,-0.255
5,2024,1,regular,4432734,Jalen Milroe,QB,Alabama,Western Kentucky,1.35,2.121,0.655
6,2024,1,regular,4433945,Elijah Young,RB,Western Kentucky,Alabama,-0.198,0.348,-0.471
7,2024,1,regular,4596545,C.J. Dippre,TE,Alabama,Western Kentucky,0.776,0.776,
8,2024,1,regular,4685261,Germie Bernard,WR,Alabama,Western Kentucky,2.586,2.586,
9,2024,1,regular,4685381,Emmanuel Henderson Jr.,WR,Alabama,Western Kentucky,0.172,0.172,
10,2024,1,regular,4685441,Kendrick Law,WR,Alabama,Western Kentucky,1.178,1.561,0.413
11,2024,1,regular,4685477,Jamarion Miller,RB,Alabama,Western Kentucky,0.181,-1.162,0.449
12,2024,1,regular,4685522,Ty Simpson,QB,Alabama,Western Kentucky,0.696,0.403,2.015
13,2024,1,regular,4686145,Bryce Childress,WR,Western Kentucky,Alabama,-0.302,-0.302,
14,2024,1,regular,4693881,Kisean Johnson,WR,Western Kentucky,Alabama,-0.141,-0.141,
15,2024,1,regular,4698179,River Helms,TE,Western Kentucky,Alabama,0.279,0.279,
16,2024,1,regular,4705859,K.D. Hutchinson,WR,Western Kentucky,Alabama,0.863,0.863,
17,2024,1,regular,4869965,Kobe Prentice,WR,Alabama,Western Kentucky,0.542,0.542,
18,2024,1,regular,4869991,Caden Veltkamp,QB,Western Kentucky,Alabama,-0.237,-0.198,-0.354
19,2024,1,regular,4870760,Justice Haynes,RB,Alabama,Western Kentucky,1.635,,1.635
20,2024,1,regular,4870900,Dylan Lonergan,QB,Alabama,Western Kentucky,2.377,,2.377
21,2024,1,regular,4871081,Richard Young,RB,Alabama,Western Kentucky,-0.237,-0.703,-0.16
22,2024,1,regular,4875267,George Hart III,RB,Western Kentucky,Alabama,-0.309,-0.162,-0.383
23,2024,1,regular,4876132,Josh Cuevas,TE,Alabama,Western Kentucky,0.86,0.86,
24,2024,1,regular,4914830,Easton Messer,WR,Western Kentucky,Alabama,-0.338,-0.221,-0.687
25,2024,1,regular,5079506,Daniel Hill,RB,Alabama,Western Kentucky,0.06,,0.06
26,2024,1,regular,5079647,Caleb Odom,WR,Alabama,Western Kentucky,0.915,0.915,
27,2024,1,regular,5085434,LT Sanders,RB,Western Kentucky,Alabama,-0.367,-0.082,-0.509
28,2024,1,regular,5095915,Moussa Barry,WR,Western Kentucky,Alabama,0.082,0.082,
29,2024,1,regular,5110500,Kevin Riley,RB,Alabama,Western Kentucky,0.08,,0.08
30,2024,1,regular,5141711,Ryan Williams,WR,Alabama,Western Kentucky,6.369,6.369,
31,2024,1,regular,3116099,Monte Harrison,WR,Arkansas,Arkansas-Pine Bluff,1.119,1.119,
32,2024,1,regular,4427331,Khafre Brown,WR,Arkansas,Arkansas-Pine Bluff,1.836,1.836,
33,2024,1,regular,4429313,Tyrone Broden Jr.,WR,Arkansas,Arkansas-Pine Bluff,1.632,1.632,
34,2024,1,regular,4431325,Taylen Green,QB,Arkansas,Arkansas-Pine Bluff,0.781,0.648,1.29
35,2024,1,regular,4685374,Rodney Hill,RB,Arkansas,Arkansas-Pine Bluff,0.571,0.37,0.671
36,2024,1,regular,4690972,Ja'Quinden Jackson,RB,Arkansas,Arkansas-Pine Bluff,1.102,0.435,1.269
37,2024,1,regular,4708090,Aramoni Rhone,WR,Arkansas-Pine Bluff,Arkansas,2.837,2.837,
38,2024,1,regular,4717724,Rashod Dubinion,RB,Arkansas,Arkansas-Pine Bluff,0.217,0.502,0.027
39,2024,1,regular,4837392,Ty Washington,TE,Arkansas,Arkansas-Pine Bluff,2.664,2.664,
40,2024,1,regular,4870709,Shamar Easter,TE,Arkansas,Arkansas-Pine Bluff,1.507,1.507,
41,2024,1,regular,4870797,Luke Hasz,TE,Arkansas,Arkansas-Pine Bluff,1.213,1.213,
42,2024,1,regular,4870999,Malachi Singleton,QB,Arkansas,Arkansas-Pine Bluff,0.828,0.786,1.034
43,2024,1,regular,4873168,Jordan Anthony,WR,Arkansas,Arkansas-Pine Bluff,1.334,1.334,
44,2024,1,regular,4884087,Daemon Dawkins,WR,Arkansas-Pine Bluff,Arkansas,-0.386,-0.386,
45,2024,1,regular,4884105,Kevin English,WR,Arkansas-Pine Bluff,Arkansas,-0.296,-0.296,
46,2024,1,regular,5079516,KJ Jackson,QB,Arkansas,Arkansas-Pine Bluff,0.789,1.077,-0.364
47,2024,1,regular,5079589,Braylen Russell,RB,Arkansas,Arkansas-Pine Bluff,1.008,,1.008
48,2024,1,regular,5080703,Isaiah Sategna,WR,Arkansas,Arkansas-Pine Bluff,1.491,1.491,
49,2024,1,regular,5080819,Davion Dozier,WR,Arkansas,Arkansas-Pine Bluff,2.162,2.162,
50,2024,1,regular,5082009,Donovan Giles,WR,Arkansas-Pine Bluff,Arkansas,2.844,2.844,
51,2024,1,regular,5084305,Mekhi Hagens,QB,Arkansas-Pine Bluff,Arkansas,0.075,0.112,-0.126
52,2024,1,regular,5084317,Johness Davis,RB,Arkansas-Pine Bluff,Arkansas,-0.798,,-0.798
53,2024,1,regular,5099744,Jaxson Isaac,TE,Arkansas-Pine Bluff,Arkansas,1.89,1.89,
54,2024,1,regular,5121763,Za'Marion Webber,RB,Arkansas-Pine Bluff,Arkansas,-1.005,,-1.005
55,2024,1,regular,5123663,Isaac Teslaa,WR,Arkansas,Arkansas-Pine Bluff,1.167,1.167,
56,2024,1,regular,5193351,Krosse Johnson,WR,Arkansas,Arkansas-Pine Bluff,0.572,0.572,
57,2024,1,regular,5218700,Tyrell Reed Jr.,RB,Arkansas,Arkansas-Pine Bluff,0.57,,0.57
58,2024,1,regular,5229489,JaVonnie Gibson,WR,Arkansas-Pine Bluff,Arkansas,1.348,1.348,
59,2024,1,regular,4360435,Jacolby Hewitt,WR,Alabama A&M,Auburn,0.441,0.441,
60,2024,1,regular,4429870,Keenan Hambrick,WR,Alabama A&M,Auburn,2.235,2.235,
61,2024,1,regular,4430590,Payton Thorne,QB,Auburn,Alabama A&M,1.113,1.043,1.464
62,2024,1,regular,4430870,Keandre Lambert,WR,Auburn,Alabama A&M,4.063,4.063,
63,2024,1,regular,4432797,Sean Jackson,RB,Auburn,Alabama A&M,-0.034,,-0.034
64,2024,1,regular,4568411,Cornelious Brown,QB,Alabama A&M,Auburn,0.047,0.272,-0.82
65,2024,1,regular,4697122,Gaston Moore,QB,Tennessee,Chattanooga,-0.69,-0.69,
66,2024,1,regular,4870683,Ethan Davis,TE,Tennessee,Chattanooga,1.6,1.6,
67,2024,1,regular,4870799,Nico Iamaleava,QB,Tennessee,Chattanooga,0.827,0.937,-0.053
68,2024,1,regular,4870941,Cameron Seldon,RB,Tennessee,Chattanooga,0.152,,0.152
69,2024,1,regular,4877021,Javin Whatley,WR,Chattanooga,Tennessee,2.078,2.078,
70,2024,1,regular,4877024,Sam Phillips,WR,Chattanooga,Tennessee,0.707,0.707,
71,2024,1,regular,4920140,Nathan Leacock,WR,Tennessee,Chattanooga,1.506,1.506,
72,2024,1,regular,4921108,DeSean Bishop,RB,Tennessee,Chattanooga,0.765,1.669,0.585
73,2024,1,regular,5078917,Khalifa Keith,RB,Tennessee,Chattanooga,0.512,,0.512
74,2024,1,regular,5079531,Jake Merklinger,QB,Tennessee,Chattanooga,-0.012,0.315,-0.668
75,2024,1,regular,5081368,Squirrel White,WR,Tennessee,Chattanooga,1.188,1.188,
76,2024,1,regular,5081397,Dylan Sampson,RB,Tennessee,Chattanooga,1.025,1.613,0.976
77,2024,1,regular,5088159,Chris Domercant,WR,Chattanooga,Tennessee,2.838,2.838,
78,2024,1,regular,5091739,Chris Brazzell II,WR,Tennessee,Chattanooga,1.148,1.148,
79,2024,1,regular,5119434,Trey Weary,WR,Tennessee,Chattanooga,0.536,0.536,
80,2024,1,regular,5122553,Peyton Lewis,RB,Tennessee,Chattanooga,-0.156,,-0.156
81,2024,1,regular,4568075,Juan Davis,TE,Texas,Colorado State,0.239,0.239,
82,2024,1,regular,4572525,Kobe Johnson,RB,Colorado State,Texas,-0.683,,-0.683
83,2024,1,regular,4589233,Dylan Goffney,WR,Colorado State,Texas,-0.009,-0.009,
84,2024,1,regular,4590532,Silas Bolden,WR,Texas,Colorado State,2.762,2.762,
85,2024,1,regular,4597703,Tory Horton,WR,Colorado State,Texas,0.553,0.553,
86,2024,1,regular,4608853,Peter Montini,TE,Colorado State,Texas,-0.142,-0.142,
87,2024,1,regular,4685279,Jaydon Blue,RB,Texas,Colorado State,0.274,0.781,0.089
88,2024,1,regular,4685601,Armani Winfield,WR,Colorado State,Texas,1.686,1.686,
89,2024,1,regular,4686728,Gunnar Helm,TE,Texas,Colorado State,0.909,0.909,
90,2024,1,regular,4701936,Matthew Golden,WR,Texas,Colorado State,2.414,2.414,
91,2024,1,regular,4808839,Isaiah Bond,WR,Texas,Colorado State,0.937,0.755,2.216
92,2024,1,regular,4833597,Brayden Fowler-Nicolosi,QB,Colorado State,Texas,-0.027,-0.027,
93,2024,1,regular,4869534,Amari Niblack,TE,Texas,Colorado State,0.363,0.363,
94,2024,1,regular,4870656,Johntay Cook II,WR,Texas,Colorado State,0.676,0.676,
95,2024,1,regular,4870906,Arch Manning,QB,Texas,Colorado State,0.921,1.096,0.571
96,2024,1,regular,4871076,Tre Wisner,RB,Texas,Colorado State,0.63,2.159,0.324
97,2024,1,regular,4889929,Quinn Ewers,QB,Texas,Colorado State,0.54,0.54,
98,2024,1,regular,5054036,Jackson Brousseau,QB,Colorado State,Texas,-0.441,-0.633,0.711
99,2024,1,regular,5078251,Justin Marshall,RB,Colorado State,Texas,-0.041,-0.055,-0.04
100,2024,1,regular,5079410,Jerrick Gibson,RB,Texas,Colorado State,0.403,,0.403
101,2024,1,regular,5079585,Jordan Ross,WR,Colorado State,Texas,1.401,1.401,
102,2024,1,regular,5081966,Colin Page,RB,Texas,Colorado State,-0.469,,-0.469
103,2024,1,regular,5082253,Keegan Holles,RB,Colorado State,Texas,0.142,0.061,0.222
104,2024,1,regular,5151382,Vince Brown II,TE,Colorado State,Texas,0.342,0.342,
105,2024,1,regular,5218633,Ryan Wingo,WR,Texas,Colorado State,1.608,1.608,
106,2024,1,regular,4426420,Devyn Ford,RB,Notre Dame,Texas A&M,-1.001,-1.001,
107,2024,1,regular,4428025,Kris Mitchell,WR,Notre Dame,Texas A&M,1.73,1.73,
108,2024,1,regular,4430825,E.J. Smith,RB,Texas A&M,Notre Dame,-0.226,-0.516,-0.154
109,2024,1,regular,4431210,Beaux Collins,WR,Notre Dame,Texas A&M,1.343,1.343,
110,2024,1,regular,4431600,Jayden Thomas,WR,Notre Dame,Texas A&M,1.288,1.288,
111,2024,1,regular,4567545,Jayden Harrison,WR,Notre Dame,Texas A&M,-0.521,-0.521,
112,2024,1,regular,4683423,Riley Leonard,QB,Notre Dame,Texas A&M,0.2,0.182,0.245
113,2024,1,regular,4685470,Le'Veon Moss,RB,Texas A&M,Notre Dame,0.048,-0.148,0.078
114,2024,1,regular,4685512,Jadarian Price,RB,Notre Dame,Texas A&M,-0.134,,-0.134
115,2024,1,regular,4685574,Conner Weigman,QB,Texas A&M,Notre Dame,-0.092,-0.209,0.511
116,2024,1,regular,4685784,Tre Watson,TE,Texas A&M,Notre Dame,0.676,0.676,
117,2024,1,regular,4718457,Noah Thomas,WR,Texas A&M,Notre Dame,1.092,1.092,
118,2024,1,regular,4870733,Cooper Flanagan,TE,Notre Dame,Texas A&M,1.545,1.545,
119,2024,1,regular,4870768,Jaden Greathouse,WR,Notre Dame,Texas A&M,0.878,0.878,
120,2024,1,regular,4870808,Jeremiyah Love,RB,Notre Dame,Texas A&M,0.166,-0.296,0.199
121,2024,1,regular,4879611,Amari Daniels,RB,Texas A&M,Notre Dame,0.458,,0.458
122,2024,1,regular,4912218,Cyrus Allen,WR,Texas A&M,Notre Dame,0.641,0.641,
123,2024,1,regular,5079326,Terry Bussey,WR,Texas A&M,Notre Dame,-0.347,,-0.347
124,2024,1,regular,5150424,Jordan Faison,WR,Notre Dame,Texas A&M,0.33,0.33,
125,2024,1,regular,5160110,Jahdae Walker,WR,Texas A&M,Notre Dame,0.351,0.35,0.353
126,2024,1,regular,4427601,Ali Jennings,WR,Virginia Tech,Vanderbilt,2.482,2.482,
127,2024,1,regular,4428439,Collin Schlee,QB,Virginia Tech,Vanderbilt,-1.327,-2.08,0.178
128,2024,1,regular,4429773,Loic Fouonji,WR,Vanderbilt,Virginia Tech,1.159,1.159,
129,2024,1,regular,4431574,Eli Stowers,TE,Vanderbilt,Virginia Tech,0.9,1.255,-0.164
130,2024,1,regular,4432215,Stephen Gosnell,WR,Virginia Tech,Vanderbilt,0.871,0.871,
131,2024,1,regular,4572380,Quincy Skinner Jr.,WR,Vanderbilt,Virginia Tech,1.45,1.45,
132,2024,1,regular,4575348,Da'Quan Felton,WR,Virginia Tech,Vanderbilt,-0.882,-0.882,
133,2024,1,regular,4602667,Jaylin Lane,WR,Virginia Tech,Vanderbilt,0.791,0.971,-0.288
134,2024,1,regular,4678010,Kyron Drones,QB,Virginia Tech,Vanderbilt,0.461,0.549,0.217
135,2024,1,regular,4685366,Benji Gosnell,TE,Virginia Tech,Vanderbilt,0.702,0.702,
136,2024,1,regular,4686223,Malachi Thomas,RB,Virginia Tech,Vanderbilt,-0.047,0.032,-0.127
137,2024,1,regular,4877627,Chase Gillespie,RB,Vanderbilt,Virginia Tech,-0.075,,-0.075
138,2024,1,regular,4882093,Bhayshul Tuten,RB,Virginia Tech,Vanderbilt,0.222,0.823,-0.178
139,2024,1,regular,4917981,AJ Newberry,RB,Vanderbilt,Virginia Tech,-0.6,,-0.6
140,2024,1,regular,4922987,Takye Heath,WR,Virginia Tech,Vanderbilt,0.132,,0.132
141,2024,1,regular,5030333,Sedrick Alexander,RB,Vanderbilt,Virginia Tech,0.181,1.595,0.015
142,2024,1,regular,5078165,Junior Sherrill,WR,Vanderbilt,Virginia Tech,0.382,0.79,-1.249
143,2024,1,regular,5084178,Jamoni Jones,RB,Vanderbilt,Virginia Tech,-0.251,,-0.251
144,2024,1,regular,5084180,Diego Pavia,QB,Vanderbilt,Virginia Tech,0.494,0.918,0.176
145,2024,1,regular,4426333,John Emery Jr.,RB,LSU,USC,0.19,1.04,0.105
146,2024,1,regular,4426357,Kyle Ford,WR,USC,LSU,0.723,0.723,
147,2024,1,regular,4429059,Jo'quavious Marks,RB,USC,LSU,0.005,0.202,-0.032
148,2024,1,regular,4431219,Kyren Lacy,WR,LSU,USC,0.969,0.969,
149,2024,1,regular,4431580,Miller Moss,QB,USC,LSU,0.584,0.584,
150,2024,1,regular,4432784,Kyron Ware-Hudson,WR,USC,LSU,0.696,0.696,
151,2024,1,regular,4566198,Lake McRee,TE,USC,LSU,0.658,0.658,
152,2024,1,regular,4567747,Garrett Nussmeier,QB,LSU,USC,0.462,0.462,
153,2024,1,regular,4568024,Josh Williams,RB,LSU,USC,-0.175,-0.287,-0.162
154,2024,1,regular,4605951,C.J. Daniels,WR,LSU,USC,-0.953,-0.953,
155,2024,1,regular,4691138,Aaron Anderson,WR,LSU,USC,1.181,1.181,
156,2024,1,regular,4808766,Mason Taylor,TE,LSU,USC,0.252,0.252,
157,2024,1,regular,4869748,Zavion Thomas,WR,LSU,USC,0.502,0.645,0.072
158,2024,1,regular,4870612,Zachariah Branch,WR,USC,LSU,1.023,1.023,
159,2024,1,regular,4870795,Makai Lemon,WR,USC,LSU,0.0,0.0,
160,2024,1,regular,4870839,Kaleb Jackson,RB,LSU,USC,-0.133,0.917,-0.308
161,2024,1,regular,4870847,Ja'Kobi Lane,WR,USC,LSU,1.697,1.697,
162,2024,1,regular,4870922,Duce Robinson,WR,USC,LSU,0.787,0.787,
163,2024,1,regular,4900640,Kyle Parker,WR,LSU,USC,0.094,0.094,
164,2024,1,regular,4917949,Quinten Joyner,RB,USC,LSU,-0.019,-0.149,0.014
165,2024,1,regular,5077668,Kade Eldridge,TE,USC,LSU,0.2,0.2,
166,2024,1,regular,5084293,Ka'Morreun Pimpton,TE,LSU,USC,0.867,0.867,
167,2024,1,regular,4426484,Marcus Major,RB,Minnesota,North Carolina,-0.001,0.278,-0.015
168,2024,1,regular,4426635,Darwin Barlow,RB,North Carolina,Minnesota,-0.22,0.108,-0.548
169,2024,1,regular,4430875,Daniel Jackson,WR,Minnesota,North Carolina,0.894,1.156,-0.152
170,2024,1,regular,4432387,Nate Mccollum,WR,North Carolina,Minnesota,0.006,-0.686,0.698
171,2024,1,regular,4569547,Nick Kallerup,TE,Minnesota,North Carolina,0.354,0.354,
172,2024,1,regular,4572267,Elijah Spencer,WR,Minnesota,North Carolina,0.965,0.965,
173,2024,1,regular,4573398,Max Brosmer,QB,Minnesota,North Carolina,0.224,0.104,0.843
174,2024,1,regular,4588298,Jameson Geers,TE,Minnesota,North Carolina,0.886,0.886,
175,2024,1,regular,4596010,Lemeke Brockington,WR,Minnesota,North Carolina,0.966,,0.966
176,2024,1,regular,4596596,J.J. Jones,WR,North Carolina,Minnesota,1.634,1.634,
177,2024,1,regular,4602969,Bryson Nesbit,TE,North Carolina,Minnesota,1.113,1.113,
178,2024,1,regular,4685342,Cristian Driver,WR,Minnesota,North Carolina,-0.155,-0.386,0.076
179,2024,1,regular,4685382,Omarion Hampton,RB,North Carolina,Minnesota,0.025,-0.198,0.062
180,2024,1,regular,4685414,Jake Johnson,TE,North Carolina,Minnesota,0.529,0.529,
181,2024,1,regular,4685740,Max Johnson,QB,North Carolina,Minnesota,-0.032,-0.241,1.065
182,2024,1,regular,4801306,Conner Harrell,QB,North Carolina,Minnesota,-0.485,-0.085,-1.018
183,2024,1,regular,4870739,Christian Hamilton,WR,North Carolina,Minnesota,-0.415,-0.415,
184,2024,1,regular,4875385,Jordan Nubin,RB,Minnesota,North Carolina,0.799,1.376,0.221
185,2024,1,regular,4367069,Ty Son Lawton,RB,Indiana,Florida International,0.215,-0.34,0.25
186,2024,1,regular,4427648,Lexington Joseph,RB,Florida International,Indiana,-0.302,-0.078,-0.471
187,2024,1,regular,4429618,Justice Ellison,RB,Indiana,Florida International,0.444,2.392,0.249
188,2024,1,regular,4430166,Josiah Miamen,TE,Florida International,Indiana,0.096,0.096,
189,2024,1,regular,4430431,Kurtis Rourke,QB,Indiana,Florida International,0.322,0.423,-0.334
190,2024,1,regular,4430656,Myles Price,WR,Indiana,Florida International,0.908,1.0,0.541
191,2024,1,regular,4431304,Kejon Owens,RB,Florida International,Indiana,0.487,1.038,0.396
192,2024,1,regular,4596347,Donaven McCulley,WR,Indiana,Florida International,2.291,2.291,
193,2024,1,regular,4685230,Miles Cross,WR,Indiana,Florida International,4.314,4.314,
194,2024,1,regular,4688817,Elijah Green,RB,Indiana,Florida International,1.674,,1.674
195,2024,1,regular,4695787,Shomari Lawrence,RB,Florida International,Indiana,-0.268,,-0.268
196,2024,1,regular,4696044,Kaelon Black,RB,Indiana,Florida International,0.479,,0.479
197,2024,1,regular,4713277,Eric Rivers,WR,Florida International,Indiana,0.564,0.564,
198,2024,1,regular,4723820,Omar Cooper Jr.,WR,Indiana,Florida International,1.167,1.167,
199,2024,1,regular,4837469,Amari Jones,QB,Florida International,Indiana,0.032,,0.032
200,2024,1,regular,4875613,Dean Patterson,WR,Florida International,Indiana,0.282,0.282,
201,2024,1,regular,4877014,Nazeviah Burris,WR,Florida International,Indiana,0.047,1.412,-1.317
202,2024,1,regular,4877824,Zach Horton,TE,Indiana,Florida International,1.256,1.256,
203,2024,1,regular,4907786,Rocky Beers,TE,Florida International,Indiana,0.642,0.642,
204,2024,1,regular,5078402,Shaborne Demps,WR,Florida International,Indiana,-0.114,,-0.114
205,2024,1,regular,5085337,Keyone Jenkins,QB,Florida International,Indiana,-0.012,0.02,-0.157
206,2024,1,regular,5088338,Elijah Sarratt,WR,Indiana,Florida International,0.326,0.326,
207,2024,1,regular,5151599,D.J. Washington,WR,Florida International,Indiana,1.622,1.622,
208,2024,1,regular,4427455,Cade McNamara,QB,Iowa,Illinois State,0.674,0.684,0.528
209,2024,1,regular,4429253,Mitch Bartol,TE,Illinois State,Iowa,-0.064,-0.064,
210,2024,1,regular,4431485,Leshon Williams,RB,Iowa,Illinois State,-0.29,0.227,-0.377
211,2024,1,regular,4431535,Jake Rubley,QB,Illinois State,Iowa,-0.322,-0.363,-0.038
212,2024,1,regular,4432338,Luke Lachey,TE,Iowa,Illinois State,1.256,1.256,
213,2024,1,regular,4602966,Jacob Gill,WR,Iowa,Illinois State,1.38,1.768,0.218
214,2024,1,regular,4696027,Javon Charles,TE,Illinois State,Iowa,-0.424,-0.424,
215,2024,1,regular,4819231,Kaleb Johnson,RB,Iowa,Illinois State,0.651,0.774,0.64
216,2024,1,regular,4873456,Addison Ostrenga,TE,Iowa,Illinois State,0.609,0.609,
217,2024,1,regular,4873475,Max White,RB,Iowa,Illinois State,-0.109,,-0.109
218,2024,1,regular,4874510,Xavier Loyd,WR,Illinois State,Iowa,1.041,1.041,
219,2024,1,regular,4878284,Tommy Rittenhouse,QB,Illinois State,Iowa,-0.171,-0.264,0.391
220,2024,1,regular,4878290,Wenkers Wright,RB,Illinois State,Iowa,-0.069,,-0.069
221,2024,1,regular,4878293,Daniel Sobkowicz,WR,Illinois State,Iowa,2.045,2.045,
222,2024,1,regular,4950379,Zach Ortwerth,TE,Iowa,Illinois State,2.208,2.208,
223,2024,1,regular,5076584,Terrell Washington Jr.,RB,Iowa,Illinois State,0.84,,0.84
224,2024,1,regular,5089279,Seth Glatz,RB,Illinois State,Iowa,-0.411,,-0.411
225,2024,1,regular,5093886,Kamari Moulton,RB,Iowa,Illinois State,-0.209,,-0.209
226,2024,1,regular,5138293,Reece Vander Zee,WR,Iowa,Illinois State,1.942,1.942,
227,2024,1,regular,4429582,Joe Fagnano,QB,UConn,Maryland,0.055,0.055,
228,2024,1,regular,4430470,TJ Sheffield,WR,UConn,Maryland,1.38,1.38,
229,2024,1,regular,4431509,Kaden Prather,WR,Maryland,UConn,0.975,0.975,
230,2024,1,regular,4565185,Tai Felton,WR,Maryland,UConn,2.452,2.558,1.708
231,2024,1,regular,4569727,Louis Hansen,TE,UConn,Maryland,0.873,0.873,
232,2024,1,regular,4588200,Colby McDonald,RB,Maryland,UConn,0.003,,0.003
233,2024,1,regular,4592532,Billy Edwards,QB,Maryland,UConn,0.742,0.811,0.29
234,2024,1,regular,4683153,Skyler Bell,WR,UConn,Maryland,2.609,2.609,
235,2024,1,regular,4685416,Shaleak Knotts,WR,Maryland,UConn,-0.927,-0.927,
236,2024,1,regular,4685488,MJ Morris,QB,Maryland,UConn,-0.343,-0.434,-0.191
237,2024,1,regular,4688835,Roman Hemby,RB,Maryland,UConn,0.117,0.292,0.076
238,2024,1,regular,4710843,Jasaiah Gathings,WR,UConn,Maryland,0.613,0.613,
239,2024,1,regular,4755664,Nick Evers,QB,UConn,Maryland,-0.197,-0.216,-0.109
240,2024,1,regular,4869520,Octavian Smith Jr.,WR,Maryland,UConn,1.021,1.021,
241,2024,1,regular,4870712,Cameron Edge,QB,Maryland,UConn,1.118,1.118,
242,2024,1,regular,4873234,Victor Rosa,RB,UConn,Maryland,0.091,0.604,-0.037
243,2024,1,regular,4875107,Robert Smith,WR,Maryland,UConn,0.783,0.783,
244,2024,1,regular,4894661,Durell Robinson,RB,UConn,Maryland,-0.358,-1.768,0.045
245,2024,1,regular,4921316,Nolan Ray,RB,Maryland,UConn,0.159,-0.453,0.281
246,2024,1,regular,5032961,Tucker Ashcraft,TE,Wisconsin,Western Michigan,0.489,0.489,
247,2024,1,regular,5074245,Broc Lowry,QB,Western Michigan,Wisconsin,-0.38,,-0.38
248,2024,1,regular,5077266,Trech Kekahuna,WR,Wisconsin,Western Michigan,1.4,1.4,
249,2024,1,regular,5081926,Tawee Walker,RB,Wisconsin,Western Michigan,0.38,0.028,0.427
250,2024,1,regular,5085006,Jalen Buckley,RB,Western Michigan,Wisconsin,0.481,2.655,0.346
251,2024,1,regular,4426971,Gary Cooper,WR,Bryant,Delaware,1.754,1.754,
252,2024,1,regular,4427354,Jarrett Guest,QB,Bryant,Delaware,-0.014,0.028,-0.643
253,2024,1,regular,4428806,Quincy Watson,RB,Delaware,Bryant,-0.156,,-0.156
254,2024,1,regular,4431028,Kaedric Cobbs,RB,Bryant,Delaware,0.001,,0.001
255,2024,1,regular,4576298,Keegan Wilburn,WR,Bryant,Delaware,2.082,2.082,
256,2024,1,regular,4682748,Max Patterson,WR,Delaware,Bryant,0.66,0.66,
257,2024,1,regular,4686771,Caleb Fauria,TE,Delaware,Bryant,0.373,0.373,
258,2024,1,regular,4690298,Jake Thaw,WR,Delaware,Bryant,1.06,1.06,
259,2024,1,regular,4694043,Ryan Clark,RB,Bryant,Delaware,-0.258,0.285,-0.801
260,2024,1,regular,4694066,Landon Ruggieri,WR,Bryant,Delaware,0.79,0.79,
261,2024,1,regular,4694069,Marc Taglieri Jr.,TE,Bryant,Delaware,1.701,1.701,
262,2024,1,regular,4694302,Marcus Yarns,RB,Delaware,Bryant,0.5,1.317,0.227
263,2024,1,regular,4694404,Nicholas Laboy,WR,Delaware,Bryant,1.105,1.105,
264,2024,1,regular,4876073,Fabrice Mukendi,RB,Bryant,Delaware,0.231,0.54,0.128
265,2024,1,regular,4876989,Jalyn Witcher,WR,Delaware,Bryant,0.618,0.618,
266,2024,1,regular,4879573,Carter Neuman,TE,Bryant,Delaware,0.557,0.557,
267,2024,1,regular,5086952,Jo'Nathan Silver,RB,Delaware,Bryant,1.006,,1.006
268,2024,1,regular,5086970,Ryan O'Connor,QB,Delaware,Bryant,0.328,0.328,
269,2024,1,regular,5086972,Kaelin Costello,RB,Delaware,Bryant,-0.006,,-0.006
270,2024,1,regular,5151371,Dylan Kedzior,RB,Bryant,Delaware,-0.071,2.371,-0.478
271,2024,1,regular,5153846,Nick Minicucci,QB,Delaware,Bryant,-0.614,,-0.614
272,2024,1,regular,5153852,Ja'Carree Kelly,WR,Delaware,Bryant,-0.096,-0.096,
273,2024,1,regular,5153855,Saeed St. Fleur,RB,Delaware,Bryant,1.326,,1.326
274,2024,1,regular,5153868,Phil Lutz,WR,Delaware,Bryant,2.899,2.899,
275,2024,1,regular,4428805,Connor Watkins,QB,Villanova,Youngstown State,0.33,-0.169,1.515
276,2024,1,regular,4433935,Ethan Wright,RB,Youngstown State,Villanova,0.451,1.405,0.213
277,2024,1,regular,4837194,Jaylan Sanchez,WR,Villanova,Youngstown State,1.235,0.924,1.545
278,2024,1,regular,4875727,Latrell Fordham,WR,Youngstown State,Villanova,0.945,0.945,
279,2024,1,regular,4878789,Daniel Lopes,WR,Villanova,Youngstown State,2.894,2.894,
280,2024,1,regular,4878956,Max Tomczak,WR,Youngstown State,Villanova,0.919,0.919,
281,2024,1,regular,5083295,Isaiah Wright,RB,Villanova,Youngstown State,-0.151,,-0.151
282,2024,1,regular,4426499,Hank Bachmeier,QB,Wake Forest,North Carolina A&T,0.7,0.683,1.11
283,2024,1,regular,4429620,Justin Fomby,QB,North Carolina A&T,Wake Forest,-0.335,-0.504,1.191
284,2024,1,regular,4429800,Ger-Cari Caldwell,WR,North Carolina A&T,Wake Forest,1.605,1.605,
