,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
867,2024,1,regular,4430596,Keshawn Toney,TE,South Carolina State,Florida A&M,-0.06,-0.06,
868,2024,1,regular,4432702,Thad Franklin,RB,Florida A&M,South Carolina State,2.824,2.824,
869,2024,1,regular,4570259,Daniel Richardson,QB,Florida A&M,South Carolina State,0.744,0.968,-0.052
870,2024,1,regular,4589693,Einaj Carter,WR,South Carolina State,Florida A&M,0.627,0.627,
871,2024,1,regular,4684091,Jamari Gassett,WR,Florida A&M,South Carolina State,0.024,-0.005,0.168
872,2024,1,regular,4702574,Quan Lee,WR,Florida A&M,South Carolina State,2.182,2.924,1.44
873,2024,1,regular,4749271,Justin Smith-Brown,WR,South Carolina State,Florida A&M,0.994,0.994,
874,2024,1,regular,4816084,Jaylen Ward,WR,Florida A&M,South Carolina State,1.548,1.548,
875,2024,1,regular,4873590,Koby Gross,TE,Florida A&M,South Carolina State,1.582,1.582,
876,2024,1,regular,4883859,Jordan Smith,WR,South Carolina State,Florida A&M,1.773,1.773,
877,2024,1,regular,5082004,Ace Cobb,WR,Florida A&M,South Carolina State,1.42,1.42,
878,2024,1,regular,5097945,Josh Shaw,RB,South Carolina State,Florida A&M,0.732,,0.732
879,2024,1,regular,5231354,Caden High,WR,South Carolina State,Florida A&M,0.63,0.63,
880,2024,1,regular,4373895,Ben Wooldridge,QB,Louisiana,Grambling,0.369,0.379,0.28
881,2024,1,regular,4426454,Lance LeGendre,WR,Louisiana,Grambling,0.705,0.705,
882,2024,1,regular,4428808,Jacob Bernard,WR,Louisiana,Grambling,0.467,0.467,
883,2024,1,regular,4429595,Chandler Fields,QB,Louisiana,Grambling,0.333,0.539,-0.699
884,2024,1,regular,4608801,Nae'Saan Dickerson,WR,Grambling,Louisiana,3.443,3.443,
885,2024,1,regular,4685739,Tre Bradford,RB,Grambling,Louisiana,-0.143,-0.403,-0.031
886,2024,1,regular,4685795,Kendrell Williams,RB,Louisiana,Grambling,-0.111,,-0.111
887,2024,1,regular,4685829,Dre'Lyn Washington,RB,Louisiana,Grambling,0.719,,0.719
888,2024,1,regular,4690127,Tony Forrest,TE,Grambling,Louisiana,-1.331,-1.331,
889,2024,1,regular,4690461,Robert Williams,WR,Louisiana,Grambling,0.709,0.709,
890,2024,1,regular,4690933,Rhett Guidry,TE,Louisiana,Grambling,0.997,0.997,
891,2024,1,regular,4693861,Myles Crawley,QB,Grambling,Louisiana,-0.179,-0.179,
892,2024,1,regular,4867887,Terrance Carter,TE,Louisiana,Grambling,1.181,1.181,
893,2024,1,regular,4875451,Dale Martin,WR,Louisiana,Grambling,0.507,0.507,
894,2024,1,regular,4883676,Jalen Johnson,WR,Grambling,Louisiana,0.256,0.256,
895,2024,1,regular,4917310,Zylan Perry,RB,Louisiana,Grambling,0.098,-0.219,0.161
896,2024,1,regular,4918412,Harvey Broussard,WR,Louisiana,Grambling,1.923,1.923,
897,2024,1,regular,5085497,Ty Stamey,TE,Louisiana,Grambling,0.291,0.291,
