,id,season,seasonType,week,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
967,401634306,2024,regular,1,2024-09-02T23:30:00.000Z,Florida State,ACC,fbs,13.0,Boston College,ACC,fbs,28.0,Bovada,-16.5,Florida State -16.5,-21.0,51.5,50.0,-850.0,550.0,
968,401634306,2024,regular,1,2024-09-02T23:30:00.000Z,Florida State,ACC,fbs,13.0,Boston College,ACC,fbs,28.0,ESPN Bet,-16.5,Florida State -16.5,-16.5,51.5,49.5,-900.0,600.0,
969,401628328,2024,regular,1,2024-08-30T23:00:00.000Z,Oklahoma,SEC,fbs,51.0,Temple,American Athletic,fbs,3.0,DraftKings,-42.5,Oklahoma -42.5,-42.5,59.5,59.5,,,
970,401628328,2024,regular,1,2024-08-30T23:00:00.000Z,Oklahoma,SEC,fbs,51.0,Temple,American Athletic,fbs,3.0,Bovada,-43.0,Oklahoma -43.0,-43.0,57.5,59.0,,,
971,401628328,2024,regular,1,2024-08-30T23:00:00.000Z,Oklahoma,SEC,fbs,51.0,Temple,American Athletic,fbs,3.0,ESPN Bet,-43.5,Oklahoma -43.5,,57.5,,,,
972,401628539,2024,regular,10,2024-11-02T16:00:00.000Z,Penn State,Big Ten,fbs,13.0,Ohio State,Big Ten,fbs,20.0,DraftKings,3.0,Ohio State -3,4.0,47.5,,136.0,-162.0,
973,401628539,2024,regular,10,2024-11-02T16:00:00.000Z,Penn State,Big Ten,fbs,13.0,Ohio State,Big Ten,fbs,20.0,Bovada,3.0,Ohio State -3.0,4.0,47.5,47.0,160.0,-185.0,
974,401628539,2024,regular,10,2024-11-02T16:00:00.000Z,Penn State,Big Ten,fbs,13.0,Ohio State,Big Ten,fbs,20.0,ESPN Bet,3.5,Ohio State -3.5,4.0,47.5,47.5,140.0,-165.0,
975,401635596,2024,regular,9,2024-10-26T23:00:00.000Z,Miami,ACC,fbs,36.0,Florida State,ACC,fbs,14.0,DraftKings,-22.5,Miami -22.5,1.0,55.0,,-1800.0,1000.0,
976,401635596,2024,regular,9,2024-10-26T23:00:00.000Z,Miami,ACC,fbs,36.0,Florida State,ACC,fbs,14.0,Bovada,-22.5,Miami -22.5,-21.0,55.0,54.5,-1500.0,775.0,
