season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2024,North Carolina,ACC,243.1,-1.5,181.8,62.9,0.457,-0.01,0.713,0.518,0.454,0.088,0.718,0.629
2024,Northern Illinois,Mid-American,205.7,20.4,104.3,81.0,0.589,0.218,0.698,0.761,0.575,0.093,0.784,0.833
2024,North Texas,American Athletic,110.5,8.9,102.4,-0.8,0.192,0.06,0.339,-0.006,0.1,0.006,0.337,0.028
2024,Northwestern,Big Ten,144.2,4.8,133.6,5.7,0.419,0.057,0.608,0.141,0.42,0.024,0.702,0.657
2024,Notre Dame,FBS Independents,214.4,48.5,150.0,15.9,0.37,0.247,0.526,0.162,0.346,0.139,0.514,0.42
2024,Ohio,Mid-American,68.4,10.4,51.2,6.8,0.165,0.073,0.235,0.122,0.274,0.066,0.256,0.461
2024,Ohio State,Big Ten,120.7,4.9,79.2,36.6,0.224,0.024,0.288,0.626,0.318,0.138,0.382,0.45
2024,Oklahoma,Big 12,279.4,49.2,188.9,41.2,0.401,0.183,0.596,0.369,0.37,0.176,0.519,0.432
2024,Oklahoma State,Big 12,399.6,149.5,179.8,70.3,0.821,0.973,0.704,0.898,0.8,0.933,0.655,0.78
2024,Old Dominion,Sun Belt,191.3,54.4,97.2,39.7,0.556,0.791,0.459,0.631,0.567,0.868,0.477,0.313
2024,Ole Miss,SEC,444.0,167.1,209.0,67.9,0.813,0.889,0.749,0.866,0.641,0.924,0.648,0.392
2024,Oregon,Pac-12,298.2,23.6,213.8,60.8,0.355,0.077,0.568,0.385,0.323,0.037,0.613,0.374
2024,Oregon State,Pac-12,36.7,0.5,32.7,3.5,0.069,0.003,0.122,0.032,0.08,0.081,0.178,0.017
2024,Penn State,Big Ten,321.4,110.0,120.6,90.8,0.747,0.962,0.565,0.888,0.857,0.992,0.51,0.934
2024,Pittsburgh,ACC,171.0,39.4,113.5,18.1,0.538,0.451,0.551,0.727,0.418,0.17,0.625,0.564
2024,Purdue,Big Ten,183.9,70.3,70.2,43.4,0.517,0.909,0.33,0.662,0.688,0.998,0.307,0.613
2024,Rice,American Athletic,218.5,11.7,143.9,62.8,0.472,0.075,0.6,0.921,0.512,0.352,0.647,0.58
2024,Rutgers,Big Ten,124.4,4.5,76.3,43.6,0.42,0.079,0.491,0.521,0.421,0.01,0.491,0.686
2024,Sam Houston State,Conference USA,120.4,-0.4,135.4,-14.6,0.421,-0.004,0.742,-29.2,0.48,0.065,0.826,0.682
2024,San Diego State,Mountain West,90.7,0.0,59.7,31.0,0.391,0.0,0.511,0.53,0.408,0.0,0.505,0.654
2024,San José State,Mountain West,104.6,-0.7,109.3,-4.0,0.238,-0.006,0.477,-0.043,0.118,0.003,0.407,0.044
