id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401752671,99,LSU,SEC,away,17,29-39,0,25,0-1,2,0,0,0,0,,,,5,248,6,1,1,37:10,0,18,1,5,31,1,108,2,31,4,4-11,2,6-45,354,2,6.4,3.5
401752671,228,Clemson,ACC,home,10,19-38,0,13,2-4,0,2,,,1,,,,4,230,5,,0,22:50,0,16,1,2,20,1,31,1,38,8,3-13,0,6-57,261,1,6.1,1.6
401752672,145,Ole Miss,SEC,home,63,24-37,0,33,1-1,0,0,0,1,2,,,,13,400,5,1,4,28:36,0,67,5,6,44,4,295,1,30,5,8-13,1,8-51,695,2,10.8,6.7
401752672,2247,Georgia State,Sun Belt,away,7,12-25,0,10,2-4,0,,0,25,1,0,39,2,1,69,4,2,1,31:24,,,,4,35,0,191,2,46,6,2-15,,8-60,260,1,2.8,5.5
401752673,344,Mississippi State,SEC,away,34,27-37,0,23,0-0,0,0,0,0,1,,,,10,277,7,1,1,30:21,0,0,3,0,42,3,188,1,17,3,11-17,1,14-119,465,1,7.5,4.5
401752673,2572,Southern Miss,Sun Belt,home,17,26-39,0,18,1-3,0,,0,0,1,0,32,1,5,199,6,1,2,29:39,,,,0,35,0,102,1,25,4,10-19,,8-60,301,1,5.1,2.9
401752674,142,Missouri,SEC,home,61,26-31,1,25,1-1,0,1,1,83,0,0,18,1,13,341,4,1,3,30:09,0,50,2,1,38,4,219,2,35,7,9-13,1,8-70,560,0,11.0,5.8
401752674,2110,Central Arkansas,UAC,away,6,13-23,0,15,1-1,1,0,,,1,0,111,7,,73,1,,1,29:51,,,,1,39,0,154,1,32,2,2-13,1,5-60,227,2,3.2,3.9
401752675,201,Oklahoma,SEC,home,35,30-37,0,24,2-3,1,0,,,1,0,15,1,5,392,5,,3,32:56,,,,3,32,2,103,2,23,5,4-10,1,6-35,495,2,10.6,3.2
401752675,2287,Illinois State,MVFC,away,3,10-20,0,8,0-0,0,1,0,0,0,0,12,1,3,34,0,1,0,27:04,0,6,1,2,26,0,117,1,31,4,1-11,0,2-10,151,0,1.7,4.5
401752676,183,Syracuse,ACC,away,26,23-40,0,24,3-4,1,1,,,1,,,,2,274,4,,1,34:31,,,,0,44,3,103,0,44,3,5-14,2,4-30,377,2,6.9,2.3
401752676,2633,Tennessee,SEC,home,45,16-28,0,22,0-0,1,1,0,0,0,0,24,1,9,247,10,1,3,25:29,0,2,1,0,40,2,246,5,48,7,7-12,1,7-65,493,1,8.8,6.2
401752677,194,Ohio State,Big Ten,home,14,13-20,0,11,1-2,0,,0,5,0,,,,2,126,1,1,1,32:05,,,,0,34,1,77,1,28,1,3-12,,2-15,203,0,6.3,2.3
401752677,251,Texas,SEC,away,7,17-30,0,16,1-5,0,,,,1,0,15,1,1,170,2,,1,27:55,0,3,1,2,37,0,166,0,21,1,5-14,,6-50,336,1,5.7,4.5
401752678,245,Texas A&M,SEC,home,42,23-36,1,17,1-1,0,,,,0,0,67,2,6,291,3,,4,26:19,1,142,5,2,23,1,108,1,35,9,3-11,,7-50,399,0,8.1,4.7
401752678,2636,UTSA,American Athletic,away,24,21-34,0,17,1-1,0,0,,,0,0,20,1,6,170,2,,1,33:41,0,2,1,2,33,2,203,0,31,2,5-16,2,4-34,373,0,5.0,6.2
401752679,238,Vanderbilt,SEC,home,45,21-28,0,25,0-0,0,1,0,0,0,0,29,1,9,280,3,1,3,32:09,0,11,1,3,31,3,201,3,28,6,6-9,1,7-60,481,0,10.0,6.5
401752679,2127,Charleston Southern,Big South-OVC,away,3,10-19,0,7,1-1,1,0,,,1,0,15,1,3,88,1,,0,27:51,,,,2,27,0,47,1,26,2,3-13,1,5-54,135,2,4.6,1.7
401752680,259,Virginia Tech,ACC,away,11,15-35,0,19,0-1,0,,,,2,0,62,4,9,221,1,,0,34:17,0,5,2,0,37,0,115,4,32,7,8-18,,4-40,336,2,6.3,3.1
401752680,2579,South Carolina,SEC,home,24,12-19,1,16,1-1,0,0,0,25,0,,,,6,209,3,2,1,25:43,1,80,3,0,34,1,125,2,41,4,4-12,2,8-51,334,0,11.0,3.7
401752793,135,Minnesota,Big Ten,home,23,19-35,0,27,1-2,0,1,,,1,0,8,1,11,290,4,,2,38:28,0,18,1,1,44,0,153,2,22,7,9-16,0,2-10,443,1,8.3,3.5
401752793,2084,Buffalo,Mid-American,away,10,12-20,0,8,1-1,1,0,0,54,0,0,18,1,4,107,4,1,1,21:32,0,0,1,2,24,0,44,2,27,3,1-11,1,4-45,151,1,5.4,1.8
401752794,164,Rutgers,Big Ten,home,34,18-23,1,24,5-5,0,,,,0,0,41,2,10,252,3,,2,31:45,1,23,2,4,37,1,147,0,26,4,1-10,,5-35,399,0,11.0,4.0
401752794,195,Ohio,Mid-American,away,31,21-31,0,24,1-1,0,,,,0,0,30,3,7,239,1,,3,28:15,,,,2,31,1,201,1,30,5,5-10,,6-37,440,0,7.7,6.5
401752795,356,Illinois,Big Ten,home,52,18-22,1,21,2-2,0,1,,,0,,,,10,231,2,,3,32:42,1,133,4,4,37,3,209,4,34,8,4-9,0,5-60,440,0,10.5,5.6
401752795,2710,Western Illinois,Big South-OVC,away,3,14-29,0,11,0-2,1,0,,,0,,,,3,134,0,,0,27:18,,,,0,26,0,29,3,32,5,5-14,1,8-59,163,1,4.6,1.1
401752796,158,Nebraska,Big Ten,away,20,33-42,0,23,1-2,0,1,0,0,0,0,33,2,8,243,5,1,2,39:30,0,3,2,1,35,0,113,0,20,2,10-18,2,3-27,356,0,5.8,3.2
401752796,2132,Cincinnati,Big 12,home,17,13-25,0,16,2-2,1,0,,,1,0,20,1,5,69,2,,0,20:30,,,,3,29,2,202,3,24,6,3-10,1,4-20,271,2,2.8,7.0
401752797,120,Maryland,Big Ten,home,39,28-47,1,22,0-2,0,,1,31,0,0,37,2,13,268,6,6,3,29:34,0,5,2,5,30,0,112,3,64,8,5-17,,14-100,380,0,5.7,3.7
401752797,2226,Florida Atlantic,American Athletic,away,7,36-62,0,23,3-9,0,,,,6,0,140,6,1,277,6,,1,30:26,,,,1,32,0,77,0,41,5.5,7-20,,7-77,354,6,4.5,2.4
401752798,30,USC,Big Ten,home,73,24-27,1,27,0-0,1,1,1,76,0,0,62,3,13,364,3,2,3,27:29,,,,0,30,6,233,5,38,13,6-7,1,5-45,597,1,13.5,7.8
401752798,2623,Missouri State,Conference USA,away,13,20-28,0,11,2-2,1,1,,,2,0,35,2,7,159,1,,1,32:31,,,,0,29,0,65,1,31,4,3-14,1,6-60,224,3,5.7,2.2
401752799,399,UAlbany,CAA,away,7,13-26,0,9,1-1,0,1,,,0,0,29,3,1,134,1,,1,23:23,,,,1,21,0,43,1,42,3,2-11,0,3-15,177,0,5.2,2.0
401752799,2294,Iowa,Big Ten,home,34,9-16,0,20,2-2,1,0,,,0,,,,10,48,1,,1,36:37,0,63,2,1,53,3,310,2,29,5,10-16,1,2-20,358,1,3.0,5.8
401752800,26,UCLA,Big Ten,home,10,11-22,0,14,3-4,0,,,,1,0,37,2,4,136,1,,1,22:32,,,,2,28,0,84,0,46,2,2-11,,3-30,220,1,6.2,3.0
401752800,254,Utah,Big 12,away,43,21-26,0,30,1-1,0,0,0,20,0,0,19,3,7,206,1,1,2,37:28,,,,0,54,4,286,4,28,5,14-16,2,3-15,492,0,7.9,5.3
401752801,2050,Ball State,Mid-American,away,0,10-16,0,13,1-2,0,,,,0,0,34,2,0,87,3,,0,33:40,0,-3,1,0,36,0,116,1,39,5,4-13,,3-18,203,0,5.4,3.2
401752801,2509,Purdue,Big Ten,home,31,20-29,0,23,2-2,0,0,,,0,0,20,1,7,340,1,,2,26:20,0,7,2,1,30,2,93,4,42,7,4-11,1,3-25,433,0,11.7,3.1
401752802,127,Michigan State,Big Ten,home,23,17-24,0,20,1-1,1,0,0,0,1,0,22,1,3,155,4,1,1,36:47,0,20,1,8,44,2,181,4,25,12,4-13,2,5-35,336,2,6.5,4.1
401752802,2711,Western Michigan,Mid-American,away,6,16-33,1,10,0-3,0,1,1,32,1,0,37,2,0,188,0,1,0,23:13,0,10,3,2,24,0,29,4,38,10,4-14,3,5-21,217,1,5.7,1.2
401752803,77,Northwestern,Big Ten,away,3,19-36,0,19,0-2,1,0,,,4,,,,3,161,4,,0,26:39,,,,0,27,0,76,1,41,3,5-12,2,4-19,237,5,4.5,2.8
401752803,2655,Tulane,American Athletic,home,23,18-32,0,23,1-1,0,1,0,11,0,0,18,1,11,152,5,4,1,33:21,0,3,2,2,42,1,269,3,36,3,6-15,0,5-55,421,0,4.8,6.4
401752804,147,Montana State,Big Sky,away,13,23-31,0,17,1-2,0,0,,,0,0,45,2,7,198,0,,0,29:55,,,,0,27,1,46,0,33,0,3-12,1,7-54,244,0,6.4,1.7
401752804,2483,Oregon,Big Ten,home,59,19-25,0,29,2-2,0,0,,,0,0,91,4,11,253,3,,3,30:08,0,34,4,0,39,5,253,3,37,7,7-10,1,3-29,506,0,10.1,6.5
401752805,36,Colorado State,Mountain West,away,21,17-33,0,17,3-5,0,1,,,1,0,95,4,3,180,3,,1,23:16,,,,0,27,2,85,3,47,5,3-13,1,5-20,265,1,5.5,3.1
401752805,264,Washington,Big Ten,home,38,18-24,0,26,1-1,1,0,0,0,0,0,113,4,8,226,3,1,1,36:44,0,11,2,0,51,4,283,2,37,6,8-14,1,6-34,509,1,9.4,5.5
401752806,84,Indiana,Big Ten,home,27,18-32,1,30,0-2,1,0,0,33,0,0,28,1,9,193,3,3,0,41:28,1,108,3,5,57,2,309,1,20,3,10-17,1,3-25,502,1,6.0,5.4
401752806,295,Old Dominion,Sun Belt,away,14,11-22,0,10,0-0,0,1,,,3,,,,2,96,5,,0,18:32,0,3,1,2,23,2,218,1,48,4,4-10,0,9-65,314,3,4.4,9.5
401752807,213,Penn State,Big Ten,home,46,29-35,0,25,2-3,0,2,0,14,0,0,88,2,16,303,2,1,1,33:40,0,8,3,4,36,4,135,3,35,9,6-13,1,5-45,438,0,8.7,3.8
