,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
115,401761604,324,Coastal Carolina,Sun Belt,home,0,19-39,0,18,0-1,3,0,0,0,2,0,26,1,0,172,3,1,0,26:05,0,16,2,0,26,0,67,0,70,3,5-14,4,7-55,239,5,4.4,2.6
116,401761605,93,Murray State,MVFC,away,21,19-30,0,22,1-3,1,1,0,0,0,,,,1,159,5,2,1,29:05,0,22,1,0,42,2,123,0,41,1,4-14,1,2-25,282,1,5.3,2.9
117,401761605,2247,Georgia State,Sun Belt,home,37,21-30,0,18,2-2,1,1,,,2,0,70,5,5,288,6,,4,30:55,0,-4,1,2,32,1,166,2,41,7,5-11,2,13-132,454,3,9.6,5.2
118,401761606,276,Marshall,Sun Belt,home,38,8-14,0,21,1-2,2,0,0,60,0,0,26,2,8,114,4,2,2,34:04,0,73,5,7,57,3,263,5,16,10,6-16,2,8-75,377,2,8.1,4.6
119,401761606,2198,Eastern Kentucky,UAC,away,7,8-24,0,10,0-0,0,2,,,2,,,,1,91,2,,1,25:56,,,,3,28,0,11,3,32,5,2-13,0,7-67,102,2,3.8,0.4
120,401761607,2026,App State,Sun Belt,away,22,31-52,0,27,2-4,0,,0,0,3,0,25,1,2,375,2,1,1,36:29,,,,0,38,2,95,1,21,6,6-18,,7-65,470,3,7.2,2.5
121,401761607,2572,Southern Miss,Sun Belt,home,38,22-31,1,18,0-0,0,0,1,117,1,,,,8,279,12,3,2,23:24,0,1,2,6,25,2,110,5,30,6,4-9,1,9-74,389,1,9.0,4.4
122,401761608,235,Memphis,American Athletic,away,28,17-27,0,21,1-2,1,0,0,-1,0,,,,4,213,7,1,1,36:55,0,10,4,4,45,3,217,4,14,8,6-15,1,7-65,430,1,7.9,4.8
123,401761608,2653,Troy,Sun Belt,home,7,12-32,1,12,0-0,0,1,,,1,0,20,1,1,72,2,,0,23:05,,,,6,23,0,40,3,35,6,4-15,0,4-20,112,1,2.3,1.7
124,401762463,5,UAB,American Athletic,home,31,30-45,1,26,1-3,0,0,,,1,1,180,6,7,341,8,,2,30:02,0,14,1,3,31,1,81,5,42,8,3-12,2,4-29,422,1,7.6,2.6
