player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate
4775264,Tony Muskett,Virginia,ACC,Coastal Carolina,2,2,10,5.0,0,0,100.0,4,1.0,5.0,0.0,0.0
4431375,Ken Seals,TCU,Big 12,SMU,3,3,19,6.3,1,0,99.9,4,1.0,6.333333333333333,0.3333333333333333,0.0
4685401,Josh Hoover,TCU,Big 12,SMU,28,43,396,9.2,3,2,86.0,4,0.6511627906976745,9.209302325581396,0.06976744186046512,0.046511627906976744
5084084,Kevin Jennings,SMU,ACC,TCU,14,19,137,7.2,2,0,78.5,4,0.7368421052631579,7.2105263157894735,0.10526315789473684,0.0
4428993,Haynes King,Georgia Tech,ACC,Louisville,21,32,312,9.8,0,0,86.0,4,0.65625,9.75,0.0,0.0
4360689,Tyler Shough,Louisville,ACC,Georgia Tech,13,19,269,14.2,2,0,80.2,4,0.6842105263157895,14.157894736842104,0.10526315789473684,0.0
4429020,D.J. Uiagalelei,Florida State,ACC,California,16,27,177,6.6,1,1,48.0,4,0.5925925925925926,6.555555555555555,0.037037037037037035,0.037037037037037035
4837248,Fernando Mendoza,California,ACC,Florida State,22,36,303,8.4,0,1,61.1,4,0.6111111111111112,8.416666666666666,0.0,0.027777777777777776
-5490, Team,California,ACC,Florida State,0,1,0,0.0,0,0,,4,0.0,0.0,0.0,0.0
4682518,Nick Vattiato,Middle Tennessee,Conference USA,Duke,21,33,127,3.8,1,1,30.0,4,0.6363636363636364,3.8484848484848486,0.030303030303030304,0.030303030303030304
5194626,Roman Gagliano,Middle Tennessee,Conference USA,Duke,0,2,0,0.0,0,0,8.5,4,0.0,0.0,0.0,0.0
4685497,Maalik Murphy,Duke,ACC,Middle Tennessee,14,21,216,10.3,3,1,43.1,4,0.6666666666666666,10.285714285714286,0.14285714285714285,0.047619047619047616
4773919,Thomas Castellanos,Boston College,ACC,Michigan State,10,16,140,8.8,1,0,17.5,4,0.625,8.75,0.0625,0.0
5075805,Aidan Chiles,Michigan State,Big Ten,Boston College,17,35,241,6.9,0,3,53.0,4,0.4857142857142857,6.885714285714286,0.0,0.08571428571428572
4870819,Eli Holstein,Pittsburgh,ACC,Youngstown State,16,24,247,10.3,3,0,83.9,4,0.6666666666666666,10.291666666666666,0.125,0.0
4683182,Nate Yarnell,Pittsburgh,ACC,Youngstown State,8,11,102,9.3,1,0,65.6,4,0.7272727272727273,9.272727272727273,0.09090909090909091,0.0
4870971,Marcel Reed,Texas A&M,SEC,Arkansas,11,22,163,7.4,2,0,59.4,5,0.5,7.409090909090909,0.09090909090909091,0.0
4431325,Taylen Green,Arkansas,SEC,Texas A&M,23,41,279,6.8,1,1,59.0,5,0.5609756097560976,6.804878048780488,0.024390243902439025,0.024390243902439025
4920227,Giovanni Lopez,South Alabama,Sun Belt,LSU,16,22,171,7.8,1,0,60.1,5,0.7272727272727273,7.7727272727272725,0.045454545454545456,0.0
4869553,Bishop Davenport,South Alabama,Sun Belt,LSU,4,8,50,6.3,0,0,18.6,5,0.5,6.25,0.0,0.0
4567747,Garrett Nussmeier,LSU,SEC,South Alabama,26,39,409,10.5,2,2,87.9,5,0.6666666666666666,10.487179487179487,0.05128205128205128,0.05128205128205128
4870645,Rickie Collins,LSU,SEC,South Alabama,3,3,21,7.0,0,0,98.3,5,1.0,7.0,0.0,0.0
