,player_name,player_id,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate,id
0, Team,-152583,0,25,0,0.0,0,0,0.0,119,0.0,0.0,0.0,0.0,7895
1,AJ Swann,10162810,2,4,10,4.7,0,0,20.2,26,1.3333333333333333,4.666666666666666,0.0,0.0,198
2,Aaron Philo,20531248,38,74,565,31.6,1,2,286.4,36,2.0988344988344987,31.607226107226108,0.1,0.0687645687645687,236
3,Aidan Armenta,10244108,11,21,101,7.9,0,1,55.0,16,1.0333333333333332,7.933333333333334,0.0,0.1666666666666666,4866
4,Aidan Chiles,5075805,17,35,241,6.9,0,3,53.0,4,0.4857142857142857,6.885714285714286,0.0,0.0857142857142857,127
5,Aidan Leffler,5091564,1,4,1,0.3,0,0,2.6,3,0.25,0.25,0.0,0.0,2050
6,Aidan Warner,20620156,21,50,228,33.3,0,3,243.3,31,2.2981818181818183,33.28,0.0,0.1254545454545454,228
7,Alan Bowman,4362159,27,48,326,6.8,1,1,64.2,2,0.5625,6.791666666666667,0.0208333333333333,0.0208333333333333,197
8,Alex Orji,4685495,2,3,2,0.7,0,1,3.6,1,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,130
9,Alonza Barnett,4911929,22,34,388,11.4,5,0,95.5,4,0.6470588235294118,11.411764705882351,0.1470588235294117,0.0,256
10,Anthony Colandrea,55488257,198,320,2125,72.6,13,11,489.0,76,6.7414780801535095,72.45652092580808,0.4730345049101366,0.3981847295800782,2838
11,Antonio Williams,10162864,2,2,62,62.0,1,0,200.0,15,2.0,62.0,1.0,0.0,456
12,Arch Manning,29225436,61,90,938,60.2,9,2,380.5,32,3.939284390063033,60.09816462736374,0.6334816462736372,0.0689655172413793,1506
13,Ashton Daniels,53225469,170,271,1700,68.7,10,12,588.4,85,6.785454979556995,68.7088815161119,0.3426424741568314,0.4089169036961904,264
14,Athan Kaliakmanis,4432722,16,25,269,10.8,0,0,77.6,4,0.64,10.76,0.0,0.0,164
15,Austin Mack,5079508,2,3,39,13.0,1,0,99.6,12,0.6666666666666666,13.0,0.3333333333333333,0.0,333
16,Austin Simmons,41133472,20,33,316,112.3,2,0,508.5,43,5.770833333333333,112.27083333333333,0.3958333333333333,0.0,1160
17,Bauer Sharp,4890373,0,1,0,0.0,0,1,0.0,14,0.0,0.0,0.0,1.0,201
18,Ben Finley,4431091,14,27,110,4.1,1,1,38.6,4,0.5185185185185185,4.074074074074074,0.037037037037037,0.037037037037037,2006
19,Ben Wooldridge,4373895,20,29,257,8.9,3,0,87.5,5,0.6896551724137931,8.862068965517242,0.1034482758620689,0.0,309
20,Billy Edwards,4592532,28,43,263,6.1,2,0,58.3,3,0.6511627906976745,6.116279069767442,0.0465116279069767,0.0,120
21,Billy Wiles,4682927,0,1,0,0.0,0,1,0.0,2,0.0,0.0,0.0,1.0,2026
22,Bishop Davenport,4869553,4,8,50,6.3,0,0,18.6,5,0.5,6.25,0.0,0.0,6
23,Blake Horvath,5081504,7,12,92,7.7,0,0,90.6,1,0.5833333333333334,7.666666666666667,0.0,0.0,2426
24,Blake Shapen,18261260,74,108,974,36.9,8,1,203.3,10,2.72985347985348,36.76758241758242,0.3203296703296702,0.0256410256410256,1376
25,Brady Cook,57582655,221,350,2789,104.5,12,2,907.1,83,8.16218236487761,104.56651700608619,0.4363333409810487,0.0600358422939067,1846
26,Braedyn Locke,4702829,13,26,125,4.8,1,0,52.2,3,0.5,4.807692307692308,0.0384615384615384,0.0,275
27,Brandon Nunez,5220782,1,4,12,3.0,0,0,42.4,12,0.25,3.0,0.0,0.0,166
28,Brendan Sorsby,4899046,22,38,298,7.8,3,0,73.7,2,0.5789473684210527,7.842105263157895,0.0789473684210526,0.0,2132
29,Brendan Sullivan,4683058,14,18,131,7.3,1,1,43.4,1,0.7777777777777778,7.277777777777778,0.0555555555555555,0.0555555555555555,2294
30,Brenen Thompson,4685553,0,1,0,0.0,0,0,0.6,13,0.0,0.0,0.0,0.0,201
31,Brian Buschini,4570906,1,1,8,8.0,0,0,100.0,1,1.0,8.0,0.0,0.0,158
32,Brock Glenn,34441106,51,114,597,38.7,4,5,229.2,62,3.1356699212925143,38.69893414245148,0.1952451342695244,0.2407645129082869,364
33,Brock Vandagriff,48760602,125,218,1593,79.0,10,8,615.2,74,6.075711557677502,79.04224726597792,0.5877863210061349,0.545614413106673,1056
