player_id,player_name,team,conference,week,comp,att,yds,td,int,qbr,completion_pct
4875127,Lanorris Sellers,South Carolina,SEC,1,24,34,260,1,0,63.6,0.7058823529411765
4570033,Kai Kroeger,South Carolina,SEC,1,0,1,0,0,0,0.0,0.0
4567747,Garrett Nussmeier,LSU,SEC,1,24,34,304,3,1,88.2,0.7058823529411765
4432759,Sawyer Robertson,Baylor,Big 12,1,30,51,445,2,1,72.1,0.5882352941176471
5147726,Kanyon Floyd,Arizona State,Big 12,1,1,1,32,0,0,100.0,1.0
4696981,Cameron Skattebo,Arizona State,Big 12,1,1,1,42,1,0,100.0,1.0
5078810,Sam Leavitt,Arizona State,Big 12,1,24,46,222,0,1,70.7,0.5217391304347826
4889929,Quinn Ewers,Texas,SEC,1,20,30,322,3,1,91.9,0.6666666666666666
4570688,Caden Davis,Ole Miss,SEC,1,0,1,0,0,1,0.0,0.0
5141684,Austin Simmons,Ole Miss,SEC,1,1,1,34,0,0,100.0,1.0
4689114,Jaxson Dart,Ole Miss,SEC,1,27,35,404,4,0,95.2,0.7714285714285715
4708487,Jaquez Moore,Duke,ACC,1,0,1,0,0,0,7.7,0.0
4685252,Henry Belin IV,Duke,ACC,1,25,44,236,2,1,51.8,0.5681818181818182
4889929,Quinn Ewers,Texas,SEC,1,23,39,283,2,1,69.6,0.5897435897435898
4429955,Will Howard,Ohio State,Big Ten,1,24,33,289,1,1,90.0,0.7272727272727273
4428993,Haynes King,Georgia Tech,ACC,1,11,16,146,0,0,70.4,0.6875
4429020,D.J. Uiagalelei,Florida State,ACC,1,19,27,193,0,0,77.7,0.7037037037037037
4432767,Preston Stone,SMU,ACC,1,17,30,254,1,1,60.5,0.5666666666666667
5084084,Kevin Jennings,SMU,ACC,1,4,5,54,0,0,74.5,0.8
4426499,Hank Bachmeier,Wake Forest,ACC,1,18,28,263,3,0,64.0,0.6428571428571429
4567031,Michael Kern,Wake Forest,ACC,1,5,8,57,0,0,19.0,0.625
4427936,Grayson McCall,NC State,ACC,1,26,40,318,3,1,48.8,0.65
4573398,Max Brosmer,Minnesota,Big Ten,1,13,21,166,0,0,47.7,0.6190476190476191
-6685, Team,Minnesota,Big Ten,1,0,1,0,0,0,,0.0
4685740,Max Johnson,North Carolina,ACC,1,12,19,71,0,1,37.0,0.631578947368421
4801306,Conner Harrell,North Carolina,ACC,1,2,4,34,0,0,0.1,0.5
4685497,Maalik Murphy,Duke,ACC,1,26,40,291,2,1,34.2,0.65
4838679,Ashton Daniels,Stanford,ACC,1,17,35,163,1,1,12.5,0.4857142857142857
4684502,Justin Lamson,Stanford,ACC,1,1,1,2,1,0,100.0,1.0
4685401,Josh Hoover,TCU,Big 12,1,28,42,353,2,0,65.4,0.6666666666666666
4870636,Pierce Clarkson,Louisville,ACC,1,3,4,11,0,0,0.6,0.75
4429145,Harrison Bailey,Louisville,ACC,1,6,6,35,0,0,46.2,1.0
4360689,Tyler Shough,Louisville,ACC,1,18,24,232,4,0,83.3,0.75
5084180,Diego Pavia,Vanderbilt,SEC,1,12,16,190,2,0,82.6,0.75
4428439,Collin Schlee,Virginia Tech,ACC,1,0,1,0,0,0,0.0,0.0
4678010,Kyron Drones,Virginia Tech,ACC,1,22,33,322,2,1,58.1,0.6666666666666666
4870819,Eli Holstein,Pittsburgh,ACC,1,30,40,333,3,1,54.6,0.75
4683182,Nate Yarnell,Pittsburgh,ACC,1,4,8,33,1,0,50.2,0.5
4685693,Devin Kargman,Kent State,Mid-American,1,14,28,181,2,1,54.3,0.5
4430841,Carson Beck,Georgia,SEC,1,23,33,278,2,0,91.7,0.696969696969697
4685413,Cade Klubnik,Clemson,ACC,1,18,29,142,0,1,40.8,0.6206896551724138
4433971,Kyle McCord,Syracuse,ACC,1,27,39,354,4,1,82.1,0.6923076923076923
-7579, Team,Syracuse,ACC,1,0,1,0,0,0,,0.0
4610131,Parker Navarro,Ohio,Mid-American,1,18,30,181,0,1,17.2,0.6
4431353,Xavier Restrepo,Miami,ACC,1,0,1,0,0,0,1.1,0.0
4688380,Cameron Ward,Miami,ACC,1,26,35,385,3,1,95.7,0.7428571428571429
4426335,Graham Mertz,Florida,SEC,1,11,20,91,0,1,19.1,0.55
5079555,D.J. Lagway,Florida,SEC,1,3,6,31,0,1,57.4,0.5
4837248,Fernando Mendoza,California,ACC,1,15,22,158,1,0,59.3,0.6818181818181818
4570554,Chandler Rogers,California,ACC,1,3,6,21,0,0,3.0,0.5
5044387,Anthony Colandrea,Virginia,ACC,1,17,23,297,2,0,77.8,0.7391304347826086
4775264,Tony Muskett,Virginia,ACC,1,0,3,0,0,1,0.1,0.0
4432612,Christian Veilleux,Georgia State,Sun Belt,1,19,34,210,1,0,67.7,0.5588235294117647
