,player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate
41,4567747,Garrett Nussmeier,LSU,SEC,USC,29,38,304,8.0,2,1,88.1,1,0.7631578947368421,8.0,0.0526315789473684,0.0263157894736842
42,4432774,Ty Thompson,Tulane,American Athletic,Florida,11,29,125,4.3,1,3,10.6,1,0.3793103448275862,4.310344827586207,0.0344827586206896,0.1034482758620689
43,4431618,Mario Williams,Tulane,American Athletic,Florida,0,1,0,0.0,0,0,2.6,1,0.0,0.0,0.0,0.0
44,5079555,D.J. Lagway,Florida,SEC,Tulane,22,35,305,8.7,1,2,49.4,1,0.6285714285714286,8.714285714285714,0.0285714285714285,0.0571428571428571
45,4889929,Quinn Ewers,Texas,SEC,Clemson,17,24,202,8.4,1,1,87.5,1,0.7083333333333334,8.416666666666666,0.0416666666666666,0.0416666666666666
46,4685413,Cade Klubnik,Clemson,ACC,Texas,26,43,336,7.8,3,1,81.8,1,0.6046511627906976,7.813953488372093,0.0697674418604651,0.0232558139534883
47,4429955,Will Howard,Ohio State,Big Ten,Tennessee,24,29,311,10.7,2,1,98.7,1,0.8275862068965517,10.724137931034482,0.0689655172413793,0.0344827586206896
48,5079712,Julian Sayin,Ohio State,Big Ten,Tennessee,0,1,0,0.0,0,0,0.9,1,0.0,0.0,0.0,0.0
49,4695709,Devin Brown,Ohio State,Big Ten,Tennessee,1,1,6,6.0,0,0,90.4,1,1.0,6.0,0.0,0.0
50,4870799,Nico Iamaleava,Tennessee,SEC,Ohio State,14,31,104,3.4,0,0,62.8,1,0.4516129032258064,3.3548387096774195,0.0,0.0
51,5081504,Blake Horvath,Navy,American Athletic,Oklahoma,7,12,92,7.7,0,0,90.6,1,0.5833333333333334,7.666666666666667,0.0,0.0
52,5081508,Eli Heidenreich,Navy,American Athletic,Oklahoma,0,1,0,0.0,0,0,3.6,1,0.0,0.0,0.0,0.0
53,4427146,Luke Elzinga,Oklahoma,SEC,Navy,1,1,28,28.0,0,0,100.0,1,1.0,28.0,0.0,0.0
54,5079465,Michael Hawkins Jr.,Oklahoma,SEC,Navy,28,43,247,5.7,2,0,70.0,1,0.6511627906976745,5.744186046511628,0.0465116279069767,0.0
55,5084180,Diego Pavia,Vanderbilt,SEC,Georgia Tech,13,21,160,7.6,3,0,83.8,1,0.6190476190476191,7.619047619047619,0.1428571428571428,0.0
56,4428993,Haynes King,Georgia Tech,ACC,Vanderbilt,25,33,204,6.2,3,1,36.9,1,0.7575757575757576,6.181818181818182,0.0909090909090909,0.0303030303030303
57,4431325,Taylen Green,Arkansas,SEC,Texas Tech,11,21,341,16.2,2,0,95.9,1,0.5238095238095238,16.238095238095237,0.0952380952380952,0.0
58,5126468,Will Hammond,Texas Tech,Big 12,Arkansas,20,34,280,8.2,1,2,50.1,1,0.5882352941176471,8.235294117647058,0.0294117647058823,0.0588235294117647
59,4870971,Marcel Reed,Texas A&M,SEC,USC,26,42,292,7.0,3,2,75.5,1,0.6190476190476191,6.9523809523809526,0.0714285714285714,0.0476190476190476
60,4685454,Jayden Maiava,USC,Big Ten,Texas A&M,22,39,295,7.6,4,3,73.8,1,0.5641025641025641,7.564102564102564,0.1025641025641025,0.0769230769230769
61,4429435,Brady Cook,Missouri,SEC,Iowa,18,32,287,9.0,2,0,86.5,1,0.5625,8.96875,0.0625,0.0
62,5076106,Marquis Johnson,Missouri,SEC,Iowa,0,1,0,0.0,0,0,2.2,1,0.0,0.0,0.0,0.0
63,4683058,Brendan Sullivan,Iowa,Big Ten,Missouri,14,18,131,7.3,1,1,43.4,1,0.7777777777777778,7.277777777777778,0.0555555555555555,0.0555555555555555
64,4685495,Alex Orji,Michigan,Big Ten,Alabama,2,3,2,0.7,0,1,3.6,1,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
65,4878681,Davis Warren,Michigan,Big Ten,Alabama,9,12,73,6.1,1,0,88.8,1,0.75,6.083333333333333,0.0833333333333333,0.0
66,-5154, Team,Alabama,SEC,Michigan,0,1,0,0.0,0,0,,1,0.0,0.0,0.0,0.0
67,4432734,Jalen Milroe,Alabama,SEC,Michigan,16,32,192,6.0,1,1,26.5,1,0.5,6.0,0.03125,0.03125
68,4597679,Luke Altmyer,Illinois,Big Ten,South Carolina,13,22,174,7.9,1,1,87.7,1,0.5909090909090909,7.909090909090909,0.0454545454545454,0.0454545454545454
69,4875127,Lanorris Sellers,South Carolina,SEC,Illinois,24,34,260,7.6,1,0,63.6,1,0.7058823529411765,7.647058823529412,0.0294117647058823,0.0
70,4570033,Kai Kroeger,South Carolina,SEC,Illinois,0,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0
71,4567747,Garrett Nussmeier,LSU,SEC,Baylor,24,34,304,8.9,3,1,88.2,1,0.7058823529411765,8.941176470588236,0.088235294117647,0.0294117647058823
72,4432759,Sawyer Robertson,Baylor,Big 12,LSU,30,51,445,8.7,2,1,72.1,1,0.5882352941176471,8.72549019607843,0.0392156862745098,0.0196078431372549
73,5147726,Kanyon Floyd,Arizona State,Big 12,Texas,1,1,32,32.0,0,0,100.0,1,1.0,32.0,0.0,0.0
74,4696981,Cameron Skattebo,Arizona State,Big 12,Texas,1,1,42,42.0,1,0,100.0,1,1.0,42.0,1.0,0.0
75,5078810,Sam Leavitt,Arizona State,Big 12,Texas,24,46,222,4.8,0,1,70.7,1,0.5217391304347826,4.826086956521739,0.0,0.0217391304347826
