player_id,player_name,team,conference,total_att,avg_qbr,weighted_avg_qbr,qbr_difference
4428993,Haynes King,Georgia Tech,ACC,134,68.2,83.1955223880597,14.995522388059698
4567707,Grayson James,Boston College,ACC,93,84.5,80.34838709677419,-4.151612903225811
4689114,Jaxson Dart,Ole Miss,SEC,217,80.58571428571427,79.52811059907833,-1.057603686635943
4688380,Cameron Ward,Miami,ACC,274,77.6,77.54744525547446,-0.05255474452553699
4430841,Carson Beck,Georgia,SEC,346,77.62222222222223,77.46156069364162,-0.16066152858061855
4875127,Lanorris Sellers,South Carolina,SEC,233,76.4,75.35622317596567,-1.0437768240343388
4685413,Cade Klubnik,Clemson,ACC,328,78.4,75.32469512195122,-3.075304878048783
5084084,Kevin Jennings,SMU,ACC,201,73.60000000000001,75.0457711442786,1.445771144278595
4775264,Tony Muskett,Virginia,ACC,71,86.3,74.0338028169014,-12.266197183098598
4567747,Garrett Nussmeier,LSU,SEC,292,74.62857142857142,73.37020547945207,-1.2583659491193515
