player_name,player_id,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
Ralph Rucker,4875855,Bucknell,Patriot,Season,117,170,1568,9.223529411764705,11,4,,12,0.6882352941176471
Raymond Moore III,5232049,Morgan State,MEAC,Season,76,140,871,6.2214285714285715,8,7,,13,0.5428571428571428
Reagan Andrew,5087031,Butler,Pioneer,Season,135,200,1332,6.66,9,5,,12,0.675
Reggie Graff,5088960,Utah Tech,UAC,Season,59,105,511,4.866666666666666,3,3,,13,0.5619047619047619
Reilly Garcia,5301346,Houston Christian,Southland,Season,14,25,138,5.52,0,2,,11,0.56
Richard Torres,5156245,Incarnate Word,Southland,Season,80,122,802,6.573770491803279,3,5,,13,0.6557377049180327
Rickie Collins,4870645,Syracuse,ACC,Season,97,181,1042,5.7569060773480665,6,10,29.966298342541435,11,0.5359116022099447
Ridge Docekal,4869549,Bryant,CAA,Season,39,81,426,5.2592592592592595,1,5,,13,0.48148148148148145
Rob Brazziel,5309567,Lincoln (CA),Independent DII,Season,61,103,588,5.70873786407767,0,4,,8,0.5922330097087378
Robby Ashford,4697512,Wake Forest,ACC,Season,191,322,2472,7.6770186335403725,12,8,53.10683229813665,14,0.593167701863354
Robert Coleman,5154910,Lamar,Southland,Season,67,108,585,5.416666666666667,3,2,,12,0.6203703703703703
Rocco Becht,4801299,Iowa State,Big 12,Season,204,337,2565,7.611275964391691,16,9,57.48338278931751,14,0.6053412462908012
Rodney Tisdale Jr.,5196864,Western Kentucky,Conference USA,Season,139,212,1432,6.754716981132075,9,7,52.92830188679245,14,0.6556603773584906
Roman Gagliano,5194626,Middle Tennessee,Conference USA,Season,77,134,1006,7.507462686567164,7,0,52.776119402985074,14,0.5746268656716418
Ron Peace,5230098,East Texas A&M,Southland,Season,93,170,1374,8.08235294117647,6,5,,11,0.5470588235294118
Rowan Keefe,5089335,Valparaiso,Pioneer,Season,131,208,1519,7.302884615384615,12,14,,13,0.6298076923076923
Ryan Browne,5104738,Purdue,Big Ten,Season,199,338,2153,6.3698224852071,9,10,54.93136094674556,14,0.5887573964497042
Ryan Jackson,5226243,St. Thomas (MN),Pioneer,Season,17,24,122,5.083333333333333,1,0,,13,0.7083333333333334
Ryan Staub,4917093,Colorado,Big 12,Season,30,53,426,8.037735849056604,3,2,47.45849056603774,9,0.5660377358490566
Ryan Stubblefield,4607891,South Carolina State,MEAC,Season,98,173,1282,7.410404624277457,7,3,,7,0.5664739884393064
Ryder Burton,5057381,UAB,American Athletic,Season,59,91,673,7.395604395604396,7,3,43.472527472527474,11,0.6483516483516484
Sam Jackson,4874527,Oklahoma State,Big 12,Season,30,60,308,5.133333333333334,0,2,26.991666666666667,9,0.5
