player_name,player_id,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
Braden Atkinson,5212654,Mercer,Southern,Season,268,407,3611,8.872235872235873,34,11,,15,0.6584766584766585
Braden Davis,4685309,Hampton,CAA,Season,94,152,1036,6.815789473684211,4,8,,12,0.618421052631579
Braden Graham,5126467,Holy Cross,Patriot,Season,41,72,295,4.097222222222222,2,2,,10,0.5694444444444444
Brady Davidson,5210128,Northern Illinois,Mid-American,Season,35,78,327,4.1923076923076925,2,2,16.402564102564103,13,0.44871794871794873
Brady Jones,5296163,Western Michigan,Mid-American,Season,14,31,110,3.5483870967741935,0,1,10.541935483870969,3,0.45161290322580644
Brady Lichtenberg,4590294,Cincinnati,Big 12,Season,14,21,134,6.380952380952381,2,1,24.94285714285714,3,0.6666666666666666
Brady Olson,4683471,Central Connecticut,NEC,Season,271,458,3132,6.8384279475982535,25,7,,14,0.5917030567685589
Brady Stober,5212705,Samford,Southern,Season,122,195,1240,6.358974358974359,7,7,,12,0.6256410256410256
Brandon Nunez,5220782,Mississippi Valley State,SWAC,Season,62,124,722,5.82258064516129,3,7,,14,0.5
Brandon Rose,4804885,Massachusetts,Mid-American,Season,52,87,424,4.873563218390805,1,2,18.80574712643678,13,0.5977011494252874
Brandon Tennison,5151316,UTSA,American Athletic,Season,17,26,140,5.384615384615385,1,0,69.16153846153847,11,0.6538461538461539
Brayden Fowler-Nicolosi,4833597,Colorado State,Mountain West,Season,44,82,488,5.951219512195122,1,2,38.232926829268294,4,0.5365853658536586
Braylon Braxton,4600403,Southern Miss,Sun Belt,Season,254,400,3053,7.6325,24,8,47.89625,14,0.635
Brendan Sorsby,4899046,Cincinnati,Big 12,Season,206,335,2786,8.316417910447761,26,5,76.14,14,0.6149253731343284
Brendon Lewis,4429149,Memphis,American Athletic,Season,253,368,2673,7.263586956521739,16,7,62.75489130434784,14,0.6875
Brennan Myer,5226265,Bryant,CAA,Season,103,180,1193,6.627777777777778,7,7,,5,0.5722222222222222
Brinley Vandiver,5222937,Miles,SIAC,Season,42,67,423,6.313432835820896,2,0,,5,0.6268656716417911
Broc Lowry,5074245,Western Michigan,Mid-American,Season,166,262,1803,6.8816793893129775,9,3,50.6202290076336,15,0.6335877862595419
Brock Riddle,5227733,Indiana State,MVFC,Season,23,52,293,5.634615384615385,3,3,,9,0.4423076923076923
Bronson Barben,5224562,Utah Tech,UAC,Season,169,288,1682,5.840277777777778,6,12,,13,0.5868055555555556
Bronson Barron,4697131,Southern Utah,UAC,Season,173,263,2135,8.11787072243346,11,4,,13,0.6577946768060836
Bryce Patterson,5084352,Morehead State,Pioneer,Season,43,79,533,6.746835443037975,2,4,,7,0.5443037974683544
Bryce Schondelmyer,5154881,Dayton,Pioneer,Season,106,158,1398,8.848101265822784,16,0,,8,0.6708860759493671
Bryce Underwood,5141741,Michigan,Big Ten,Season,202,335,2428,7.2477611940298505,11,9,66.06686567164178,14,0.6029850746268657
Bryson Barnes,4695600,Utah State,Mountain West,Season,211,356,2802,7.870786516853933,18,5,53.71235955056179,14,0.5926966292134831
Byrd Ficklin,5294263,Utah,Big 12,Season,10,22,140,6.363636363636363,2,0,74.3,9,0.45454545454545453
Byron McNair,5298787,Tennessee State,Big South-OVC,Season,151,240,1546,6.441666666666666,9,5,,13,0.6291666666666667
Byrum Brown,4880272,South Florida,American Athletic,Season,226,341,3158,9.260997067448681,28,7,69.69677419354838,14,0.6627565982404692
C.J. Carr,5079369,Notre Dame,FBS Independents,Season,195,293,2741,9.35494880546075,24,6,75.03515358361776,14,0.6655290102389079
CJ Bailey,5079301,NC State,ACC,Season,273,397,3105,7.821158690176323,25,9,69.71586901763224,14,0.6876574307304786
Cade Klubnik,4685413,Clemson,ACC,Season,257,392,2943,7.50765306122449,16,6,54.82551020408164,14,0.6556122448979592
Cade McNamara,4427455,East Tennessee State,Southern,Season,123,184,1292,7.021739130434782,7,6,,9,0.6684782608695652
Caden Creel,5122157,Jacksonville State,Conference USA,Season,127,208,1482,7.125,9,4,49.75,15,0.6105769230769231
Caden Pinnick,5226019,UC Davis,Big Sky,Season,211,304,2804,9.223684210526315,29,9,,15,0.694078947368421
Caden Veltkamp,4869991,Florida Atlantic,American Athletic,Season,345,514,3652,7.1050583657587545,24,17,53.880739299610894,14,0.6712062256809338
Cal Swanson,5075592,Holy Cross,Patriot,Season,86,163,1021,6.263803680981595,5,5,,6,0.5276073619631901
Cale Hellums,5150297,Army,American Athletic,Season,36,58,480,8.275862068965518,4,1,55.186206896551724,14,0.6206896551724138
Caleb Koger,5152064,Central Arkansas,UAC,Season,24,38,326,8.578947368421053,4,3,,13,0.631578947368421
Caleb Sanchez,5224816,Columbia,Ivy,Season,37,72,416,5.777777777777778,2,1,,9,0.5138888888888888
Cam Fancher,4700135,UCF,Big 12,Season,41,72,333,4.625,0,0,55.03333333333333,7,0.5694444444444444
Cam Ransom,4565189,Bethune-Cookman,SWAC,Season,132,207,1730,8.357487922705314,13,5,,12,0.6376811594202898
Cam'Ron McCoy,4917305,Southern,SWAC,Season,48,100,657,6.57,5,2,,14,0.48
Camden Orth,4577962,Chattanooga,Southern,Season,123,218,1654,7.587155963302752,13,9,,10,0.5642201834862385
Cameran Brown,5193926,Georgia State,Sun Belt,Season,116,180,1245,6.916666666666667,13,1,62.10611111111111,13,0.6444444444444445
Cameron Peters,5227681,Prairie View A&M,SWAC,Season,181,285,2735,9.596491228070175,21,7,,15,0.6350877192982456
Cardell Williams,4872721,Sacramento State,Big Sky,Season,110,175,1621,9.262857142857143,10,7,,13,0.6285714285714286
Carlos Del Rio-Wilson,4432691,Marshall,Sun Belt,Season,169,253,2033,8.035573122529645,17,5,57.717786561264816,14,0.6679841897233202
Caron Tyler,5157537,Valparaiso,Pioneer,Season,40,62,400,6.451612903225806,2,2,,8,0.6451612903225806
Carson Beck,4430841,Miami,ACC,Season,338,468,3813,8.147435897435898,30,12,79.19935897435899,14,0.7222222222222222
Carson Camp,4695784,SE Louisiana,Southland,Season,142,226,1794,7.938053097345133,14,7,,14,0.6283185840707964
Carson Conklin,4920192,Fresno State,Mountain West,Season,47,96,354,3.6875,1,2,20.303124999999998,12,0.4895833333333333
Carter Cravens,4876865,Morehead State,Pioneer,Season,149,235,1863,7.927659574468085,11,6,,13,0.6340425531914894
Carter Jones,5205097,Nevada,Mountain West,Season,111,172,1001,5.819767441860465,6,8,41.06220930232558,14,0.6453488372093024
Carter Peevy,4692052,Maine,CAA,Season,200,338,2234,6.609467455621302,17,7,,13,0.591715976331361
Carter Smith,5141687,Wisconsin,Big Ten,Season,26,46,201,4.369565217391305,2,1,42.05652173913043,14,0.5652173913043478
Casey Bullock,5224535,Davidson,Pioneer,Season,21,35,198,5.6571428571428575,0,1,,4,0.6
Casey Case,4566381,Stony Brook,CAA,Season,11,22,101,4.590909090909091,0,0,,8,0.5
Cason Carswell,5299364,Western Illinois,Big South-OVC,Season,187,307,2054,6.690553745928339,16,3,,13,0.6091205211726385
Chandler Morris,4692530,Virginia,ACC,Season,282,436,3000,6.8807339449541285,16,9,63.32339449541284,15,0.6467889908256881
Chandler Wilson,5168665,VMI,Southern,Season,24,51,199,3.9019607843137254,1,1,,12,0.47058823529411764
Charlie Gilliam,5077059,Samford,Southern,Season,24,40,251,6.275,1,5,,10,0.6
Chase Altis,5308950,Greensboro,USA South,Season,21,36,208,5.777777777777778,0,2,,4,0.5833333333333334
Chase Goodwin,5154125,Columbia,Ivy,Season,109,205,1262,6.15609756097561,9,9,,13,0.5317073170731708
Chase Jenkins,4986096,Rice,American Athletic,Season,118,169,992,5.8698224852071,9,2,41.932544378698225,14,0.6982248520710059
Chase Mason,5085784,South Dakota State,MVFC,Season,146,224,2021,9.022321428571429,15,4,,15,0.6517857142857143
Chase Spellman,5225940,Drake,Pioneer,Season,38,56,489,8.732142857142858,2,2,,7,0.6785714285714286
Chris Dietrich,5147067,Bucknell,Patriot,Season,79,122,875,7.172131147540983,9,4,,11,0.6475409836065574
Chris Howell,5159288,Long Island University,NEC,Season,26,61,278,4.557377049180328,1,4,,6,0.4262295081967213
Chris Irvin,4880758,Western Illinois,Big South-OVC,Season,59,121,659,5.446280991735537,5,3,,5,0.48760330578512395
Chris Parson,4870889,Austin Peay,UAC,Season,182,288,2673,9.28125,21,5,,13,0.6319444444444444
Chris Stephenson,5161159,Stetson,Pioneer,Season,51,96,446,4.645833333333333,2,4,,13,0.53125
Christian Burks,5166450,Savannah State,SIAC,Season,11,21,116,5.523809523809524,0,1,,6,0.5238095238095238
Christian Peters,5303362,Arkansas-Pine Bluff,SWAC,Season,162,289,1924,6.657439446366782,12,9,,11,0.5605536332179931
Christian Veilleux,4432612,Georgia State,Sun Belt,Season,41,86,513,5.965116279069767,3,3,39.70348837209302,14,0.47674418604651164
Christopher Perkins,5306893,Elizabeth City State,CIAA,Season,19,30,188,6.266666666666667,1,0,,2,0.6333333333333333
Christopher Vizzina,4899369,Clemson,ACC,Season,44,68,408,6.0,4,0,41.09117647058823,13,0.6470588235294118
Christopher Zellous,4884392,Stony Brook,CAA,Season,111,178,1246,7.0,7,5,,8,0.6235955056179775
Chubba Purdy,4430836,Nevada,Mountain West,Season,43,80,574,7.175,3,6,31.31875,11,0.5375
Cobey Thompkins,5230073,The Citadel,Southern,Season,27,44,460,10.454545454545455,4,1,,11,0.6136363636363636
Cole Gonzales,5089540,Pittsburgh,ACC,Season,11,21,118,5.619047619047619,1,1,18.985714285714288,5,0.5238095238095238
Cole Lacrue,5113896,Eastern Illinois,Big South-OVC,Season,79,144,819,5.6875,4,6,,12,0.5486111111111112
Cole Michael Francis,5310002,Texas Wesleyan,,Season,15,31,217,7.0,0,2,,4,0.4838709677419355
Cole Payton,4879250,North Dakota State,MVFC,Season,162,225,2719,12.084444444444445,16,4,,15,0.72
Cole Pennington,4869817,Gardner-Webb,Big South-OVC,Season,123,200,1562,7.81,7,4,,13,0.615
Colin Parachek,5084348,UAlbany,CAA,Season,32,71,308,4.338028169014085,1,2,,6,0.4507042253521127
Collin Hurst,5157481,Presbyterian,Pioneer,Season,198,289,2704,9.356401384083044,26,11,,13,0.6851211072664359
Collin Shannon,5083941,VMI,Southern,Season,147,268,1982,7.395522388059701,13,5,,10,0.5485074626865671
Colt Michael,5304346,McKendree,Great Lakes,Season,7,24,63,2.625,0,2,,1,0.2916666666666667
Colton FitzGerald,4880196,West Georgia,UAC,Season,22,48,304,6.333333333333333,1,1,,7,0.4583333333333333
Colton Joseph,5125715,Old Dominion,Sun Belt,Season,173,288,2619,9.09375,21,10,65.80937499999999,14,0.6006944444444444
Conner Harrell,4801306,Charlotte,American Athletic,Season,64,96,737,7.677083333333333,4,2,39.567708333333336,4,0.6666666666666666
Conner Kenyon,5105336,Rhode Island,CAA,Season,21,32,258,8.0625,2,0,,13,0.65625
Conner Weigman,4685574,Houston,Big 12,Season,232,356,2705,7.598314606741573,25,9,64.49522471910113,14,0.651685393258427
Connor Wolf,5225271,Eastern Illinois,Big South-OVC,Season,85,144,1059,7.354166666666667,8,4,,13,0.5902777777777778
Cooper Panteck,5298328,Robert Morris,NEC,Season,46,95,601,6.326315789473684,2,4,,13,0.4842105263157895
Cornelious Brown,4568411,Alabama A&M,SWAC,Season,81,125,1060,8.48,7,1,,6,0.648
Coulter Cleland,5085644,Davidson,Pioneer,Season,178,319,2117,6.636363636363637,20,11,,13,0.5579937304075235
Cutter Boley,5141378,Kentucky,SEC,Season,197,298,2122,7.120805369127517,15,12,60.312416107382546,14,0.6610738255033557
Czavian Teasett,5156292,Grambling,SWAC,Season,111,191,1206,6.31413612565445,10,5,,9,0.581151832460733
D'Wayne' Winfield,4871091,Louisiana,Sun Belt,Season,126,214,1550,7.242990654205608,11,7,50.31869158878505,14,0.5887850467289719
D.C. Tabscott,4682642,North Alabama,UAC,Season,16,39,218,5.589743589743589,2,4,,12,0.41025641025641024
D.J. Lagway,5079555,Florida,SEC,Season,213,337,2264,6.718100890207715,16,14,56.64421364985163,14,0.6320474777448071
DJ Ralph,5086597,Chadron State,Rocky Mountain,Season,20,33,228,6.909090909090909,0,1,,1,0.6060606060606061
DJ Smith,5300315,Mercer,Southern,Season,22,36,154,4.277777777777778,1,1,,1,0.6111111111111112
DJ Williams,4697094,Southern Illinois,MVFC,Season,221,352,2846,8.085227272727273,22,5,,13,0.6278409090909091
Damien Mazil,5100516,Wagner,NEC,Season,17,35,90,2.5714285714285716,0,0,,13,0.4857142857142857
Daniel Beale,5146661,Louisiana,Sun Belt,Season,42,84,385,4.583333333333333,1,4,18.910714285714285,5,0.5
Daniel Greek,4587721,Tarleton State,UAC,Season,46,66,749,11.348484848484848,6,1,,12,0.696969696969697
Daniel Kaelin,5126471,Virginia,ACC,Season,29,51,335,6.568627450980392,0,1,28.488235294117647,11,0.5686274509803921
Danny Lauter,5086156,Georgetown,Patriot,Season,52,85,618,7.270588235294118,5,1,,3,0.611764705882353
Danny O'Neil,5126474,Wisconsin,Big Ten,Season,60,85,640,7.529411764705882,5,5,37.815294117647056,4,0.7058823529411765
Dante Moore,4870921,Oregon,Big Ten,Season,296,412,3565,8.652912621359222,30,10,75.00728155339807,14,0.7184466019417476
Dante Reno,5079683,Yale,Ivy,Season,206,318,2498,7.855345911949685,21,10,,15,0.6477987421383647
Darian Mensah,5121169,Duke,ACC,Season,334,500,3973,7.946,34,6,73.43539999999999,15,0.668
Darius Curry,5122401,Colorado State,Mountain West,Season,70,107,740,6.91588785046729,5,7,33.986915887850465,13,0.6542056074766355
Darryl Overstreet Jr.,5222060,Upper Iowa,Great Lakes,Season,15,26,174,6.6923076923076925,1,1,,1,0.5769230769230769
Davin Wydner,4836476,West Georgia,UAC,Season,148,263,1672,6.357414448669202,15,8,,12,0.5627376425855514
Davis Harsin,5224050,Idaho State,Big Sky,Season,36,62,482,7.774193548387097,7,2,,7,0.5806451612903226
Dean DeNobile,5083847,Lafayette,Patriot,Season,223,347,2528,7.285302593659942,19,7,,13,0.6426512968299711
Demond Williams Jr.,5079653,Washington,Big Ten,Season,246,354,3065,8.658192090395481,25,8,71.26610169491526,14,0.6949152542372882
Denim Johnson,5233054,Kentucky State,SIAC,Season,15,24,146,6.083333333333333,1,0,,3,0.625
Dequan Finn,4427191,Miami (OH),Mid-American,Season,106,181,1451,8.01657458563536,9,6,58.529281767955794,11,0.585635359116022
Derek Robertson,4696065,Monmouth,CAA,Season,189,265,2439,9.20377358490566,27,5,,8,0.7132075471698113
Deshawn Purdie,5138131,Wake Forest,ACC,Season,36,70,540,7.714285714285714,5,2,44.52,11,0.5142857142857142
Destin Wade,4685698,North Alabama,UAC,Season,92,181,1188,6.56353591160221,10,4,,11,0.5082872928176796
Deuce Bailey,5296439,Missouri State,Conference USA,Season,23,47,335,7.127659574468085,2,0,24.39148936170213,7,0.48936170212765956
Deuce Hogan,4429191,Nicholls,Southland,Season,119,196,1038,5.295918367346939,4,5,,8,0.6071428571428571
Deuce Knight,5141506,Auburn,SEC,Season,17,25,259,10.36,2,0,82.76,13,0.68
Devin Farrell,4715345,Rhode Island,CAA,Season,267,410,3746,9.136585365853659,24,8,,15,0.651219512195122
Devin Lippold,5226368,McNeese,Southland,Season,11,23,69,3.0,1,1,,13,0.4782608695652174
Devin Page,5155373,Cornell,Ivy,Season,32,63,357,5.666666666666667,3,5,,5,0.5079365079365079
Devon Dampier,5105849,Utah,Big 12,Season,212,334,2490,7.455089820359281,24,5,76.28922155688623,14,0.6347305389221557
Dewayne Coleman,5082125,Army,American Athletic,Season,18,32,266,8.3125,2,2,41.803125,5,0.5625
Dexter Williams II,4565355,Kennesaw State,Conference USA,Season,64,121,709,5.859504132231405,5,3,47.376033057851245,12,0.5289256198347108
Dez Thomas II,5172415,Georgetown,Patriot,Season,127,219,1399,6.3881278538812785,8,9,,13,0.5799086757990868
Diego Pavia,5084180,Vanderbilt,SEC,Season,267,378,3539,9.362433862433862,29,8,84.60343915343915,14,0.7063492063492064
Dijon Jennings,4913758,Weber State,Big Sky,Season,97,146,794,5.438356164383562,3,5,,12,0.6643835616438356
Dom Nankil,5165884,San Diego,Pioneer,Season,156,246,1941,7.890243902439025,13,3,,13,0.6341463414634146
Dominic Campanile,5299278,Holy Cross,Patriot,Season,53,88,514,5.840909090909091,1,1,,13,0.6022727272727273
Donnie Smith,5305539,Northeastern State,Independent DII,Season,18,35,222,6.3428571428571425,2,2,,3,0.5142857142857142
Drake Lindsey,5144959,Minnesota,Big Ten,Season,246,389,2382,6.123393316195373,18,6,58.66786632390745,14,0.6323907455012854
Drew Allar,4714771,Penn State,Big Ten,Season,103,159,1100,6.918238993710692,8,3,52.66415094339623,7,0.6477987421383647
Drew Forkner,5231607,Saint Anselm,Northeast 10,Season,7,23,55,2.391304347826087,1,0,,2,0.30434782608695654
Drew Mestemaker,5219834,North Texas,American Athletic,Season,319,465,4369,9.395698924731184,34,9,67.75462365591399,15,0.6860215053763441
Drew Pyne,4429088,Bowling Green,Mid-American,Season,94,151,882,5.841059602649007,4,5,33.74834437086093,10,0.6225165562913907
Drew VanVleet,5156751,Dayton,Pioneer,Season,43,73,524,7.178082191780822,5,3,,12,0.589041095890411
Dru Deshields,5119841,Kent State,Mid-American,Season,136,240,2030,8.458333333333334,18,3,42.05708333333333,14,0.5666666666666667
Dylan Hair,5305767,Truman State,Great Lakes,Season,14,31,221,7.129032258064516,3,0,,2,0.45161290322580644
Dylan Lonergan,4870900,Boston College,ACC,Season,188,282,2017,7.152482269503546,12,5,56.3741134751773,12,0.6666666666666666
Dylan Raiola,5079572,Nebraska,Big Ten,Season,181,250,2000,8.0,18,6,66.50679999999998,10,0.724
E.J. Warner,4916436,Fresno State,Mountain West,Season,192,277,2030,7.328519855595668,13,11,54.73574007220217,14,0.6931407942238267
EJ Colson,5141395,Incarnate Word,Southland,Season,209,295,2129,7.216949152542373,16,4,,12,0.7084745762711865
Ean Rodrigue,5164893,Nicholls,Southland,Season,83,125,909,7.272,6,1,,13,0.664
Earl Woods,5104573,Hampton,CAA,Season,30,43,250,5.813953488372093,1,1,,13,0.6976744186046512
Eddie Lee Marburger,4683012,UT Rio Grande Valley,Southland,Season,198,304,2731,8.983552631578947,31,7,,13,0.6513157894736842
Eian Roudebush,5223337,Hanover,Heartland,Season,17,26,109,4.1923076923076925,1,0,,3,0.6538461538461539
Eli Anderson,5302454,Northwestern State,Southland,Season,25,46,274,5.956521739130435,2,1,,13,0.5434782608695652
Eli Holstein,4870819,Pittsburgh,ACC,Season,75,120,1073,8.941666666666666,12,5,55.63583333333334,12,0.625
Elijah Brown,5079318,Stanford,ACC,Season,74,127,829,6.52755905511811,4,2,44.99055118110237,14,0.5826771653543307
Elijah Owens,5155321,Indiana State,MVFC,Season,28,37,317,8.567567567567568,3,1,,2,0.7567567567567568
Eric Gibson Jr.,5300801,Northern Colorado,Big Sky,Season,230,352,2493,7.082386363636363,11,11,,13,0.6534090909090909
Eric Handley,5225612,Alabama A&M,SWAC,Season,129,221,1328,6.009049773755656,8,6,,13,0.583710407239819
Eric Rodriguez,5093929,East Texas A&M,Southland,Season,122,204,1399,6.857843137254902,11,8,,13,0.5980392156862745
Ethan Cash,5304840,BLUEFIELD,,Season,13,26,75,2.8846153846153846,0,2,,4,0.5
Ethan Coady,5299564,Pace,Northeast 10,Season,15,26,232,8.923076923076923,1,1,,6,0.5769230769230769
Ethan Drumm,5203716,Wofford,Southern,Season,18,41,279,6.804878048780488,3,0,,3,0.43902439024390244
Ethan Greenwood,5095771,Long Island University,NEC,Season,51,89,645,7.247191011235955,3,3,,13,0.5730337078651685
Ethan Grunkemeyer,5144078,Penn State,Big Ten,Season,122,176,1320,7.5,7,4,74.25568181818181,14,0.6931818181818182
Ethan Vasko,4832918,Liberty,Conference USA,Season,151,266,1961,7.37218045112782,10,12,44.59360902255639,13,0.5676691729323309
Evan Bullock,5076949,Louisiana Tech,Conference USA,Season,26,46,243,5.282608695652174,0,2,17.68695652173913,12,0.5652173913043478
Evan Simon,4431387,Temple,American Athletic,Season,190,314,2098,6.681528662420382,25,2,58.65318471337579,14,0.6050955414012739
Fernando Mendoza,4837248,Indiana,Big Ten,Season,273,379,3535,9.327176781002638,41,6,85.36226912928758,15,0.7203166226912929
Frankie Weaver,5226663,Monmouth,CAA,Season,101,154,1331,8.642857142857142,14,3,,13,0.6558441558441559
Gabarri Johnson,4870864,Oregon State,Pac-12,Season,58,92,487,5.293478260869565,2,3,20.155434782608694,12,0.6304347826086957
Gabe Downing,5152778,Portland State,Big Sky,Season,15,26,140,5.384615384615385,0,2,,13,0.5769230769230769
Gabe Passini,5224468,Butler,Pioneer,Season,19,33,223,6.757575757575758,2,2,,13,0.5757575757575758
Garrett Bass-Sulpizio,5154161,Cornell,Ivy,Season,186,287,1860,6.480836236933798,6,5,,13,0.6480836236933798
Garrett Nussmeier,4567747,LSU,SEC,Season,194,288,1927,6.690972222222222,12,5,59.98506944444445,11,0.6736111111111112
Garrison Davis,5303364,Arkansas-Pine Bluff,SWAC,Season,13,20,86,4.3,0,0,,13,0.65
Gaston Moore,4697122,South Florida,American Athletic,Season,28,39,270,6.923076923076923,1,2,50.00512820512821,4,0.717948717948718
Gavin Rupp,4880458,Stetson,Pioneer,Season,17,26,217,8.346153846153847,1,3,,11,0.6538461538461539
Gavin Rutherford,5169036,Stephen F. Austin,Southland,Season,41,71,399,5.619718309859155,4,2,,12,0.5774647887323944
Gavin Wimsatt,4893657,Jacksonville State,Conference USA,Season,58,104,576,5.538461538461538,2,2,45.190384615384616,5,0.5576923076923077
Gevani McCoy,4887446,Temple,American Athletic,Season,19,26,207,7.961538461538462,2,0,40.349999999999994,14,0.7307692307692307
Giovanni Lopez,4920227,North Carolina,ACC,Season,170,261,1747,6.693486590038314,10,5,53.953639846743286,14,0.6513409961685823
Grant Harper,4698250,UC Davis,Big Sky,Season,18,39,255,6.538461538461538,3,2,,9,0.46153846153846156
Grant Jordan,4883110,Massachusetts,Mid-American,Season,61,108,589,5.453703703703703,3,2,29.112962962962964,14,0.5648148148148148
Grayson James,4567707,Boston College,ACC,Season,87,149,1196,8.026845637583893,7,5,59.84630872483222,14,0.5838926174496645
Grayson Loftis,4915837,Charlotte,American Athletic,Season,128,231,1415,6.125541125541125,8,8,23.846320346320347,14,0.5541125541125541
Grayson Saunier,5155398,Dartmouth,Ivy,Season,183,279,2142,7.67741935483871,9,7,,13,0.6559139784946236
Griffin Scalf,5304707,Thomas More,Great Midwest Athletic,Season,31,55,224,4.072727272727272,0,3,,2,0.5636363636363636
Gunnar Gray,5151366,Buffalo,Mid-American,Season,28,51,228,4.470588235294118,2,1,15.86470588235294,12,0.5490196078431373
Gunnar Smith,4812381,Fordham,Patriot,Season,243,429,2680,6.247086247086247,14,13,,13,0.5664335664335665
Gunner Chenier,5226398,Stetson,Pioneer,Season,22,39,155,3.9743589743589745,1,2,,9,0.5641025641025641
Gunner Stockton,4685578,Georgia,SEC,Season,269,386,2894,7.4974093264248705,24,5,79.52538860103628,15,0.6968911917098446
Hamas Duren,5307883,Lincoln (PA),CIAA,Season,19,34,191,5.617647058823529,2,0,,2,0.5588235294117647
Hank Brown,5089314,Iowa,Big Ten,Season,10,20,103,5.15,1,1,44.375,5,0.5
Hayden Benoit,5306457,Grambling,SWAC,Season,53,98,674,6.877551020408164,6,3,,14,0.5408163265306123
Hayden Johnson,5225902,Lehigh,Patriot,Season,175,281,2511,8.935943060498222,18,6,,15,0.6227758007117438
Haynes King,4428993,Georgia Tech,ACC,Season,252,361,2951,8.174515235457063,14,6,74.28033240997232,14,0.6980609418282548
Henry Hesson,4701307,Miami (OH),Mid-American,Season,39,96,596,6.208333333333333,4,3,22.757291666666664,15,0.40625
Hunter Najm,5221382,Bowling Green,Mid-American,Season,31,62,443,7.145161290322581,5,4,39.167741935483875,14,0.5
Hunter Simmons,4878912,Wisconsin,Big Ten,Season,58,111,631,5.684684684684685,2,7,30.426126126126128,14,0.5225225225225225
Hunter Watson,5220424,Sam Houston,Conference USA,Season,104,182,1108,6.087912087912088,5,4,34.40714285714286,10,0.5714285714285714
Isaac Lee,5231037,Western Carolina,Southern,Season,30,50,263,5.26,2,2,,3,0.6
Isaiah Freeman,5098448,Hampton,CAA,Season,35,67,343,5.119402985074627,3,2,,4,0.5223880597014925
Isaiah Knowles,4880668,Albany State,SIAC,Season,17,31,201,6.483870967741935,1,0,,3,0.5483870967741935
Israel Carter,4923050,Norfolk State,MEAC,Season,15,25,109,4.36,0,1,,5,0.6
J.J. Kohl,4870883,App State,Sun Belt,Season,131,212,1429,6.740566037735849,12,2,51.49528301886792,14,0.6179245283018868
JC French,4685345,Georgia Southern,Sun Belt,Season,249,390,2924,7.4974358974358974,20,8,53.403076923076924,14,0.6384615384615384
JD Davis II,5220153,Alabama A&M,SWAC,Season,17,31,211,6.806451612903226,2,3,,10,0.5483870967741935
JT Fayard,5156255,Wofford,Southern,Season,139,207,1471,7.106280193236715,13,3,,13,0.6714975845410628
JaCobian Morgan,4612078,Jackson State,SWAC,Season,92,153,1179,7.705882352941177,10,2,,15,0.6013071895424836
Jabari Ruise,5306370,Virginia Lynchburg,,Season,17,36,216,6.0,1,2,,11,0.4722222222222222
Jack Henry,5227810,South Dakota State,MVFC,Season,57,104,595,5.721153846153846,4,6,,13,0.5480769230769231
Jack Johnson,5225715,Georgetown,Patriot,Season,17,38,167,4.394736842105263,1,1,,13,0.4473684210526316
Jack Layne,5083171,New Mexico,Mountain West,Season,213,327,2486,7.602446483180428,13,10,51.731192660550455,14,0.6513761467889908
Jack O'Connell,5106897,Stonehill,NEC,Season,192,316,1838,5.8164556962025316,14,6,,13,0.6075949367088608
Jack Shields,4881352,UAlbany,CAA,Season,158,304,1853,6.095394736842105,13,9,,13,0.5197368421052632
Jack Snyder,5225700,Sacred Heart,FCS Independents,Season,161,228,1797,7.881578947368421,10,3,,13,0.706140350877193
