player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
4697512,Robby Ashford,Wake Forest,ACC,Kennesaw State,20,28,218,7.8,0,0,29.2,1,0.7142857142857143
4870857,Avery Johnson,Kansas State,Big 12,North Dakota,28,43,318,7.4,3,0,58.1,1,0.6511627906976745
5155528,Jerry Kaminski,North Dakota,MVFC,Kansas State,23,38,231,6.1,1,0,,1,0.6052631578947368
4899046,Brendan Sorsby,Cincinnati,Big 12,Nebraska,13,25,69,2.8,0,1,60.7,1,0.52
5079572,Dylan Raiola,Nebraska,Big Ten,Cincinnati,33,42,243,5.8,2,0,77.8,1,0.7857142857142857
5105849,Devon Dampier,Utah,Big 12,Nebraska,19,31,310,10.0,2,0,96.2,1,0.6129032258064516
5141556,TJ Lateef,Nebraska,Big Ten,Utah,15,28,182,6.5,1,1,54.5,1,0.5357142857142857
4592532,Billy Edwards,Wisconsin,Big Ten,Miami (OH),6,13,68,5.2,0,0,32.7,1,0.46153846153846156
5126474,Danny O'Neil,Wisconsin,Big Ten,Miami (OH),12,19,120,6.3,1,1,45.0,1,0.631578947368421
4427191,Dequan Finn,Miami (OH),Mid-American,Wisconsin,9,18,83,4.6,0,2,12.1,1,0.5
4916436,E.J. Warner,Fresno State,Mountain West,Miami (OH),15,22,219,10.0,1,0,87.3,1,0.6818181818181818
5142146,Thomas Gotkowski,Miami (OH),Mid-American,Fresno State,6,22,72,3.3,0,1,11.6,1,0.2727272727272727
4430841,Carson Beck,Miami,ACC,Ohio State,19,26,138,5.3,1,0,95.2,1,0.7307692307692307
5079712,Julian Sayin,Ohio State,Big Ten,Miami,22,35,287,8.2,1,2,70.4,1,0.6285714285714286
4685345,JC French,Georgia Southern,Sun Belt,Fresno State,17,28,158,5.6,2,1,46.7,1,0.6071428571428571
4916436,E.J. Warner,Fresno State,Mountain West,Georgia Southern,20,27,176,6.5,0,2,58.1,1,0.7407407407407407
4596472,Jalon Daniels,Kansas,Big 12,Fresno State,18,20,176,8.8,3,0,87.6,1,0.9
4916436,E.J. Warner,Fresno State,Mountain West,Kansas,18,29,179,6.2,0,2,66.1,1,0.6206896551724138
5097730,Ty Michael,McKendree,Great Lakes,Indiana State,7,14,115,8.2,2,0,,1,0.5
5304346,Colt Michael,McKendree,Great Lakes,Indiana State,7,24,63,2.6,0,2,,1,0.2916666666666667
5155321,Elijah Owens,Indiana State,MVFC,McKendree,19,27,250,9.3,2,1,,1,0.7037037037037037
5165911,John Michalski,Sacred Heart,FCS Independents,Stonehill,11,21,119,5.7,0,1,,1,0.5238095238095238
5106897,Jack O'Connell,Stonehill,NEC,Sacred Heart,30,39,212,5.4,1,1,,1,0.7692307692307693
5297282,Andrew Martinez,Sul Ross State,Lone Star,UT Rio Grande Valley,9,12,41,3.4,0,0,,1,0.75
5300880,Aidan Jakobsohn,UT Rio Grande Valley,Southland,Sul Ross State,7,7,73,10.4,0,0,,1,1.0
4683012,Eddie Lee Marburger,UT Rio Grande Valley,Southland,Sul Ross State,18,19,365,19.2,5,0,,1,0.9473684210526315
5088960,Reggie Graff,Utah Tech,UAC,UC Davis,4,5,50,10.0,2,0,,1,0.8
5224562,Bronson Barben,Utah Tech,UAC,UC Davis,24,39,222,5.7,0,2,,1,0.6153846153846154
5226019,Caden Pinnick,UC Davis,Big Sky,Utah Tech,21,31,253,8.2,3,1,,1,0.6774193548387096
4692530,Chandler Morris,Virginia,ACC,Coastal Carolina,19,27,264,9.8,2,0,67.3,1,0.7037037037037037
5126471,Daniel Kaelin,Virginia,ACC,Coastal Carolina,3,9,26,2.9,0,0,5.1,1,0.3333333333333333
4685488,MJ Morris,Coastal Carolina,Sun Belt,Virginia,20,36,163,4.5,0,1,13.2,1,0.5555555555555556
5156245,Richard Torres,Incarnate Word,Southland,Eastern Washington,27,38,332,8.7,1,0,,1,0.7105263157894737
5152118,Jared Taylor,Eastern Washington,Big Sky,Incarnate Word,21,38,183,4.8,0,0,,1,0.5526315789473685
4709012,Jase Bauer,UT Martin,Big South-OVC,Oklahoma State,9,16,70,4.4,0,1,,1,0.5625
5079443,Hauss Hejny,Oklahoma State,Big 12,UT Martin,5,10,96,9.6,1,0,83.3,1,0.5
4923267,Zane Flores,Oklahoma State,Big 12,UT Martin,13,20,136,6.8,0,0,67.0,1,0.65
4430836,Chubba Purdy,Nevada,Mountain West,Penn State,7,15,97,6.5,0,1,38.3,1,0.4666666666666667
4819250,AJ Bianco,Nevada,Mountain West,Penn State,4,6,28,4.7,1,0,98.3,1,0.6666666666666666
4714771,Drew Allar,Penn State,Big Ten,Nevada,22,26,217,8.3,1,0,39.3,1,0.8461538461538461
5144078,Ethan Grunkemeyer,Penn State,Big Ten,Nevada,7,9,86,9.6,0,0,88.7,1,0.7777777777777778
4777154,Tyler Riddell,Duquesne,NEC,Pittsburgh,14,23,154,6.7,1,0,,1,0.6086956521739131
