collegeAthleteId,collegeTeam,overall,position
4912218,Cincinnati,176,Wide Receiver
4685307,Missouri,177,Wide Receiver
4879250,North Dakota State,178,Quarterback
4691556,Kansas,179,Offensive Tackle
4714379,Mississippi State,180,Tight End
4685347,Penn State,181,Defensive Tackle
4431325,Arkansas,182,Quarterback
4709695,Iowa,183,Linebacker
5081785,Baylor,184,Defensive Tackle
4890373,LSU,185,Tight End
5159928,Auburn,186,Defensive Tackle
4685246,Penn State,187,Running Back
4905597,Miami,188,Offensive Guard
4689117,Duke,189,Center
4698597,LSU,190,Wide Receiver
4879194,Baylor,191,Wide Receiver
5082353,Illinois,192,Offensive Tackle
4876380,BYU,193,Linebacker
4596542,Indiana,194,Center
5150247,Oregon,195,Wide Receiver
4431526,Texas A&M,196,Offensive Tackle
4605951,Miami,197,Wide Receiver
4832846,Wake Forest,198,Running Back
4685381,Kansas,199,Wide Receiver
5081977,Texas,200,Offensive Guard
4685402,Alabama,201,Cornerback
4682789,Boston College,202,Offensive Guard
5085024,Stanford,203,Wide Receiver
4683159,Boston College,204,Wide Receiver
5103940,Texas Tech,205,Defensive Tackle
5082660,Oregon,206,Offensive Guard
4432738,Georgia,207,Offensive Guard
5150660,Washington,208,Defensive Tackle
4683463,Michigan State,209,Center
4431533,Notre Dame,210,Defensive Tackle
5084956,Michigan State,211,Punter
5085407,TCU,212,Linebacker
4875381,Georgia Tech,213,Defensive Tackle
4685324,Ohio State,214,Defensive Edge
4685502,LSU,215,Linebacker
4869461,Florida,216,Place Kicker
4709718,Ole Miss,217,Offensive Tackle
4685110,East Carolina,218,Wide Receiver
4873075,Iowa,219,Cornerback
4698598,Missouri,220,Cornerback
5085189,Texas,221,Tight End
4685609,Tennessee,222,Defensive Edge
4432722,Rutgers,223,Quarterback
4820584,Oklahoma,224,Safety
4877034,Oklahoma,225,Tight End
5081542,Navy,226,Defensive Tackle
4875592,Miami (OH),227,Linebacker
4837388,Kansas State,228,Safety
4685305,NC State,229,Defensive Tackle
5081508,Navy,230,Running Back
4683194,Ohio State,231,Offensive Tackle
4431414,Alabama,232,Defensive Tackle
5121433,Washington,233,Defensive Edge
4431465,Texas Tech,234,Quarterback
4433823,Cincinnati,235,Center
4693934,Toledo,236,Cornerback
4686468,Kentucky,237,Running Back
4683101,Iowa,238,Defensive Edge
4682758,Florida,239,Punter
4880861,Middle Tennessee,240,Linebacker
4606712,Texas A&M,241,Offensive Guard
4609203,Minnesota,242,Defensive Tackle
4912338,Indiana,243,Linebacker
4693345,Texas Tech,244,Safety
4685477,Alabama,245,Running Back
4880014,Illinois,246,Safety
4698181,Boston College,247,Defensive Edge
4685540,BYU,248,Tight End
4567747,LSU,249,Quarterback
4432661,Michigan,250,Defensive Tackle
5344966,Nigeria,251,Defensive Tackle
5165139,New Mexico,252,Defensive Edge
4572675,Northwestern,253,Offensive Guard
4683151,Oklahoma,254,Wide Receiver
2094390,Arizona,255,Cornerback
5159802,Utah,256,Tight End
4912190,Buffalo,257,Linebacker
